method,date,wealth,net_return,position,turnover,initial
fixed_5,2021-01-11,1.0,0.0,0,0.0,True
fixed_5,2021-01-12,0.9836199911341076,-0.016380008865892415,1,1.0,False
fixed_5,2021-01-13,1.0180607567983955,0.03501430021219676,1,0.0,False
fixed_5,2021-01-14,1.0084323703181548,-0.009457575509069005,1,0.0,False
fixed_5,2021-01-15,0.9930378417365523,-0.015265801688561065,1,0.0,False
fixed_5,2021-01-18,0.9870067148234816,-0.006073410961382808,1,0.0,False
fixed_5,2021-01-19,1.0029439177797481,0.01614700560483695,1,0.0,False
fixed_5,2021-01-20,0.9873243336046394,-0.015573736375695146,1,0.0,False
fixed_5,2021-01-21,0.9969527200848802,0.009751999573522463,1,0.0,False
fixed_5,2021-01-22,1.0095522033922941,0.012637994815181575,1,0.0,False
fixed_5,2021-01-25,1.009868007208988,0.0003128157371483642,1,0.0,False
fixed_5,2021-01-26,1.008858139201779,-0.0010000000000000009,0,1.0,False
fixed_5,2021-01-27,1.008858139201779,0.0,0,0.0,False
fixed_5,2021-01-28,1.008858139201779,0.0,0,0.0,False
fixed_5,2021-01-29,1.008858139201779,0.0,0,0.0,False
fixed_5,2021-02-01,1.008858139201779,0.0,0,0.0,False
fixed_5,2021-02-02,1.0215554367558315,0.012585810690984411,1,1.0,False
fixed_5,2021-02-03,1.0346501304586524,0.012818387756229788,1,0.0,False
fixed_5,2021-02-04,1.0261235281797467,-0.008241048860764155,1,0.0,False
fixed_5,2021-02-05,1.0337846765645005,0.007466107319792137,1,0.0,False
fixed_5,2021-02-08,1.0359370227708262,0.002082006296977079,1,0.0,False
fixed_5,2021-02-09,1.0506177548057558,0.014171452233324944,1,0.0,False
fixed_5,2021-02-10,1.074231476165541,0.022476034934466593,1,0.0,False
fixed_5,2021-02-18,1.1141909875957434,0.0371982317748103,1,0.0,False
fixed_5,2021-02-19,1.0788108561185101,-0.03175409949561547,1,0.0,False
fixed_5,2021-02-22,1.088498295468485,0.008979738473182897,1,0.0,False
fixed_5,2021-02-23,1.0428117369648073,-0.04197209926177636,1,0.0,False
fixed_5,2021-02-24,1.0519930739288539,0.008804405089234635,1,0.0,False
fixed_5,2021-02-25,1.033741403869793,-0.017349610478799793,1,0.0,False
fixed_5,2021-02-26,1.0054128402083888,-0.027403917029304115,1,0.0,False
fixed_5,2021-03-01,1.0139450867518218,0.008486311495349952,1,0.0,False
fixed_5,2021-03-02,1.0259918286741152,0.011881059516630321,1,0.0,False
fixed_5,2021-03-03,1.0022990876109512,-0.023092524132265257,1,0.0,False
fixed_5,2021-03-04,1.0138002172956266,0.011474748233173848,1,0.0,False
fixed_5,2021-03-05,0.9768284032217575,-0.036468540293366436,1,0.0,False
fixed_5,2021-03-08,0.9971138899320754,0.0207666839369256,1,0.0,False
fixed_5,2021-03-09,0.9531563577951926,-0.044084765622788846,1,0.0,False
fixed_5,2021-03-10,0.9495647241344621,-0.0037681474097686074,1,0.0,False
fixed_5,2021-03-11,0.9453315257391537,-0.004458040918871586,1,0.0,False
fixed_5,2021-03-12,0.9696225588421881,0.025695782317257665,1,0.0,False
