method,year,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
archived20,2018,49,0.6530612244897959,0.3469387755102041,32,0.6845238095238095,0.6938775510204082,0.42857142857142855,19,13,15,2,0.7125850340136054,,,,,,
archived20,2019,46,0.5652173913043478,0.43478260869565216,26,0.59375,0.43478260869565216,0.6521739130434783,15,11,5,15,0.6833333333333333,,,,,,
archived20,2020,46,0.5652173913043478,0.43478260869565216,26,0.5138888888888888,0.7391304347826086,0.6086956521739131,21,5,13,7,0.5376984126984127,,,,,,
direction_bce,2018,49,0.5306122448979592,0.46938775510204084,26,0.5535714285714286,0.6530612244897959,0.42857142857142855,15,11,17,6,0.5918367346938775,0.2496862371447239,0.6925624445792675,0.5147272983056707,0.030709975438988218,0.08615586973424211,0.0
direction_bce,2019,46,0.6521739130434783,0.34782608695652173,30,0.5,1.0,0.6521739130434783,30,0,16,0,0.44166666666666665,0.2453923880521518,0.6839288223769513,0.516388142331393,0.0010087569980489724,-0.1357857707120853,0.0
direction_bce,2020,46,0.5,0.5,23,0.4503968253968254,0.717391304347826,0.6086956521739131,19,4,14,9,0.44047619047619047,0.24870475399430078,0.6905416656799589,0.5349306798818679,0.043716300717142095,-0.07376497229204515,0.0
neutral_50,2018,49,0.5714285714285714,0.42857142857142855,28,0.5,0.0,0.42857142857142855,0,28,0,21,0.5,0.25,0.6931471805599453,0.5,0.0,0.07142857142857145,0.0
neutral_50,2019,46,0.34782608695652173,0.6521739130434783,16,0.5,0.0,0.6521739130434783,0,16,0,30,0.5,0.25,0.6931471805599451,0.5,0.0,-0.15217391304347827,0.0
neutral_50,2020,46,0.391304347826087,0.6086956521739131,18,0.5,0.0,0.6086956521739131,0,18,0,28,0.5,0.25,0.6931471805599451,0.5,0.0,-0.10869565217391308,0.0
training_frequency,2018,49,0.42857142857142855,0.5714285714285714,21,0.5,1.0,0.42857142857142855,21,0,28,0,0.5,0.2533051598525565,0.6997613474281428,0.5202622169249106,0.0,0.09169078835348204,0.0
training_frequency,2019,46,0.6521739130434783,0.34782608695652173,30,0.5,1.0,0.6521739130434783,30,0,16,0,0.5,0.24671897533545087,0.6865840558562484,0.5111920874544507,1.1102230246251565e-16,-0.1409818255890276,0.0
training_frequency,2020,46,0.6086956521739131,0.391304347826087,28,0.5,1.0,0.6086956521739131,28,0,18,0,0.5,0.2457921635750457,0.6847266098509328,0.5214780600461892,1.1102230246251565e-16,-0.08721759212772384,0.0
