family,cutoff,seed,training_rows,validation_rows,features_bitwise_equal,scaling_bitwise_equal,unchanged_model_sha256,prediction_max_error,native_max_error
probe_mse,2017-12-31,20260910,1678,49,True,True,2cbdd864df5b3a849c0ff2cb76254cec4067b15cd832fc6b4f1d13dc850607d8,1.6653345369377348e-16,9.8879238130678e-17
probe_mse,2017-12-31,20260911,1678,49,True,True,91573a4f2c9607641fe599d02496a3a7a9d1dacb8002b09b85f784eb6aaa4310,1.6653345369377348e-16,9.64939933512099e-17
probe_mse,2017-12-31,20260912,1678,49,True,True,b8eafc4602ddc9e57e5dc385040fcd7f772e174c8aa39970044bb5a7a5c3371f,1.1102230246251565e-16,9.952975943416931e-17
probe_mse,2018-12-31,20260910,1921,46,True,True,4c2235db8b5c9f9349c92206d09fef3aea91e1f15e0c55375da0f60db1b4fc5d,4.440892098500626e-16,9.75781955236954e-17
probe_mse,2018-12-31,20260911,1921,46,True,True,5000fbe47407326a38d4f8231bb6c0dfee6b66fdb1a0ca59756504b5dfc635b8,2.220446049250313e-16,9.540979117872439e-17
probe_mse,2018-12-31,20260912,1921,46,True,True,52bdef693e5cc12bf286be83add488c956f3d279bbebecfb2debb8597f9efbed,2.220446049250313e-16,9.80118763926896e-17
probe_mse,2019-12-31,20260910,2165,46,True,True,a92122a362da177bda7f1040cb311056311e9c13fd066861307a5a8dfb417a9c,2.220446049250313e-16,9.71445146547012e-17
probe_mse,2019-12-31,20260911,2165,46,True,True,9173003d5abe8882cb8084349cba1ebf6109c087672028f0748119f1560adfc0,2.220446049250313e-16,9.974659986866641e-17
probe_mse,2019-12-31,20260912,2165,46,True,True,9d9a5565efc849962e59e209d298284fc72e2631f4f4fd2d06cdf10843410b0b,2.220446049250313e-16,9.367506770274758e-17
probe_bce,2017-12-31,20260910,1678,49,True,True,87bca784ef9a04dc8ceb0657795391eb9bfbf31b670a3aa88260af22683217f6,1.6653345369377348e-16,1.1102230246251565e-16
probe_bce,2017-12-31,20260911,1678,49,True,True,cb2b0fb8188217adbe6abb58263294e88c7e4ba31f637f9951159dc990c772a8,1.1102230246251565e-16,1.1102230246251565e-16
probe_bce,2017-12-31,20260912,1678,49,True,True,6a43d59e2c76e8efa6992eb17d2405d56be4cc153f969e90c06f23766c442133,1.1102230246251565e-16,1.1102230246251565e-16
probe_bce,2018-12-31,20260910,1921,46,True,True,568a5da69039b008d5a015c21043e10b308436fd7baa5d158db547b14d056e10,1.1102230246251565e-16,1.1102230246251565e-16
probe_bce,2018-12-31,20260911,1921,46,True,True,7ac6a5ed91452eb2c26c5209daab8aa591686c6802cf1c2e50541e971452b488,1.249000902703301e-16,1.1102230246251565e-16
probe_bce,2018-12-31,20260912,1921,46,True,True,1ad85b847cfdf15d54ec4d9a70044e4eb9caaa12d79732e4115f175b7495337e,1.1102230246251565e-16,1.1102230246251565e-16
probe_bce,2019-12-31,20260910,2165,46,True,True,605f91d8a1df4f440df27722c0489031e9bc68a7fca37ddec558049ace65de7e,1.1102230246251565e-16,1.6653345369377348e-16
probe_bce,2019-12-31,20260911,2165,46,True,True,71ca466549f9924c605dadcca8c7ff3ca09c3834d7eb12e0fc1caf6366dd816e,2.220446049250313e-16,1.1102230246251565e-16
probe_bce,2019-12-31,20260912,2165,46,True,True,d0282b61636b8b4778ea78efd2a8dc1340e6265f3ec36d2edcde52d64e084493,1.1102230246251565e-16,1.1102230246251565e-16
