method,seed,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
archived20,20260910,141,0.574468085106383,0.425531914893617,81,0.569926500612495,0.5460992907801419,0.5602836879432624,48,33,29,31,0.5988158432013067,,,,,,
archived20,20260911,141,0.5531914893617021,0.44680851063829785,78,0.5457329522253982,0.5673758865248227,0.5602836879432624,48,30,32,31,0.5639036341363822,,,,,,
archived20,20260912,141,0.5815602836879432,0.41843971631205673,82,0.5623723968966925,0.6666666666666666,0.5602836879432624,57,25,37,22,0.5749285422621478,,,,,,
direction_bce,20260910,141,0.5319148936170213,0.46808510638297873,75,0.4972437729685586,0.7872340425531915,0.5602836879432624,62,13,49,17,0.47529603919967334,0.25091583247498683,0.6950146849491033,0.5267398315061421,0.04897159064489061,-0.03354385643712032,0.0
direction_bce,20260911,141,0.6099290780141844,0.3900709219858156,86,0.5842180481829318,0.723404255319149,0.5602836879432624,63,23,39,16,0.5622703144140465,0.24793446395341698,0.6896208101468746,0.5263375027649209,0.06342881913771323,-0.03394618517834158,0.0
direction_bce,20260912,141,0.5390070921985816,0.46099290780141844,76,0.5018374846876276,0.8085106382978723,0.5602836879432624,64,12,50,15,0.5293997550020416,0.2487279010739751,0.690606490831161,0.5125035899584662,0.01529633773175164,-0.04778009798479621,0.0
probe_bce,20260910,141,0.5035460992907801,0.49645390070921985,71,0.4892813393221723,0.6170212765957447,0.5602836879432624,48,23,39,31,0.5006124948958759,0.25974222200274594,0.7143754777043576,0.5393919293150359,0.10566978702648774,-0.020891758628226564,0.0
probe_bce,20260911,141,0.5319148936170213,0.46808510638297873,75,0.5232748060432829,0.574468085106383,0.5602836879432624,47,28,34,32,0.5230706410779911,0.25557184842487285,0.7062045529777429,0.5281511430555376,0.10729089297031225,-0.03213254488772488,0.0
probe_bce,20260912,141,0.5460992907801419,0.45390070921985815,77,0.5272560228664761,0.6595744680851063,0.5602836879432624,54,23,39,25,0.5244997958350347,0.2559824031573333,0.7071043301878259,0.5294416459447093,0.09283112537852654,-0.030842041998553116,0.0
probe_mse,20260910,141,0.5390070921985816,0.46099290780141844,76,0.53654552878726,0.524822695035461,0.5602836879432624,44,32,30,35,0.5771743568803593,0.24982964446150652,0.6940771714274969,0.5161015594436311,0.15162865839287176,-0.044182128499631323,0.0
probe_mse,20260911,141,0.5531914893617021,0.44680851063829785,78,0.5492037566353614,0.5390070921985816,0.5602836879432624,46,32,30,33,0.5443037974683544,0.2574859312009133,0.7115362413144559,0.5150654669456427,0.13133321156338304,-0.04521822099761974,0.0
probe_mse,20260912,141,0.5602836879432624,0.4397163120567376,79,0.5503266639444672,0.5886524822695035,0.5602836879432624,50,29,33,29,0.583707635769702,0.24558905416792656,0.6856888772642649,0.5380623951637246,0.13743560845505415,-0.022221292779537882,0.0
