family,cutoff,seed,frozen_flag_maximum_score_error,original_flag_maximum_score_error,changed_native_directions,model_state_unchanged
probe_mse,2017-12-31,20260910,3.0925618559052293e-09,9.8879238130678e-17,0,True
probe_mse,2017-12-31,20260911,1.767178266730545e-09,9.64939933512099e-17,0,True
probe_mse,2017-12-31,20260912,3.5343564117051862e-09,9.952975943416931e-17,0,True
probe_mse,2018-12-31,20260910,4.424740289443729e-09,9.75781955236954e-17,0,True
probe_mse,2018-12-31,20260911,2.2123701954625263e-09,9.540979117872439e-17,0,True
probe_mse,2018-12-31,20260912,4.424740138956468e-09,9.80118763926896e-17,0,True
probe_mse,2019-12-31,20260910,1.7582080878014716e-09,9.71445146547012e-17,0,True
probe_mse,2019-12-31,20260911,2.6373119330763695e-09,9.974659986866641e-17,0,True
probe_mse,2019-12-31,20260912,1.9779839919827416e-09,9.367506770274758e-17,0,True
probe_bce,2017-12-31,20260910,2.2178621161828005e-08,5.551115123125783e-17,0,True
probe_bce,2017-12-31,20260911,1.4868415443292093e-08,5.551115123125783e-17,0,True
probe_bce,2017-12-31,20260912,1.1100687924425756e-08,5.551115123125783e-17,0,True
probe_bce,2018-12-31,20260910,3.7236216332559025e-09,0.0,0,True
probe_bce,2018-12-31,20260911,5.577933670508628e-09,0.0,0,True
probe_bce,2018-12-31,20260912,2.792145181729211e-09,0.0,0,True
probe_bce,2019-12-31,20260910,1.4790625613159136e-08,5.551115123125783e-17,0,True
probe_bce,2019-12-31,20260911,2.6740996861285282e-08,5.551115123125783e-17,0,True
probe_bce,2019-12-31,20260912,9.312490223400971e-09,5.551115123125783e-17,0,True
