job,native_error,retained_probe_error
learned_2014-12-31_20260910,9.150666335777657e-17,
learned_2014-12-31_20260911,9.75781955236954e-17,
learned_2014-12-31_20260912,9.432558900623889e-17,
learned_2015-12-31_20260910,9.367506770274758e-17,
learned_2015-12-31_20260911,9.410874857174178e-17,
learned_2015-12-31_20260912,9.80118763926896e-17,
learned_2016-12-31_20260910,9.8879238130678e-17,
learned_2016-12-31_20260911,9.367506770274758e-17,
learned_2016-12-31_20260912,9.93129189996722e-17,
learned_2017-12-31_20260910,9.8879238130678e-17,1.1102230246251565e-16
learned_2017-12-31_20260911,9.64939933512099e-17,8.326672684688674e-17
learned_2017-12-31_20260912,9.952975943416931e-17,8.326672684688674e-17
learned_2018-12-31_20260910,9.75781955236954e-17,4.440892098500626e-16
learned_2018-12-31_20260911,9.540979117872439e-17,1.1102230246251565e-16
learned_2018-12-31_20260912,9.80118763926896e-17,1.1102230246251565e-16
learned_2019-12-31_20260910,9.71445146547012e-17,2.220446049250313e-16
learned_2019-12-31_20260911,9.974659986866641e-17,2.220446049250313e-16
learned_2019-12-31_20260912,9.367506770274758e-17,2.220446049250313e-16
raw_2014-12-31_-1,,
raw_2015-12-31_-1,,
raw_2016-12-31_-1,,
raw_2017-12-31_-1,,
raw_2018-12-31_-1,,
raw_2019-12-31_-1,,
