window,method,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
early_2015_2017,learned_probe,120,0.525,0.475,63,0.5214024218529991,0.5333333333333333,0.5583333333333333,37,26,27,30,0.49760630808223033,0.2621331857709421,0.7181044284393102,0.4960197871527123,0.11260711057887299,-0.06231354618062107,0.0
early_2015_2017,native_mse,120,0.49166666666666664,0.5083333333333333,59,0.4816952970994086,0.5833333333333334,0.5583333333333333,38,21,32,29,0.4877499295972965,,,,,,
early_2015_2017,neutral_50,120,0.44166666666666665,0.5583333333333333,53,0.5,0.0,0.5583333333333333,0,53,0,67,0.5,0.25,0.6931471805599453,0.5,0.0,-0.05833333333333335,0.0
early_2015_2017,raw25_probe,120,0.44166666666666665,0.5583333333333333,53,0.48817234581807945,0.1,0.5583333333333333,6,47,6,61,0.46522106448887635,0.29209202095038644,0.7890114874208041,0.3935082702131121,0.12258351331511344,-0.16482506312022127,0.0
early_2015_2017,training_frequency,120,0.525,0.475,63,0.48789073500422414,0.8166666666666667,0.5583333333333333,54,9,44,13,0.4940861729090397,0.24983855794974902,0.6928242985582453,0.5028032426476259,0.005323831917122675,-0.05553009068570747,0.0
late_2018_2020,learned_probe,141,0.5460992907801419,0.45390070921985815,77,0.5376684360963658,0.574468085106383,0.5602836879432624,48,29,33,31,0.592486729277256,0.24204284234358778,0.6769974054241634,0.5230764738509994,0.10438631723494123,-0.03720721409226302,0.0
late_2018_2020,native_mse,141,0.5957446808510638,0.40425531914893614,84,0.5819722335647203,0.624113475177305,0.5602836879432624,55,29,33,24,0.6014699877501021,,,,,,
late_2018_2020,neutral_50,141,0.4397163120567376,0.5602836879432624,62,0.5,0.0,0.5602836879432624,0,62,0,79,0.5,0.25,0.6931471805599454,0.5,0.0,-0.06028368794326244,0.0
late_2018_2020,raw25_probe,141,0.524822695035461,0.475177304964539,74,0.5238873009391588,0.5106382978723404,0.5602836879432624,42,32,30,37,0.5316455696202531,0.2527796801836105,0.6995420966345537,0.504542568717069,0.0910715386182934,-0.0557411192261934,0.0
late_2018_2020,training_frequency,141,0.5602836879432624,0.4397163120567376,79,0.5,1.0,0.5602836879432624,79,0,62,0,0.4806043282972642,0.2487054271110504,0.6905574230248889,0.5176998256336885,0.004555807871201607,-0.042583862309573894,0.0
pooled_2015_2020,learned_probe,261,0.5363984674329502,0.46360153256704983,140,0.5302263251935676,0.5555555555555556,0.5593869731800766,85,55,60,61,0.5444907683144729,0.2512797818504173,0.6958971861207827,0.5106366178977639,0.10908024179909678,-0.04875035528231264,0.0
pooled_2015_2020,native_mse,261,0.5478927203065134,0.4521072796934866,143,0.5358844550327576,0.6053639846743295,0.5593869731800766,93,50,65,53,0.5528886241810601,,,,,,
pooled_2015_2020,neutral_50,261,0.44061302681992337,0.5593869731800766,115,0.5,0.0,0.5593869731800766,0,115,0,146,0.5,0.25,0.6931471805599453,0.5,0.0,-0.059386973180076574,0.0
pooled_2015_2020,raw25_probe,261,0.48659003831417624,0.5134099616858238,127,0.5078618225134008,0.3218390804597701,0.5593869731800766,48,79,36,98,0.4997617629541394,0.27085431961661094,0.740677448720186,0.45349231653134175,0.12021529305424464,-0.10589465664873482,0.0
pooled_2015_2020,training_frequency,261,0.5440613026819924,0.4559386973180077,142,0.4946098868374032,0.9157088122605364,0.5593869731800766,133,9,106,13,0.4940738534842168,0.24922640680700378,0.6915996646494206,0.5108508219619357,0.008908531289388635,-0.04853615121814092,0.0
