cutoff,row_index,date,year,joint_completed,actual_return,actual_up,training_frequency,method,seed,score,probability,logit,direction_up
2017-12-31,1687,2018-01-05,2018,2018-01-15,0.0214907567286908,1,0.5202622169249106,learned_probe,20260910,0.6752545363644131,0.6752545363644131,0.7320480240382891,True
2017-12-31,1692,2018-01-12,2018,2018-01-22,0.0110264218031885,1,0.5202622169249106,learned_probe,20260910,0.6053546944427516,0.6053546944427516,0.4278271571684535,True
2017-12-31,1697,2018-01-19,2018,2018-01-29,0.0258577147560612,1,0.5202622169249106,learned_probe,20260910,0.4536413540232018,0.4536413540232018,-0.1859687041302305,False
2017-12-31,1702,2018-01-26,2018,2018-02-05,-0.0416224077172412,0,0.5202622169249106,learned_probe,20260910,0.524465624234504,0.524465624234504,0.0979407123147221,True
2017-12-31,1707,2018-02-02,2018,2018-02-12,-0.0851928666225865,0,0.5202622169249106,learned_probe,20260910,0.4728717195564772,0.4728717195564772,-0.1086197896245123,False
2017-12-31,1712,2018-02-09,2018,2018-02-26,0.0642518595938403,1,0.5202622169249106,learned_probe,20260910,0.5004683339713482,0.5004683339713482,0.001873336433248,True
2017-12-31,1717,2018-02-23,2018,2018-03-05,-0.0175257731958763,0,0.5202622169249106,learned_probe,20260910,0.7279305881805155,0.7279305881805155,0.984148473491843,True
2017-12-31,1722,2018-03-02,2018,2018-03-12,0.0271156686542373,1,0.5202622169249106,learned_probe,20260910,0.6110010968131062,0.6110010968131062,0.4515222302379469,True
2017-12-31,1727,2018-03-09,2018,2018-03-19,-0.0184205620825476,0,0.5202622169249106,learned_probe,20260910,0.708865640095587,0.708865640095587,0.8898811238642387,True
2017-12-31,1732,2018-03-16,2018,2018-03-26,-0.0473361252102539,0,0.5202622169249106,learned_probe,20260910,0.5980643252827246,0.5980643252827246,0.397406252853647,True
2017-12-31,1737,2018-03-23,2018,2018-04-02,0.0088849998317235,1,0.5202622169249106,learned_probe,20260910,0.549713297638926,0.549713297638926,0.199512369044437,True
2017-12-31,1742,2018-03-30,2018,2018-04-16,-0.0088632053805354,0,0.5202622169249106,learned_probe,20260910,0.5636462566461097,0.5636462566461097,0.2559735978348992,True
2017-12-31,1750,2018-04-13,2018,2018-04-23,-0.0279044238531301,0,0.5202622169249106,learned_probe,20260910,0.3906377184412431,0.3906377184412431,-0.4446323910759007,False
2017-12-31,1755,2018-04-20,2018,2018-05-02,0.0040589236395014,1,0.5202622169249106,learned_probe,20260910,0.5501155823937082,0.5501155823937082,0.2011377059458616,True
2017-12-31,1760,2018-04-27,2018,2018-05-08,0.003344889692912,1,0.5202622169249106,learned_probe,20260910,0.6135328736271598,0.6135328736271598,0.4621870367124046,True
2017-12-31,1763,2018-05-04,2018,2018-05-14,0.0275819951672684,1,0.5202622169249106,learned_probe,20260910,0.453600445789274,0.453600445789274,-0.1861337571964338,False
2017-12-31,1768,2018-05-11,2018,2018-05-21,0.0099488791752746,1,0.5202622169249106,learned_probe,20260910,0.4366599444543416,0.4366599444543416,-0.2547287190698772,False
2017-12-31,1773,2018-05-18,2018,2018-05-28,-0.0278382082465087,0,0.5202622169249106,learned_probe,20260910,0.5805181793531712,0.5805181793531712,0.3249009281589572,True
2017-12-31,1778,2018-05-25,2018,2018-06-04,-0.0081414788300587,0,0.5202622169249106,learned_probe,20260910,0.6603501416309209,0.6603501416309209,0.6648549533219191,True
2017-12-31,1783,2018-06-01,2018,2018-06-11,-0.0039575292125362,0,0.5202622169249106,learned_probe,20260910,0.4526560925731741,0.4526560925731741,-0.1899446608323163,False
2017-12-31,1788,2018-06-08,2018,2018-06-19,-0.0179141214945586,0,0.5202622169249106,learned_probe,20260910,0.4932154618335051,0.4932154618335051,-0.0271398184073757,False
2017-12-31,1793,2018-06-15,2018,2018-06-25,-0.0207606943097817,0,0.5202622169249106,learned_probe,20260910,0.6361109558710937,0.6361109558710937,0.5585240096939186,True
2017-12-31,1797,2018-06-22,2018,2018-07-02,-0.0334657179105301,0,0.5202622169249106,learned_probe,20260910,0.5975872024421821,0.5975872024421821,0.3954217973106734,True
2017-12-31,1802,2018-06-29,2018,2018-07-09,-0.0358257762964908,0,0.5202622169249106,learned_probe,20260910,0.6053560004502169,0.6053560004502169,0.4278326239164425,True
2017-12-31,1807,2018-07-06,2018,2018-07-16,0.0325726343702554,1,0.5202622169249106,learned_probe,20260910,0.4701253574124981,0.4701253574124981,-0.1196410781101432,False
2017-12-31,1812,2018-07-13,2018,2018-07-23,-0.0049040261165902,0,0.5202622169249106,learned_probe,20260910,0.5604849956970315,0.5604849956970315,0.2431306166311586,True
2017-12-31,1817,2018-07-20,2018,2018-07-30,0.014110592016959,1,0.5202622169249106,learned_probe,20260910,0.4710853607383713,0.4710853607383713,-0.1157877457977137,False
2017-12-31,1822,2018-07-27,2018,2018-08-06,-0.0590851640938977,0,0.5202622169249106,learned_probe,20260910,0.459423962066472,0.459423962066472,-0.1626618595350388,False
2017-12-31,1827,2018-08-03,2018,2018-08-13,0.0172541822374894,1,0.5202622169249106,learned_probe,20260910,0.4871093706795812,0.4871093706795812,-0.0515739459159291,False
2017-12-31,1832,2018-08-10,2018,2018-08-20,-0.0390981548851923,0,0.5202622169249106,learned_probe,20260910,0.5619183815935818,0.5619183815935818,0.2489513744555211,True
2017-12-31,1837,2018-08-17,2018,2018-08-27,0.0312424727164923,1,0.5202622169249106,learned_probe,20260910,0.5666683382196079,0.5666683382196079,0.2682707938269415,True
2017-12-31,1842,2018-08-24,2018,2018-09-03,-0.005599825117761,0,0.5202622169249106,learned_probe,20260910,0.4876370416458701,0.4876370416458701,-0.0494619149198095,False
2017-12-31,1847,2018-08-31,2018,2018-09-10,-0.0148493234839747,0,0.5202622169249106,learned_probe,20260910,0.3731370651648578,0.3731370651648578,-0.518782092932491,False
2017-12-31,1852,2018-09-07,2018,2018-09-17,-0.0141989007697058,0,0.5202622169249106,learned_probe,20260910,0.5382705360700386,0.5382705360700386,0.153382145265242,True
