job,training_rows,validation_rows,feature_bitwise_equal,maximum_forecast_error
learned_2014-12-31_20260910_clip,1077,22,True,1.1102230246251565e-16
learned_2014-12-31_20260911_clip,1077,22,True,1.1102230246251565e-16
learned_2014-12-31_20260912_clip,1077,22,True,1.1102230246251565e-16
learned_2015-12-31_20260910_clip,1190,48,True,2.220446049250313e-16
learned_2015-12-31_20260911_clip,1190,48,True,1.1102230246251565e-16
learned_2015-12-31_20260912_clip,1190,48,True,2.220446049250313e-16
learned_2016-12-31_20260910_clip,1434,50,True,2.220446049250313e-16
learned_2016-12-31_20260911_clip,1434,50,True,2.220446049250313e-16
learned_2016-12-31_20260912_clip,1434,50,True,1.1102230246251565e-16
learned_2017-12-31_20260910_clip,1678,49,True,1.1102230246251565e-16
learned_2017-12-31_20260911_clip,1678,49,True,1.1102230246251565e-16
learned_2017-12-31_20260912_clip,1678,49,True,1.1102230246251565e-16
learned_2018-12-31_20260910_clip,1921,46,True,2.220446049250313e-16
learned_2018-12-31_20260911_clip,1921,46,True,1.1102230246251565e-16
learned_2018-12-31_20260912_clip,1921,46,True,2.220446049250313e-16
learned_2019-12-31_20260910_clip,2165,46,True,1.1102230246251565e-16
learned_2019-12-31_20260911_clip,2165,46,True,2.220446049250313e-16
learned_2019-12-31_20260912_clip,2165,46,True,2.220446049250313e-16
raw_2014-12-31_-1_clip,1077,22,True,2.220446049250313e-16
raw_2015-12-31_-1_clip,1190,48,True,2.220446049250313e-16
raw_2016-12-31_-1_clip,1434,50,True,1.6653345369377348e-16
raw_2017-12-31_-1_clip,1678,49,True,1.1102230246251565e-16
raw_2018-12-31_-1_clip,1921,46,True,1.1102230246251565e-16
raw_2019-12-31_-1_clip,2165,46,True,1.1102230246251565e-16
