cutoff,year,partition,state,train_n,validation_n,training_fraction,validation_fraction,fraction_difference
2014-12-31,2015,trend_volatility,low_trend__low_vol,163,0,0.15134633240482823,0.0,-0.15134633240482823
2014-12-31,2015,trend_volatility,low_trend__high_vol,196,2,0.18198700092850512,0.09090909090909091,-0.0910779100194142
2014-12-31,2015,trend_volatility,mid_trend__low_vol,205,0,0.1903435468895079,0.0,-0.1903435468895079
2014-12-31,2015,trend_volatility,mid_trend__high_vol,154,6,0.14298978644382543,0.2727272727272727,0.12973748628344728
2014-12-31,2015,trend_volatility,high_trend__low_vol,171,1,0.15877437325905291,0.045454545454545456,-0.11331982780450746
2014-12-31,2015,trend_volatility,high_trend__high_vol,188,13,0.1745589600742804,0.5909090909090909,0.41635013083481054
2014-12-31,2015,volatility,low_vol,539,1,0.500464252553389,0.045454545454545456,-0.45500970709884353
2014-12-31,2015,volatility,high_vol,538,21,0.49953574744661094,0.9545454545454546,0.45500970709884364
2014-12-31,2015,range,low_range,539,0,0.500464252553389,0.0,-0.500464252553389
2014-12-31,2015,range,high_range,538,22,0.49953574744661094,1.0,0.5004642525533891
2014-12-31,2015,volume,low_volume_change,539,16,0.500464252553389,0.7272727272727273,0.2268084747193383
2014-12-31,2015,volume,high_volume_change,538,6,0.49953574744661094,0.2727272727272727,-0.22680847471933824
2015-12-31,2016,trend_volatility,low_trend__low_vol,193,1,0.16218487394957984,0.020833333333333332,-0.1413515406162465
2015-12-31,2016,trend_volatility,low_trend__high_vol,204,10,0.17142857142857143,0.20833333333333334,0.03690476190476191
2015-12-31,2016,trend_volatility,mid_trend__low_vol,231,20,0.19411764705882353,0.4166666666666667,0.22254901960784315
2015-12-31,2016,trend_volatility,mid_trend__high_vol,165,1,0.13865546218487396,0.020833333333333332,-0.11782212885154063
2015-12-31,2016,trend_volatility,high_trend__low_vol,171,16,0.14369747899159663,0.3333333333333333,0.1896358543417367
2015-12-31,2016,trend_volatility,high_trend__high_vol,226,0,0.1899159663865546,0.0,-0.1899159663865546
2015-12-31,2016,volatility,low_vol,595,37,0.5,0.7708333333333334,0.27083333333333337
2015-12-31,2016,volatility,high_vol,595,11,0.5,0.22916666666666666,-0.27083333333333337
2015-12-31,2016,range,low_range,595,36,0.5,0.75,0.25
2015-12-31,2016,range,high_range,595,12,0.5,0.25,-0.25
2015-12-31,2016,volume,low_volume_change,595,27,0.5,0.5625,0.0625
2015-12-31,2016,volume,high_volume_change,595,21,0.5,0.4375,-0.0625
2016-12-31,2017,trend_volatility,low_trend__low_vol,188,2,0.13110181311018132,0.04,-0.09110181311018131
2016-12-31,2017,trend_volatility,low_trend__high_vol,290,0,0.20223152022315202,0.0,-0.20223152022315202
2016-12-31,2017,trend_volatility,mid_trend__low_vol,294,14,0.20502092050209206,0.28,0.07497907949790797
2016-12-31,2017,trend_volatility,mid_trend__high_vol,184,0,0.12831241283124128,0.0,-0.12831241283124128
2016-12-31,2017,trend_volatility,high_trend__low_vol,235,34,0.16387726638772665,0.68,0.5161227336122733
2016-12-31,2017,trend_volatility,high_trend__high_vol,243,0,0.1694560669456067,0.0,-0.1694560669456067
2016-12-31,2017,volatility,low_vol,717,50,0.5,1.0,0.5
2016-12-31,2017,volatility,high_vol,717,0,0.5,0.0,-0.5
2016-12-31,2017,range,low_range,717,50,0.5,1.0,0.5
2016-12-31,2017,range,high_range,717,0,0.5,0.0,-0.5
2016-12-31,2017,volume,low_volume_change,717,26,0.5,0.52,0.020000000000000018
2016-12-31,2017,volume,high_volume_change,717,24,0.5,0.48,-0.020000000000000018
2017-12-31,2018,trend_volatility,low_trend__low_vol,175,12,0.10429082240762813,0.24489795918367346,0.14060713677604533
2017-12-31,2018,trend_volatility,low_trend__high_vol,385,20,0.22943980929678187,0.40816326530612246,0.1787234560093406
2017-12-31,2018,trend_volatility,mid_trend__low_vol,340,3,0.2026221692491061,0.061224489795918366,-0.1413976794531877
2017-12-31,2018,trend_volatility,mid_trend__high_vol,219,9,0.13051251489868892,0.1836734693877551,0.05316095448906619
2017-12-31,2018,trend_volatility,high_trend__low_vol,324,5,0.19308700834326578,0.10204081632653061,-0.09104619201673517
