window,partition,state,method,sparse,sample_share,error_share,brier_difference_vs_frequency,accuracy_difference_vs_native,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
early_2015_2017,trend_volatility,low_trend__low_vol,native_mse,True,0.025,0.04918032786885246,,0.0,3,0.0,1.0,0,0.0,0.3333333333333333,0.6666666666666666,0,0,1,2,0.0,,,,,,
early_2015_2017,trend_volatility,low_trend__low_vol,learned_probe,True,0.025,0.03508771929824561,0.09813114436637899,0.3333333333333333,3,0.3333333333333333,0.6666666666666666,1,0.25,0.6666666666666666,0.6666666666666666,1,0,1,1,0.0,0.34704688220745855,0.892577397937027,0.5162044594486513,0.10559915474787551,-0.1504622072180153,0.0
early_2015_2017,trend_volatility,low_trend__low_vol,learned_clip,True,0.025,0.03508771929824561,0.10028774934094736,0.3333333333333333,3,0.3333333333333333,0.6666666666666666,1,0.25,0.6666666666666666,0.6666666666666666,1,0,1,1,0.0,0.34920348718202693,0.897263479723415,0.5164572039193481,0.10790272273123572,-0.1502094627473185,0.0
early_2015_2017,trend_volatility,low_trend__low_vol,raw25_probe,True,0.025,0.04477611940298507,0.14750688830950032,0.0,3,0.0,1.0,0,0.0,0.3333333333333333,0.6666666666666666,0,0,1,2,0.0,0.3964226261505799,0.9976668863420036,0.40199891312499497,0.10006424088744395,-0.26466775354167166,0.0
early_2015_2017,trend_volatility,low_trend__low_vol,raw25_clip,True,0.025,0.04477611940298507,0.14487620508492105,0.0,3,0.0,1.0,0,0.0,0.3333333333333333,0.6666666666666666,0,0,1,2,0.0,0.3937919429260006,0.991983716738675,0.40730384630162714,0.10144624956822124,-0.2593628203650395,0.0
early_2015_2017,trend_volatility,low_trend__low_vol,training_frequency,True,0.025,0.017543859649122806,0.0,0.6666666666666666,3,0.6666666666666666,0.3333333333333333,2,0.5,1.0,0.6666666666666666,2,0,1,0,0.25,0.24891573784107957,0.6909786289597216,0.5057694486441718,0.0017027867434079315,-0.1608972180224948,0.0
early_2015_2017,trend_volatility,low_trend__low_vol,neutral_50,True,0.025,0.029850746268656716,0.0010842621589204349,0.3333333333333333,3,0.3333333333333333,0.6666666666666666,1,0.5,0.0,0.6666666666666666,0,1,0,2,0.5,0.25,0.6931471805599453,0.5,0.0,-0.16666666666666663,0.0
early_2015_2017,trend_volatility,low_trend__high_vol,native_mse,True,0.1,0.13114754098360656,,0.0,12,0.3333333333333333,0.6666666666666666,4,0.34285714285714286,0.4166666666666667,0.5833333333333334,2,2,3,5,0.2571428571428571,,,,,,
early_2015_2017,trend_volatility,low_trend__high_vol,learned_probe,True,0.1,0.14035087719298245,0.06536384297141909,0.0,12,0.3333333333333333,0.6666666666666666,4,0.37142857142857144,0.25,0.5833333333333334,1,3,2,6,0.22857142857142856,0.31482341579524015,0.8269055270692908,0.4388188117352694,0.08769023073668224,-0.144514521598064,0.0
early_2015_2017,trend_volatility,low_trend__high_vol,learned_clip,True,0.1,0.14035087719298245,0.06555219967023826,0.0,12,0.3333333333333333,0.6666666666666666,4,0.37142857142857144,0.25,0.5833333333333334,1,3,2,6,0.2571428571428571,0.3150117724940593,0.827410559174869,0.43956836063613935,0.08802959216249985,-0.14376497269719402,0.0
early_2015_2017,trend_volatility,low_trend__high_vol,raw25_probe,True,0.1,0.08955223880597014,0.03542127842735923,0.16666666666666669,12,0.5,0.5,6,0.4857142857142857,0.5833333333333334,0.5833333333333334,4,2,3,3,0.42857142857142855,0.2848808512511803,0.7817488976032695,0.5648257339904554,0.171512232695803,-0.018507599342877934,0.0
early_2015_2017,trend_volatility,low_trend__high_vol,raw25_clip,True,0.1,0.08955223880597014,0.010048622937494284,0.16666666666666669,12,0.5,0.5,6,0.4571428571428572,0.75,0.5833333333333334,5,1,4,2,0.45714285714285713,0.25950819576131534,0.7128855079004177,0.5758270504344645,0.11845270756129452,-0.007506282898868899,0.0
early_2015_2017,trend_volatility,low_trend__high_vol,training_frequency,True,0.1,0.08771929824561403,0.0,0.25000000000000006,12,0.5833333333333334,0.4166666666666667,7,0.5285714285714286,0.8333333333333334,0.5833333333333334,6,1,4,1,0.5285714285714286,0.24945957282382106,0.6920663123402742,0.501485738213577,0.004193983240024989,-0.08184759511975637,0.0
early_2015_2017,trend_volatility,low_trend__high_vol,neutral_50,True,0.1,0.1044776119402985,0.0005404271761789425,0.08333333333333337,12,0.4166666666666667,0.5833333333333334,5,0.5,0.0,0.5833333333333334,0,5,0,7,0.5,0.25,0.6931471805599453,0.5,0.0,-0.08333333333333337,0.0
early_2015_2017,trend_volatility,mid_trend__low_vol,native_mse,False,0.2833333333333333,0.2459016393442623,,0.0,34,0.5588235294117647,0.4411764705882353,19,0.5454545454545454,0.5588235294117647,0.6470588235294118,13,6,6,9,0.5984848484848485,,,,,,
early_2015_2017,trend_volatility,mid_trend__low_vol,learned_probe,False,0.2833333333333333,0.24561403508771928,-0.007760227123575519,0.02941176470588236,34,0.5882352941176471,0.4117647058823529,20,0.5681818181818181,0.5882352941176471,0.6470588235294118,14,6,6,8,0.5909090909090909,0.24064037306390507,0.6731599496495136,0.49513112981490603,0.09548191311371043,-0.15192769371450576,0.0
early_2015_2017,trend_volatility,mid_trend__low_vol,learned_clip,False,0.2833333333333333,0.24561403508771928,-0.0070626861643459105,0.02941176470588236,34,0.5882352941176471,0.4117647058823529,20,0.5681818181818181,0.5882352941176471,0.6470588235294118,14,6,6,8,0.5833333333333334,0.24133791402313468,0.6746105140874149,0.49519704550598626,0.09537837498609016,-0.15186177802342554,0.0
early_2015_2017,trend_volatility,mid_trend__low_vol,raw25_probe,False,0.2833333333333333,0.31343283582089554,0.054459336090310645,-0.17647058823529416,34,0.38235294117647056,0.6176470588235294,13,0.5227272727272727,0.029411764705882353,0.6470588235294118,1,12,0,21,0.5681818181818182,0.30285993627779123,0.8075977434674112,0.3735313472438776,0.08067656866231393,-0.2735274762855342,0.0
early_2015_2017,trend_volatility,mid_trend__low_vol,raw25_clip,False,0.2833333333333333,0.31343283582089554,0.04941241628900342,-0.17647058823529416,34,0.38235294117647056,0.6176470588235294,13,0.5227272727272727,0.029411764705882353,0.6470588235294118,1,12,0,21,0.5871212121212122,0.297813016476484,0.796156527761771,0.37961391751490203,0.08145452299464048,-0.26744490601450976,0.0
early_2015_2017,trend_volatility,mid_trend__low_vol,training_frequency,False,0.2833333333333333,0.21052631578947367,0.0,0.08823529411764708,34,0.6470588235294118,0.35294117647058826,22,0.5,1.0,0.6470588235294118,22,0,12,0,0.5606060606060606,0.24840060018748059,0.6899482136114635,0.504848702956447,0.0017777333342833585,-0.14221012057296478,0.0
early_2015_2017,trend_volatility,mid_trend__low_vol,neutral_50,False,0.2833333333333333,0.3283582089552239,0.0015993998125194142,-0.20588235294117646,34,0.35294117647058826,0.6470588235294118,12,0.5,0.0,0.6470588235294118,0,12,0,22,0.5,0.25,0.6931471805599452,0.5,0.0,-0.1470588235294118,0.0
early_2015_2017,trend_volatility,mid_trend__high_vol,native_mse,True,0.058333333333333334,0.06557377049180328,,0.0,7,0.42857142857142855,0.5714285714285714,3,0.4583333333333333,0.2857142857142857,0.5714285714285714,1,2,1,3,0.4166666666666667,,,,,,
early_2015_2017,trend_volatility,mid_trend__high_vol,learned_probe,True,0.058333333333333334,0.07017543859649122,0.038458868697171744,0.0,7,0.42857142857142855,0.5714285714285714,3,0.4583333333333333,0.2857142857142857,0.5714285714285714,1,2,1,3,0.3333333333333333,0.2912490058059626,0.7788741896045864,0.4169736870178755,0.07653511761268932,-0.15445488441069588,0.0
early_2015_2017,trend_volatility,mid_trend__high_vol,learned_clip,True,0.058333333333333334,0.07017543859649122,0.039570255858481174,0.0,7,0.42857142857142855,0.5714285714285714,3,0.4583333333333333,0.2857142857142857,0.5714285714285714,1,2,1,3,0.3333333333333333,0.292360392967272,0.781103920678515,0.41597214849998887,0.07696948444288308,-0.15545642292858253,0.0
early_2015_2017,trend_volatility,mid_trend__high_vol,raw25_probe,True,0.058333333333333334,0.07462686567164178,0.1447008783020038,-0.14285714285714285,7,0.2857142857142857,0.7142857142857143,2,0.3333333333333333,0.14285714285714285,0.5714285714285714,0,2,1,4,0.16666666666666666,0.3974910154107946,1.0562684607614596,0.39378466311746824,0.159626576548514,-0.17764390831110316,0.0
early_2015_2017,trend_volatility,mid_trend__high_vol,raw25_clip,True,0.058333333333333334,0.07462686567164178,0.07477917992661909,-0.14285714285714285,7,0.2857142857142857,0.7142857142857143,2,0.25,0.7142857142857143,0.5714285714285714,2,0,3,2,0.3333333333333333,0.3275693170354099,0.8585192132477585,0.49950814786008346,0.1256820697606679,-0.07192042356848793,0.0
early_2015_2017,trend_volatility,mid_trend__high_vol,training_frequency,True,0.058333333333333334,0.08771929824561403,0.0,-0.14285714285714285,7,0.2857142857142857,0.7142857142857143,2,0.3333333333333333,0.14285714285714285,0.5714285714285714,0,2,1,4,0.3333333333333333,0.25279013710879084,0.6987278572298823,0.493715369156019,0.003937952959474782,-0.0777132022725524,0.0
early_2015_2017,trend_volatility,mid_trend__high_vol,neutral_50,True,0.058333333333333334,0.05970149253731343,-0.0027901371087908355,0.0,7,0.42857142857142855,0.5714285714285714,3,0.5,0.0,0.5714285714285714,0,3,0,4,0.5,0.25,0.6931471805599453,0.5,0.0,-0.0714285714285714,0.0
early_2015_2017,trend_volatility,high_trend__low_vol,native_mse,False,0.425,0.4098360655737705,,0.0,51,0.5098039215686274,0.49019607843137253,26,0.5115384615384615,0.5882352941176471,0.49019607843137253,15,11,15,10,0.5261538461538462,,,,,,
early_2015_2017,trend_volatility,high_trend__low_vol,learned_probe,False,0.425,0.42105263157894735,0.0046266056529187805,0.019607843137254943,51,0.5294117647058824,0.47058823529411764,27,0.5307692307692308,0.5686274509803921,0.49019607843137253,15,12,14,10,0.5523076923076923,0.25495035975447344,0.7036200750210919,0.5106511934106752,0.13193866151628947,0.02045511497930269,0.0
early_2015_2017,trend_volatility,high_trend__low_vol,learned_clip,False,0.425,0.42105263157894735,0.004960932455591149,0.019607843137254943,51,0.5294117647058824,0.47058823529411764,27,0.5307692307692308,0.5686274509803921,0.49019607843137253,15,12,14,10,0.5476923076923077,0.2552846865571458,0.7042804320519533,0.5090511564675264,0.13267845727449376,0.018855078036153883,0.0
early_2015_2017,trend_volatility,high_trend__low_vol,raw25_probe,False,0.425,0.373134328358209,0.018168366233918876,0.0,51,0.5098039215686274,0.49019607843137253,26,0.5007692307692307,0.0392156862745098,0.49019607843137253,1,25,1,24,0.46923076923076923,0.26849212033547354,0.7340098331822228,0.3939330738622322,0.07744731677691702,-0.09626300456914033,0.0
early_2015_2017,trend_volatility,high_trend__low_vol,raw25_clip,False,0.425,0.373134328358209,0.015295247710113868,0.0,51,0.5098039215686274,0.49019607843137253,26,0.5007692307692307,0.0392156862745098,0.49019607843137253,1,25,1,24,0.4707692307692308,0.26561900181166853,0.7263567598126216,0.40309221120434724,0.07510108775313197,-0.08710386722702529,0.0
early_2015_2017,trend_volatility,high_trend__low_vol,training_frequency,False,0.425,0.47368421052631576,0.0,-0.039215686274509776,51,0.47058823529411764,0.5294117647058824,24,0.48,0.9803921568627451,0.49019607843137253,24,0,26,1,0.5061538461538462,0.25032375410155466,0.6937947252147068,0.5055487890766143,0.002529181162499274,0.01535271064524174,0.0
early_2015_2017,trend_volatility,high_trend__low_vol,neutral_50,False,0.425,0.373134328358209,-0.000323754101554663,0.0,51,0.5098039215686274,0.49019607843137253,26,0.5,0.0,0.49019607843137253,0,26,0,25,0.5,0.25,0.6931471805599454,0.5,0.0,0.009803921568627472,0.0
early_2015_2017,trend_volatility,high_trend__high_vol,native_mse,True,0.10833333333333334,0.09836065573770492,,0.0,13,0.5384615384615384,0.46153846153846156,7,0.5,1.0,0.5384615384615384,7,0,6,0,0.5,,,,,,
early_2015_2017,trend_volatility,high_trend__high_vol,learned_probe,True,0.10833333333333334,0.08771929824561403,0.011944195600731511,0.07692307692307698,13,0.6153846153846154,0.38461538461538464,8,0.6071428571428572,0.6153846153846154,0.5384615384615384,5,3,3,2,0.4523809523809524,0.2626135833888568,0.7190578040525685,0.5316500194138396,0.059141261684044766,-0.006811519047698833,0.0
early_2015_2017,trend_volatility,high_trend__high_vol,learned_clip,True,0.10833333333333334,0.08771929824561403,0.012188732354180665,0.07692307692307698,13,0.6153846153846154,0.38461538461538464,8,0.6071428571428572,0.6153846153846154,0.5384615384615384,5,3,3,2,0.4523809523809524,0.262858120142306,0.719572578553341,0.5325336442597393,0.05935948058056909,-0.005927894201799178,0.0
early_2015_2017,trend_volatility,high_trend__high_vol,raw25_probe,True,0.10833333333333334,0.1044776119402985,0.03167148468501757,-0.07692307692307687,13,0.46153846153846156,0.5384615384615384,6,0.5,0.0,0.5384615384615384,0,6,0,7,0.6904761904761905,0.2823408724731429,0.7708220819012062,0.2838416664019253,0.12161367827231413,-0.2546198720596131,0.0
