job,method,cutoff,seed,train_n,iterations,objective,gradient_inf,log_loss,brier,accuracy,auroc,mean_probability,probability_std,constant_brier,constant_log_loss,constant_accuracy,coordinate_clip_fraction,row_clip_fraction,floored_coordinates
learned_2014-12-31_20260910_clip,learned_clip,2014-12-31,20260910,1077,4,0.6538673544376851,7.198068096431198e-13,0.6502235886463126,0.22902419195286997,0.6313834726090993,0.6702424890483254,0.49210770659258346,0.1309056572280609,0.24993771170476817,0.6930225987958569,0.5078922934076138,0.02042711234911792,0.27669452181987003,0
learned_2014-12-31_20260911_clip,learned_clip,2014-12-31,20260911,1077,4,0.6441536190117876,2.0469737016526324e-16,0.640917288836097,0.22512406177464314,0.6202414113277623,0.6823669414645924,0.4921077065923863,0.1488049572481022,0.24993771170476817,0.6930225987958569,0.5078922934076138,0.02042711234911792,0.22098421541318478,0
learned_2014-12-31_20260912_clip,learned_clip,2014-12-31,20260912,1077,4,0.6446705910383199,9.139824314052802e-16,0.6404472327055968,0.22493980832816013,0.6350974930362117,0.6798006277810354,0.4921077065923863,0.14581884600188202,0.24993771170476817,0.6930225987958569,0.5078922934076138,0.02042711234911792,0.3333333333333333,0
learned_2015-12-31_20260910_clip,learned_clip,2015-12-31,20260910,1190,4,0.6440236811773848,1.5027042110649091e-16,0.6422111753041593,0.22549545183925127,0.6319327731092437,0.6794799002285252,0.5033613445378151,0.1514755204672447,0.24998870136289814,0.693124583115526,0.5033613445378151,0.020168067226890758,0.25126050420168067,0
learned_2015-12-31_20260911_clip,learned_clip,2015-12-31,20260911,1190,3,0.6644376159343018,5.566536396325178e-10,0.6613244360933637,0.23463016263641168,0.592436974789916,0.6383029809976583,0.5033613443921553,0.1118221275623656,0.24998870136289814,0.693124583115526,0.5033613445378151,0.020168067226890758,0.24033613445378152,0
learned_2015-12-31_20260912_clip,learned_clip,2015-12-31,20260912,1190,4,0.653874239979792,2.211772431870429e-17,0.6497012129841241,0.22897912565932693,0.6285714285714286,0.6681977011883878,0.5033613445378151,0.13056110951277072,0.24998870136289814,0.693124583115526,0.5033613445378151,0.020168067226890758,0.3042016806722689,0
learned_2016-12-31_20260910_clip,learned_clip,2016-12-31,20260910,1434,4,0.6434476131958766,2.7265516233665466e-15,0.6410009205481354,0.2255312266682495,0.6185495118549512,0.6753568656138556,0.50697350069735,0.15062911188535988,0.24995137028802408,0.6930499179826164,0.50697350069735,0.02092050209205021,0.1903765690376569,0
learned_2016-12-31_20260911_clip,learned_clip,2016-12-31,20260911,1434,4,0.6641583294533212,4.215595794340291e-17,0.6625622259550147,0.23532653074507942,0.5864714086471409,0.6343462603285285,0.50697350069735,0.11539487028364935,0.24995137028802408,0.6930499179826164,0.50697350069735,0.02092050209205021,0.29497907949790797,0
learned_2016-12-31_20260912_clip,learned_clip,2016-12-31,20260912,1434,3,0.666705212638071,3.34312840431783e-10,0.6645108664904638,0.2359274126240221,0.604602510460251,0.6374397117448038,0.5069735007826469,0.10874430609794945,0.24995137028802408,0.6930499179826164,0.50697350069735,0.02092050209205021,0.31311018131101814,0
learned_2017-12-31_20260910_clip,learned_clip,2017-12-31,20260910,1678,4,0.6527980547185818,4.5069156739963034e-13,0.6505853949175041,0.22985554027813185,0.5965435041716329,0.6564882997872689,0.5202622169250357,0.13375221853067049,0.2495894425652879,0.6923258407995493,0.5202622169249106,0.02026221692491061,0.2771156138259833,0
learned_2017-12-31_20260911_clip,learned_clip,2017-12-31,20260911,1678,4,0.6536090615625159,1.0424054679957891e-16,0.6512768753424371,0.22977712967090713,0.6239570917759237,0.6623835848398825,0.5202622169249106,0.13281873380412906,0.2495894425652879,0.6923258407995493,0.5202622169249106,0.02026221692491061,0.2526817640047676,0
learned_2017-12-31_20260912_clip,learned_clip,2017-12-31,20260912,1678,4,0.6444073164497038,7.370731629208205e-15,0.6419589018833957,0.22548302028771705,0.6257449344457687,0.6782978662853159,0.520262216924907,0.1478191214568854,0.2495894425652879,0.6923258407995493,0.5202622169249106,0.02026221692491061,0.265792610250298,0
learned_2018-12-31_20260910_clip,learned_clip,2018-12-31,20260910,1921,4,0.632651871452204,1.827887884456314e-13,0.6308477335759932,0.22089145587521788,0.6298802706923478,0.6925543705766632,0.5111920874544404,0.1667926754184142,0.2498747371784119,0.6928966339915423,0.5111920874544508,0.020822488287350338,0.2420614263404477,0
learned_2018-12-31_20260911_clip,learned_clip,2018-12-31,20260911,1921,4,0.648018371901919,7.355227538141662e-16,0.6469014038944791,0.22786598650481818,0.6173867777199376,0.6685102884942815,0.5111920874544505,0.1453510926469305,0.2498747371784119,0.6928966339915423,0.5111920874544508,0.020822488287350338,0.28526808953669963,0
learned_2018-12-31_20260912_clip,learned_clip,2018-12-31,20260912,1921,4,0.650978301188173,5.720250662033521e-16,0.6487527685686669,0.22858103220397133,0.6251952108276939,0.6682576038555554,0.5111920874544505,0.13851583247821375,0.2498747371784119,0.6928966339915423,0.5111920874544508,0.020822488287350338,0.29515877147319103,0
learned_2019-12-31_20260910_clip,learned_clip,2019-12-31,20260910,2165,4,0.6522571000052748,2.723515857283587e-16,0.6507743976097274,0.22964088780115136,0.6143187066974596,0.6615354757515962,0.5214780600461892,0.13638751180879796,0.24953869293665232,0.6922242824846752,0.5214780600461894,0.020323325635103928,0.2397228637413395,0
learned_2019-12-31_20260911_clip,learned_clip,2019-12-31,20260911,2165,4,0.6405058593184632,3.114761053246706e-14,0.6390885309761882,0.2240207269750744,0.6355658198614319,0.6850272390573542,0.5214780600461733,0.15526658336533922,0.24953869293665232,0.6922242824846752,0.5214780600461894,0.020323325635103928,0.20092378752886836,0
learned_2019-12-31_20260912_clip,learned_clip,2019-12-31,20260912,2165,4,0.6582073494768838,8.595554823465079e-16,0.6569072680839512,0.23254506568432215,0.6166281755196305,0.6498943268208104,0.5214780600461889,0.12561036271156772,0.24953869293665232,0.6922242824846752,0.5214780600461894,0.020323325635103928,0.2720554272517321,0
raw_2014-12-31_-1_clip,raw25_clip,2014-12-31,-1,1077,4,0.655657699883531,2.25284201016418e-14,0.6517227617131921,0.22971608229805673,0.6100278551532033,0.6659997930392191,0.49210770659237885,0.12713196042852434,0.24993771170476817,0.6930225987958569,0.5078922934076138,0.02042711234911792,0.21448467966573817,0
raw_2015-12-31_-1_clip,raw25_clip,2015-12-31,-1,1190,4,0.6664345257899404,4.96564594998361e-17,0.6632459167983521,0.23538428639204556,0.5991596638655462,0.6375685363931426,0.5033613445378151,0.10725004578491154,0.24998870136289814,0.693124583115526,0.5033613445378151,0.020168067226890758,0.21680672268907564,0
raw_2016-12-31_-1_clip,raw25_clip,2016-12-31,-1,1434,3,0.6718104480769999,1.6301283565188507e-10,0.6685980352615905,0.2379904514312642,0.5913528591352859,0.6255756446149626,0.5069735006538454,0.09403795351619129,0.24995137028802408,0.6930499179826164,0.50697350069735,0.02092050209205021,0.20711297071129708,0
raw_2017-12-31_-1_clip,raw25_clip,2017-12-31,-1,1678,3,0.6800092051148297,5.944566399459367e-12,0.6776950335275258,0.24239680763768645,0.5589988081048868,0.5980178295731859,0.5202622169225017,0.07026614867976796,0.2495894425652879,0.6923258407995493,0.5202622169249106,0.02026221692491061,0.21454112038140644,0
raw_2018-12-31_-1_clip,raw25_clip,2018-12-31,-1,1921,3,0.6797147724190238,1.695243947931642e-11,0.6773395510570536,0.2421942917526464,0.571056741280583,0.602035792291058,0.5111920874480532,0.07301422369296597,0.2498747371784119,0.6928966339915423,0.5111920874544508,0.020822488287350338,0.21603331598125977,0
raw_2019-12-31_-1_clip,raw25_clip,2019-12-31,-1,2165,3,0.6823197602544896,1.3357136577352158e-12,0.6801294387935821,0.24354391015639537,0.5672055427251732,0.5958436926107431,0.5214780600455639,0.061731384256215764,0.24953869293665232,0.6922242824846752,0.5214780600461894,0.020323325635103928,0.2115473441108545,0
