cutoff,market_column,raw_column,training_raw_error,validation_raw_error,training_standardized_error,validation_standardized_error,omitted_from_raw_append
2014-12-31,volatility20,close_log_return_population_sd_20,0.0,0.0,5.551115123125783e-15,4.551914400963142e-15,True
2014-12-31,range20,mean_high_low_log_range_20,0.0,0.0,5.995204332975845e-15,5.488665077990618e-15,True
2014-12-31,volume_change20,log1p_volume_change_20,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,True
2015-12-31,volatility20,close_log_return_population_sd_20,0.0,0.0,1.7763568394002505e-15,1.5543122344752192e-15,True
2015-12-31,range20,mean_high_low_log_range_20,0.0,0.0,5.329070518200751e-15,5.329070518200751e-15,True
2015-12-31,volume_change20,log1p_volume_change_20,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,True
2016-12-31,volatility20,close_log_return_population_sd_20,0.0,0.0,1.0436096431476471e-14,1.0436096431476471e-14,True
2016-12-31,range20,mean_high_low_log_range_20,0.0,0.0,4.218847493575595e-15,3.9968028886505635e-15,True
2016-12-31,volume_change20,log1p_volume_change_20,0.0,0.0,8.881784197001252e-16,4.440892098500626e-16,True
2017-12-31,volatility20,close_log_return_population_sd_20,0.0,0.0,6.217248937900877e-15,5.329070518200751e-15,True
2017-12-31,range20,mean_high_low_log_range_20,0.0,0.0,8.43769498715119e-15,8.215650382226158e-15,True
2017-12-31,volume_change20,log1p_volume_change_20,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,True
2018-12-31,volatility20,close_log_return_population_sd_20,0.0,0.0,4.884981308350689e-15,3.9968028886505635e-15,True
2018-12-31,range20,mean_high_low_log_range_20,0.0,0.0,3.552713678800501e-15,3.3306690738754696e-15,True
2018-12-31,volume_change20,log1p_volume_change_20,0.0,0.0,3.9968028886505635e-15,3.9968028886505635e-15,True
2019-12-31,volatility20,close_log_return_population_sd_20,0.0,0.0,5.10702591327572e-15,3.9968028886505635e-15,True
2019-12-31,range20,mean_high_low_log_range_20,0.0,0.0,8.43769498715119e-15,7.993605777301127e-15,True
2019-12-31,volume_change20,log1p_volume_change_20,0.0,0.0,1.7763568394002505e-15,1.3322676295501878e-15,True
