job,dimensions,training_rows,validation_rows,maximum_forecast_error
learned_market_2014-12-31_20260910,29,1077,22,1.1102230246251565e-16
learned_market_2014-12-31_20260911,29,1077,22,1.1102230246251565e-16
learned_market_2014-12-31_20260912,29,1077,22,2.220446049250313e-16
learned_market_2015-12-31_20260910,29,1190,48,2.220446049250313e-16
learned_market_2015-12-31_20260911,29,1190,48,1.1102230246251565e-16
learned_market_2015-12-31_20260912,29,1190,48,2.220446049250313e-16
learned_market_2016-12-31_20260910,29,1434,50,2.220446049250313e-16
learned_market_2016-12-31_20260911,29,1434,50,1.1102230246251565e-16
learned_market_2016-12-31_20260912,29,1434,50,1.1102230246251565e-16
learned_market_2017-12-31_20260910,29,1678,49,1.1102230246251565e-16
learned_market_2017-12-31_20260911,29,1678,49,1.1102230246251565e-16
learned_market_2017-12-31_20260912,29,1678,49,1.1102230246251565e-16
learned_market_2018-12-31_20260910,29,1921,46,2.220446049250313e-16
learned_market_2018-12-31_20260911,29,1921,46,1.1102230246251565e-16
learned_market_2018-12-31_20260912,29,1921,46,1.1102230246251565e-16
learned_market_2019-12-31_20260910,29,2165,46,2.220446049250313e-16
learned_market_2019-12-31_20260911,29,2165,46,2.220446049250313e-16
learned_market_2019-12-31_20260912,29,2165,46,2.220446049250313e-16
market4_2014-12-31_-1,4,1077,22,1.1102230246251565e-16
market4_2015-12-31_-1,4,1190,48,1.1102230246251565e-16
market4_2016-12-31_-1,4,1434,50,1.1102230246251565e-16
market4_2017-12-31_-1,4,1678,49,1.1102230246251565e-16
market4_2018-12-31_-1,4,1921,46,1.1102230246251565e-16
market4_2019-12-31_-1,4,2165,46,1.1102230246251565e-16
raw_trend_2014-12-31_-1,26,1077,22,2.220446049250313e-16
raw_trend_2015-12-31_-1,26,1190,48,2.220446049250313e-16
raw_trend_2016-12-31_-1,26,1434,50,1.1102230246251565e-16
raw_trend_2017-12-31_-1,26,1678,49,1.1102230246251565e-16
raw_trend_2018-12-31_-1,26,1921,46,1.1102230246251565e-16
raw_trend_2019-12-31_-1,26,2165,46,1.1102230246251565e-16
