job,method,cutoff,seed,alternate_iterations,alternate_success,alternate_message,objective_absolute_gap,maximum_training_probability_gap,alternate_gradient_inf
learned_market_2014-12-31_20260910,learned_market,2014-12-31,20260910,72,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.2212453270876722e-15,5.5814547761379174e-08,3.6235596181585783e-09
learned_market_2014-12-31_20260911,learned_market,2014-12-31,20260911,80,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6653345369377348e-15,8.417762981105525e-08,1.3145247977099355e-08
learned_market_2014-12-31_20260912,learned_market,2014-12-31,20260912,57,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6653345369377348e-15,6.861028956084425e-08,1.195102840344589e-08
learned_market_2015-12-31_20260910,learned_market,2015-12-31,20260910,69,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.2148511043888e-15,1.236134161697322e-07,2.084075800476426e-08
learned_market_2015-12-31_20260911,learned_market,2015-12-31,20260911,82,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.887379141862766e-15,7.401777452065161e-08,1.010009473560898e-08
learned_market_2015-12-31_20260912,learned_market,2015-12-31,20260912,78,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.992007221626409e-16,4.6367944872560685e-08,4.750148060918974e-09
learned_market_2016-12-31_20260910,learned_market,2016-12-31,20260910,78,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.887379141862766e-15,7.255341449852182e-08,6.2451074437676335e-09
learned_market_2016-12-31_20260911,learned_market,2016-12-31,20260911,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7763568394002505e-15,6.163949339832442e-08,5.033661895723768e-09
learned_market_2016-12-31_20260912,learned_market,2016-12-31,20260912,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,7.771561172376096e-16,6.298210730726339e-08,3.5308759758221134e-09
learned_market_2017-12-31_20260910,learned_market,2017-12-31,20260910,72,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.887379141862766e-15,1.0051379284448103e-07,1.0602057307431984e-08
learned_market_2017-12-31_20260911,learned_market,2017-12-31,20260911,78,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1102230246251565e-15,6.45247801300819e-08,5.749943164830296e-09
learned_market_2017-12-31_20260912,learned_market,2017-12-31,20260912,87,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.881784197001252e-16,5.022073801264071e-08,3.018582414354041e-09
learned_market_2018-12-31_20260910,learned_market,2018-12-31,20260910,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.3322676295501878e-15,5.0283321950672644e-08,3.791517611700414e-09
learned_market_2018-12-31_20260911,learned_market,2018-12-31,20260911,67,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.887379141862766e-15,6.56535916743195e-08,7.94164205458834e-09
learned_market_2018-12-31_20260912,learned_market,2018-12-31,20260912,70,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.440892098500626e-15,7.884865088625403e-08,8.055779045137296e-09
learned_market_2019-12-31_20260910,learned_market,2019-12-31,20260910,76,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.773959005888173e-15,1.0816126594370701e-07,7.161703955322089e-09
learned_market_2019-12-31_20260911,learned_market,2019-12-31,20260911,71,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.7755575615628914e-15,5.7943829789852686e-08,7.326453539817794e-09
learned_market_2019-12-31_20260912,learned_market,2019-12-31,20260912,75,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.1086244689504383e-15,1.0256463039981512e-07,2.0989231738505892e-08
market4_2014-12-31_-1,market4,2014-12-31,-1,11,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1102230246251565e-16,9.674335776921339e-10,3.5441485710316935e-10
market4_2015-12-31_-1,market4,2015-12-31,-1,11,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,2.1736334954169934e-10,8.44699451444525e-11
market4_2016-12-31_-1,market4,2016-12-31,-1,11,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.220446049250313e-16,5.117471002513696e-09,5.542806541438544e-10
market4_2017-12-31_-1,market4,2017-12-31,-1,12,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1102230246251565e-16,1.9594845968029517e-08,7.852962083020608e-09
market4_2018-12-31_-1,market4,2018-12-31,-1,11,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.220446049250313e-16,1.4390106162220917e-08,1.2978990410151778e-08
market4_2019-12-31_-1,market4,2019-12-31,-1,12,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.1102230246251565e-16,8.772019666203335e-09,2.05319902876408e-09
raw_trend_2014-12-31_-1,raw_trend,2014-12-31,-1,73,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7763568394002505e-15,8.813488383552226e-08,1.244736117138128e-08
raw_trend_2015-12-31_-1,raw_trend,2015-12-31,-1,72,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.1094237467877974e-15,1.0738453515291013e-07,8.060113087810655e-09
