job,base_dimensions,dimensions,training_rows,validation_rows,maximum_forecast_error,parent_forecast_error
learned_vol_interaction_2014-12-31_20260910,29,30,1077,22,1.1102230246251565e-16,1.1102230246251565e-16
learned_vol_interaction_2014-12-31_20260911,29,30,1077,22,1.1102230246251565e-16,1.1102230246251565e-16
learned_vol_interaction_2014-12-31_20260912,29,30,1077,22,2.220446049250313e-16,2.220446049250313e-16
learned_vol_interaction_2015-12-31_20260910,29,30,1190,48,2.220446049250313e-16,2.220446049250313e-16
learned_vol_interaction_2015-12-31_20260911,29,30,1190,48,2.220446049250313e-16,1.1102230246251565e-16
learned_vol_interaction_2015-12-31_20260912,29,30,1190,48,2.220446049250313e-16,2.220446049250313e-16
learned_vol_interaction_2016-12-31_20260910,29,30,1434,50,2.220446049250313e-16,2.220446049250313e-16
learned_vol_interaction_2016-12-31_20260911,29,30,1434,50,2.220446049250313e-16,1.1102230246251565e-16
learned_vol_interaction_2016-12-31_20260912,29,30,1434,50,1.1102230246251565e-16,1.1102230246251565e-16
learned_vol_interaction_2017-12-31_20260910,29,30,1678,49,1.1102230246251565e-16,1.1102230246251565e-16
learned_vol_interaction_2017-12-31_20260911,29,30,1678,49,1.1102230246251565e-16,1.1102230246251565e-16
learned_vol_interaction_2017-12-31_20260912,29,30,1678,49,1.1102230246251565e-16,1.1102230246251565e-16
learned_vol_interaction_2018-12-31_20260910,29,30,1921,46,1.1102230246251565e-16,2.220446049250313e-16
learned_vol_interaction_2018-12-31_20260911,29,30,1921,46,2.220446049250313e-16,1.1102230246251565e-16
learned_vol_interaction_2018-12-31_20260912,29,30,1921,46,2.220446049250313e-16,1.1102230246251565e-16
learned_vol_interaction_2019-12-31_20260910,29,30,2165,46,2.220446049250313e-16,2.220446049250313e-16
learned_vol_interaction_2019-12-31_20260911,29,30,2165,46,1.1102230246251565e-16,2.220446049250313e-16
learned_vol_interaction_2019-12-31_20260912,29,30,2165,46,2.220446049250313e-16,2.220446049250313e-16
raw_vol_interaction_2014-12-31_-1,26,27,1077,22,4.440892098500626e-16,2.220446049250313e-16
raw_vol_interaction_2015-12-31_-1,26,27,1190,48,2.8449465006019636e-16,2.220446049250313e-16
raw_vol_interaction_2016-12-31_-1,26,27,1434,50,2.220446049250313e-16,1.1102230246251565e-16
raw_vol_interaction_2017-12-31_-1,26,27,1678,49,1.1102230246251565e-16,1.1102230246251565e-16
raw_vol_interaction_2018-12-31_-1,26,27,1921,46,2.220446049250313e-16,1.1102230246251565e-16
raw_vol_interaction_2019-12-31_-1,26,27,2165,46,1.1102230246251565e-16,1.1102230246251565e-16
