method,cost_bps,start,end,total_return,cagr,sharpe_zero_cash,max_drawdown,exposure,one_way_turnover,observations
a_close_annual,0,2021-01-11,2026-08-31,-0.2057775034775935,-0.04006478141315839,-0.1542786214107542,-0.397854144736007,0.7320644216691069,58,1366
a_close_annual,5,2021-01-11,2026-08-31,-0.22848478579914833,-0.04499397581161113,-0.1847509995487672,-0.4062275297363944,0.7320644216691069,58,1366
a_close_annual,10,2021-01-11,2026-08-31,-0.2505537316610268,-0.04990030663957956,-0.21522492545989869,-0.41448857790994764,0.7320644216691069,58,1366
a_close_annual,20,2021-01-11,2026-08-31,-0.29284668915338596,-0.059644755985778675,-0.276147066422779,-0.43067945375252037,0.7320644216691069,58,1366
b_exec_annual,0,2021-01-11,2026-08-31,-0.191513109821691,-0.037027304521759286,-0.13592173631112023,-0.405837012732321,0.7240117130307467,56,1366
b_exec_annual,5,2021-01-11,2026-08-31,-0.21384225823781622,-0.041802009510334526,-0.165372110466965,-0.4123386067849706,0.7240117130307467,56,1366
b_exec_annual,10,2021-01-11,2026-08-31,-0.23556542323045349,-0.04655541148367015,-0.19482647118278715,-0.4187722574824516,0.7240117130307467,56,1366
b_exec_annual,20,2021-01-11,2026-08-31,-0.27725799831289566,-0.05599864391389808,-0.25371872988690786,-0.43143842861689863,0.7240117130307467,56,1366
c_econ_annual,0,2021-01-11,2026-08-31,-0.14917063197540037,-0.028263372471406867,-0.05471453909221396,-0.465474767241462,0.9758418740849195,14,1366
c_econ_annual,5,2021-01-11,2026-08-31,-0.15510711984300785,-0.029470158438871796,-0.061278092192675084,-0.46600915884291116,0.9758418740849195,14,1366
c_econ_annual,10,2021-01-11,2026-08-31,-0.16100512650716614,-0.03067604843707583,-0.06783993472203587,-0.46654328318174776,0.9758418740849195,14,1366
c_econ_annual,20,2021-01-11,2026-08-31,-0.17268661643270877,-0.03308514139484142,-0.08095718911973995,-0.4676107300715654,0.9758418740849195,14,1366
d_multi_exp_annual,0,2021-01-11,2026-08-31,-0.20135303024205298,-0.039117861188537106,-0.1463737967487244,-0.40623159720755664,0.7972181551976574,44,1366
d_multi_exp_annual,5,2021-01-11,2026-08-31,-0.2187356989793816,-0.042863263380847005,-0.16940915540055562,-0.4115528616422587,0.7972181551976574,44,1366
d_multi_exp_annual,10,2021-01-11,2026-08-31,-0.23574844660308458,-0.04659592960593939,-0.19245357973473792,-0.4168290645953555,0.7972181551976574,44,1366
d_multi_exp_annual,20,2021-01-11,2026-08-31,-0.2686947944147816,-0.05402320192906085,-0.23855221308447022,-0.42724772065690064,0.7972181551976574,44,1366
e_adaptive_annual,0,2021-01-11,2026-08-31,-0.15313790777892733,-0.02906908058013613,-0.06744486188397522,-0.4260532877694396,0.91800878477306,30,1366
e_adaptive_annual,5,2021-01-11,2026-08-31,-0.16574917124546928,-0.031651072871845876,-0.08199887799808257,-0.42891657303174957,0.91800878477306,30,1366
e_adaptive_annual,10,2021-01-11,2026-08-31,-0.17817880070746417,-0.03422748569668521,-0.09654917445117515,-0.43176699604291635,0.91800878477306,30,1366
e_adaptive_annual,20,2021-01-11,2026-08-31,-0.20250323185028152,-0.039363610028078755,-0.12563207436199547,-0.43742946067085164,0.91800878477306,30,1366
f_multi_exp_quarter,0,2021-01-11,2026-08-31,-0.04788539112598622,-0.008671015901407952,0.040609036384634055,-0.40806310602789153,0.794289897510981,48,1366
f_multi_exp_quarter,5,2021-01-11,2026-08-31,-0.07046969236290468,-0.012885628490966972,0.016380951897079315,-0.41454034118367034,0.794289897510981,48,1366
f_multi_exp_quarter,10,2021-01-11,2026-08-31,-0.09252919120364023,-0.017084418200827955,-0.007849921444397848,-0.42094988754111307,0.794289897510981,48,1366
f_multi_exp_quarter,20,2021-01-11,2026-08-31,-0.13512128188850203,-0.02543473495489712,-0.05630142082967786,-0.4335686035508768,0.794289897510981,48,1366
g_multi_3y_annual,0,2021-01-11,2026-08-31,-0.17441375747293741,-0.03344370320132095,-0.2307628338267804,-0.37970744586185223,0.3967789165446559,40,1366
g_multi_3y_annual,5,2021-01-11,2026-08-31,-0.19076550790647617,-0.03686932850690283,-0.2611771443826653,-0.38280193963756015,0.3967789165446559,40,1366
g_multi_3y_annual,10,2021-01-11,2026-08-31,-0.20680133178668791,-0.04028451785694598,-0.2915545090022542,-0.38588253254329896,0.3967789165446559,40,1366
g_multi_3y_annual,20,2021-01-11,2026-08-31,-0.23794889211269799,-0.047083695008505844,-0.3521542125387399,-0.3920022376865324,0.3967789165446559,40,1366
h_multi_5y_annual,0,2021-01-11,2026-08-31,-0.29769451584671147,-0.060792111830377915,-0.46011686594094253,-0.42152618539271536,0.4172767203513909,54,1366
h_multi_5y_annual,5,2021-01-11,2026-08-31,-0.3164076778176207,-0.06528306526054206,-0.49980799232299145,-0.42613666212257895,0.4172767203513909,54,1366
h_multi_5y_annual,10,2021-01-11,2026-08-31,-0.3346312129266156,-0.06975477562987542,-0.5393864168663182,-0.4307126724637149,0.4172767203513909,54,1366
h_multi_5y_annual,20,2021-01-11,2026-08-31,-0.36965938767722495,-0.07864075848355212,-0.6181340466797738,-0.44748998304884924,0.4172767203513909,54,1366
i_multi_3y_quarter,0,2021-01-11,2026-08-31,-0.1788684210268361,-0.03437136632718296,-0.20725246262691902,-0.3665965243543431,0.4355783308931186,54,1366
i_multi_3y_quarter,5,2021-01-11,2026-08-31,-0.20074774360578473,-0.03898865423466569,-0.2447057074792434,-0.3703865114498843,0.4355783308931186,54,1366
i_multi_3y_quarter,10,2021-01-11,2026-08-31,-0.22205459724165377,-0.04358615775705976,-0.28211116339604725,-0.37415570046843016,0.4355783308931186,54,1366
i_multi_3y_quarter,20,2021-01-11,2026-08-31,-0.2630093400003439,-0.05272211113853953,-0.35671832187108216,-0.38163209904184625,0.4355783308931186,54,1366
j_multi_5y_quarter,0,2021-01-11,2026-08-31,-0.3265394388486871,-0.06775692942609823,-0.49905802090266593,-0.4356589454246228,0.4494875549048316,54,1366
j_multi_5y_quarter,5,2021-01-11,2026-08-31,-0.34448401830336484,-0.07221457961012723,-0.5375177866529405,-0.4446187726337024,0.4494875549048316,54,1366
j_multi_5y_quarter,10,2021-01-11,2026-08-31,-0.3619590807335854,-0.07665312943273261,-0.5758897705940057,-0.45344072495902843,0.4494875549048316,54,1366
j_multi_5y_quarter,20,2021-01-11,2026-08-31,-0.39554858666217907,-0.08547321713101885,-0.6523052158016874,-0.47067919222308996,0.4494875549048316,54,1366
k_logit_exp_annual,0,2021-01-11,2026-08-31,-0.24065983639779664,-0.04768621630612102,-0.2729706603974752,-0.4123595306833795,0.6676427525622255,76,1366
k_logit_exp_annual,5,2021-01-11,2026-08-31,-0.2689803449972116,-0.05408876804780405,-0.3208480846474335,-0.42284502806974933,0.6676427525622255,76,1366
k_logit_exp_annual,10,2021-01-11,2026-08-31,-0.29625799062868174,-0.06045144586490536,-0.3686858902533979,-0.43314853544149445,0.6676427525622255,76,1366
k_logit_exp_annual,20,2021-01-11,2026-08-31,-0.3478349673796346,-0.07305809275600761,-0.4641542052150104,-0.46390006975233666,0.6676427525622255,76,1366
l_logit_5y_quarter,0,2021-01-11,2026-08-31,-0.3616939078190362,-0.07658503428794627,-0.5385916138222429,-0.4092978337298986,0.4743777452415813,36,1366
l_logit_5y_quarter,5,2021-01-11,2026-08-31,-0.3730834516144963,-0.07953101009286934,-0.5630087570730321,-0.4192573647158627,0.4743777452415813,36,1366
l_logit_5y_quarter,10,2021-01-11,2026-08-31,-0.38427531444495355,-0.08246905437825836,-0.5873808999970074,-0.4290538309987396,0.4743777452415813,36,1366
