job,full_rows,recent_rows,dimensions,first_date,last_completed
learned_recent_additive_2014-12-31_20260910,1077,720,29,2012-01-04,2014-12-31
learned_recent_additive_2014-12-31_20260911,1077,720,29,2012-01-04,2014-12-31
learned_recent_additive_2014-12-31_20260912,1077,720,29,2012-01-04,2014-12-31
learned_recent_additive_2015-12-31_20260910,1190,590,29,2013-01-04,2015-12-31
learned_recent_additive_2015-12-31_20260911,1190,590,29,2013-01-04,2015-12-31
learned_recent_additive_2015-12-31_20260912,1190,590,29,2013-01-04,2015-12-31
learned_recent_additive_2016-12-31_20260910,1434,596,29,2014-01-02,2016-12-30
learned_recent_additive_2016-12-31_20260911,1434,596,29,2014-01-02,2016-12-30
learned_recent_additive_2016-12-31_20260912,1434,596,29,2014-01-02,2016-12-30
learned_recent_additive_2017-12-31_20260910,1678,595,29,2015-01-05,2017-12-29
learned_recent_additive_2017-12-31_20260911,1678,595,29,2015-01-05,2017-12-29
learned_recent_additive_2017-12-31_20260912,1678,595,29,2015-01-05,2017-12-29
learned_recent_additive_2018-12-31_20260910,1921,725,29,2016-01-04,2018-12-28
learned_recent_additive_2018-12-31_20260911,1921,725,29,2016-01-04,2018-12-28
learned_recent_additive_2018-12-31_20260912,1921,725,29,2016-01-04,2018-12-28
learned_recent_additive_2019-12-31_20260910,2165,725,29,2017-01-03,2019-12-31
learned_recent_additive_2019-12-31_20260911,2165,725,29,2017-01-03,2019-12-31
learned_recent_additive_2019-12-31_20260912,2165,725,29,2017-01-03,2019-12-31
raw_recent_additive_2014-12-31_-1,1077,720,26,2012-01-04,2014-12-31
raw_recent_additive_2015-12-31_-1,1190,590,26,2013-01-04,2015-12-31
raw_recent_additive_2016-12-31_-1,1434,596,26,2014-01-02,2016-12-30
raw_recent_additive_2017-12-31_-1,1678,595,26,2015-01-05,2017-12-29
raw_recent_additive_2018-12-31_-1,1921,725,26,2016-01-04,2018-12-28
raw_recent_additive_2019-12-31_-1,2165,725,26,2017-01-03,2019-12-31
learned_recent_interaction_2014-12-31_20260910,1077,720,30,2012-01-04,2014-12-31
learned_recent_interaction_2014-12-31_20260911,1077,720,30,2012-01-04,2014-12-31
learned_recent_interaction_2014-12-31_20260912,1077,720,30,2012-01-04,2014-12-31
learned_recent_interaction_2015-12-31_20260910,1190,590,30,2013-01-04,2015-12-31
learned_recent_interaction_2015-12-31_20260911,1190,590,30,2013-01-04,2015-12-31
learned_recent_interaction_2015-12-31_20260912,1190,590,30,2013-01-04,2015-12-31
learned_recent_interaction_2016-12-31_20260910,1434,596,30,2014-01-02,2016-12-30
learned_recent_interaction_2016-12-31_20260911,1434,596,30,2014-01-02,2016-12-30
learned_recent_interaction_2016-12-31_20260912,1434,596,30,2014-01-02,2016-12-30
learned_recent_interaction_2017-12-31_20260910,1678,595,30,2015-01-05,2017-12-29
learned_recent_interaction_2017-12-31_20260911,1678,595,30,2015-01-05,2017-12-29
learned_recent_interaction_2017-12-31_20260912,1678,595,30,2015-01-05,2017-12-29
learned_recent_interaction_2018-12-31_20260910,1921,725,30,2016-01-04,2018-12-28
learned_recent_interaction_2018-12-31_20260911,1921,725,30,2016-01-04,2018-12-28
learned_recent_interaction_2018-12-31_20260912,1921,725,30,2016-01-04,2018-12-28
learned_recent_interaction_2019-12-31_20260910,2165,725,30,2017-01-03,2019-12-31
learned_recent_interaction_2019-12-31_20260911,2165,725,30,2017-01-03,2019-12-31
learned_recent_interaction_2019-12-31_20260912,2165,725,30,2017-01-03,2019-12-31
raw_recent_interaction_2014-12-31_-1,1077,720,27,2012-01-04,2014-12-31
raw_recent_interaction_2015-12-31_-1,1190,590,27,2013-01-04,2015-12-31
raw_recent_interaction_2016-12-31_-1,1434,596,27,2014-01-02,2016-12-30
raw_recent_interaction_2017-12-31_-1,1678,595,27,2015-01-05,2017-12-29
raw_recent_interaction_2018-12-31_-1,1921,725,27,2016-01-04,2018-12-28
raw_recent_interaction_2019-12-31_-1,2165,725,27,2017-01-03,2019-12-31
