window,method,reference,changed,correct_to_wrong,wrong_to_correct
early_2015_2017,learned_hmm_interaction,learned_market,3,2,1
early_2015_2017,learned_hmm_interaction,learned_vol_interaction,4,1,3
early_2015_2017,learned_hmm_interaction,native_mse,31,16,15
early_2015_2017,learned_hmm_interaction,training_frequency,79,42,37
early_2015_2017,learned_hmm_interaction,hmm_only,57,29,28
early_2015_2017,raw_hmm_interaction,raw_trend,2,1,1
early_2015_2017,raw_hmm_interaction,raw_vol_interaction,6,3,3
early_2015_2017,raw_hmm_interaction,native_mse,65,36,29
early_2015_2017,raw_hmm_interaction,training_frequency,83,47,36
early_2015_2017,raw_hmm_interaction,hmm_only,51,29,22
late_2018_2020,learned_hmm_interaction,learned_market,0,0,0
late_2018_2020,learned_hmm_interaction,learned_vol_interaction,4,3,1
late_2018_2020,learned_hmm_interaction,native_mse,16,10,6
late_2018_2020,learned_hmm_interaction,training_frequency,59,29,30
late_2018_2020,learned_hmm_interaction,hmm_only,59,29,30
late_2018_2020,raw_hmm_interaction,raw_trend,1,1,0
late_2018_2020,raw_hmm_interaction,raw_vol_interaction,6,3,3
late_2018_2020,raw_hmm_interaction,native_mse,49,28,21
late_2018_2020,raw_hmm_interaction,training_frequency,64,33,31
late_2018_2020,raw_hmm_interaction,hmm_only,64,33,31
