job,training_rows,heldout_rows,maximum_forecast_error
learned_hmm_interaction_2014-12-31_20260910,1077,22,4.440892098500626e-16
learned_hmm_interaction_2014-12-31_20260911,1077,22,1.3877787807814457e-15
learned_hmm_interaction_2014-12-31_20260912,1077,22,1.9984014443252818e-15
learned_hmm_interaction_2015-12-31_20260910,1190,48,5.828670879282072e-16
learned_hmm_interaction_2015-12-31_20260911,1190,48,6.938893903907228e-16
learned_hmm_interaction_2015-12-31_20260912,1190,48,1.1102230246251565e-16
learned_hmm_interaction_2016-12-31_20260910,1434,50,1.27675647831893e-14
learned_hmm_interaction_2016-12-31_20260911,1434,50,1.1102230246251565e-14
learned_hmm_interaction_2016-12-31_20260912,1434,50,1.8596235662471372e-15
learned_hmm_interaction_2017-12-31_20260910,1678,49,5.523359547510154e-15
learned_hmm_interaction_2017-12-31_20260911,1678,49,6.106226635438361e-15
learned_hmm_interaction_2017-12-31_20260912,1678,49,9.2148511043888e-15
learned_hmm_interaction_2018-12-31_20260910,1921,46,7.549516567451064e-15
learned_hmm_interaction_2018-12-31_20260911,1921,46,2.4424906541753444e-15
learned_hmm_interaction_2018-12-31_20260912,1921,46,4.773959005888173e-15
learned_hmm_interaction_2019-12-31_20260910,2165,46,6.5503158452884236e-15
learned_hmm_interaction_2019-12-31_20260911,2165,46,3.3306690738754696e-15
learned_hmm_interaction_2019-12-31_20260912,2165,46,5.88418203051333e-15
raw_hmm_interaction_2014-12-31_-1,1077,22,1.9984014443252818e-15
raw_hmm_interaction_2015-12-31_-1,1190,48,2.220446049250313e-16
raw_hmm_interaction_2016-12-31_-1,1434,50,2.7200464103316335e-15
raw_hmm_interaction_2017-12-31_-1,1678,49,2.886579864025407e-15
raw_hmm_interaction_2018-12-31_-1,1921,46,5.440092820663267e-15
raw_hmm_interaction_2019-12-31_-1,2165,46,1.176836406102666e-14
hmm_only_2014-12-31_0,1077,22,7.271960811294775e-15
hmm_only_2015-12-31_0,1190,48,2.4702462297909733e-15
hmm_only_2016-12-31_0,1434,50,3.3688329903469594e-15
hmm_only_2017-12-31_0,1678,49,4.232725281383409e-15
hmm_only_2018-12-31_0,1921,46,3.0461744238152733e-15
hmm_only_2019-12-31_0,2165,46,4.135580766728708e-15
