job,training_fitted_value_gap,training_residual_gap,validation_residual_gap,rank
learned_hmm_interaction_2014-12-31_20260910,4.218847493575595e-15,1.3322676295501878e-14,7.743805596760467e-15,30
learned_hmm_interaction_2014-12-31_20260911,1.609823385706477e-15,4.9960036108132044e-15,2.9976021664879227e-15,30
learned_hmm_interaction_2014-12-31_20260912,1.2490009027033011e-15,4.3298697960381105e-15,3.6637359812630166e-15,30
learned_hmm_interaction_2015-12-31_20260910,4.468647674116255e-15,1.7208456881689926e-14,1.0658141036401503e-14,30
learned_hmm_interaction_2015-12-31_20260911,2.26554885962571e-15,1.1657341758564144e-14,9.769962616701378e-15,30
learned_hmm_interaction_2015-12-31_20260912,5.384581669432009e-15,3.03368441478824e-14,3.57075480295066e-14,30
learned_hmm_interaction_2016-12-31_20260910,2.6645352591003757e-15,9.71445146547012e-15,6.661338147750939e-15,30
learned_hmm_interaction_2016-12-31_20260911,5.10702591327572e-15,2.1316282072803006e-14,1.587618925213974e-14,30
learned_hmm_interaction_2016-12-31_20260912,1.700029006457271e-15,1.0769163338864018e-14,6.217248937900877e-15,30
learned_hmm_interaction_2017-12-31_20260910,2.886579864025407e-15,1.0658141036401503e-14,4.773959005888173e-15,30
learned_hmm_interaction_2017-12-31_20260911,4.454769886308441e-15,1.5792922525292852e-14,1.1823875212257917e-14,30
learned_hmm_interaction_2017-12-31_20260912,3.4416913763379853e-15,1.2101430968414206e-14,8.215650382226158e-15,30
learned_hmm_interaction_2018-12-31_20260910,3.774758283725532e-15,9.825473767932635e-15,7.549516567451064e-15,30
learned_hmm_interaction_2018-12-31_20260911,4.3298697960381105e-15,1.484229406045756e-14,1.1102230246251565e-14,30
learned_hmm_interaction_2018-12-31_20260912,6.2727600891321345e-15,2.1649348980190553e-14,1.3433698597964394e-14,30
learned_hmm_interaction_2019-12-31_20260910,4.551914400963142e-15,1.6153745008296028e-14,9.658940314238862e-15,30
learned_hmm_interaction_2019-12-31_20260911,2.4424906541753444e-15,8.659739592076221e-15,5.551115123125783e-15,30
learned_hmm_interaction_2019-12-31_20260912,3.9968028886505635e-15,1.4488410471358293e-14,8.215650382226158e-15,30
raw_hmm_interaction_2014-12-31_-1,1.3322676295501878e-15,5.10702591327572e-15,3.885780586188048e-15,27
raw_hmm_interaction_2015-12-31_-1,2.0261570199409107e-15,1.176836406102666e-14,7.549516567451064e-15,27
raw_hmm_interaction_2016-12-31_-1,2.248201624865942e-15,9.769962616701378e-15,3.9968028886505635e-15,27
raw_hmm_interaction_2017-12-31_-1,1.609823385706477e-15,8.049116928532385e-15,4.926614671774132e-15,27
raw_hmm_interaction_2018-12-31_-1,1.970645868709653e-15,8.43769498715119e-15,6.217248937900877e-15,27
raw_hmm_interaction_2019-12-31_-1,1.1657341758564144e-15,5.773159728050814e-15,3.1086244689504383e-15,27
