job,rows,dimensions,last_label
learned_market_2014-12-31_20260910,1077,29,2014-12-31
learned_market_2014-12-31_20260911,1077,29,2014-12-31
learned_market_2014-12-31_20260912,1077,29,2014-12-31
raw_trend_2014-12-31_-1,1077,26,2014-12-31
learned_market_2015-12-31_20260910,1190,29,2015-12-31
learned_market_2015-12-31_20260911,1190,29,2015-12-31
learned_market_2015-12-31_20260912,1190,29,2015-12-31
raw_trend_2015-12-31_-1,1190,26,2015-12-31
learned_market_2016-12-31_20260910,1434,29,2016-12-30
learned_market_2016-12-31_20260911,1434,29,2016-12-30
learned_market_2016-12-31_20260912,1434,29,2016-12-30
raw_trend_2016-12-31_-1,1434,26,2016-12-30
learned_market_2017-12-31_20260910,1678,29,2017-12-29
learned_market_2017-12-31_20260911,1678,29,2017-12-29
learned_market_2017-12-31_20260912,1678,29,2017-12-29
raw_trend_2017-12-31_-1,1678,26,2017-12-29
learned_market_2018-12-31_20260910,1921,29,2018-12-28
learned_market_2018-12-31_20260911,1921,29,2018-12-28
learned_market_2018-12-31_20260912,1921,29,2018-12-28
raw_trend_2018-12-31_-1,1921,26,2018-12-28
learned_market_2019-12-31_20260910,2165,29,2019-12-31
learned_market_2019-12-31_20260911,2165,29,2019-12-31
learned_market_2019-12-31_20260912,2165,29,2019-12-31
raw_trend_2019-12-31_-1,2165,26,2019-12-31
