job,objective_absolute_gap,maximum_training_probability_gap,alternate_gradient_inf,alternate_success,alternate_iterations,alternate_message
learned_relativevol_interaction_2014-12-31_20260910,3.3306690738754696e-15,9.790312582858007e-08,8.975761287650583e-09,True,75,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2014-12-31_20260911,2.55351295663786e-15,8.847651733479012e-08,5.765717421351516e-09,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2014-12-31_20260912,1.2212453270876722e-15,7.480866848208478e-08,6.118938018382855e-09,True,58,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2015-12-31_20260910,2.7755575615628914e-15,6.024339155308311e-08,7.827190438326748e-09,True,73,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2015-12-31_20260911,4.3298697960381105e-15,1.0615658707635589e-07,8.048117683493458e-09,True,86,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2015-12-31_20260912,2.9976021664879227e-15,1.2242020941410914e-07,1.4152577194588914e-08,True,77,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2016-12-31_20260910,4.440892098500626e-15,1.088218902767224e-07,2.988364333504005e-08,True,77,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2016-12-31_20260911,2.3314683517128287e-15,1.068224758093983e-07,6.2057024854131684e-09,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2016-12-31_20260912,4.107825191113079e-15,1.1122590154455381e-07,1.0406500917069239e-08,True,72,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2017-12-31_20260910,2.4424906541753444e-15,9.704211945127383e-08,1.1062016212596854e-08,True,72,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2017-12-31_20260911,7.549516567451064e-15,1.5301478206719565e-07,3.22686654122533e-08,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2017-12-31_20260912,2.9976021664879227e-15,1.1310334668834798e-07,9.782984823979672e-09,True,78,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2018-12-31_20260910,5.88418203051333e-15,1.1881244199596352e-07,8.957479339214071e-09,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2018-12-31_20260911,1.9984014443252818e-15,6.52453885363613e-08,7.702451068451743e-09,True,72,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2018-12-31_20260912,1.2212453270876722e-15,3.975145163037652e-08,4.234243590950024e-09,True,67,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2019-12-31_20260910,2.4424906541753444e-15,1.0208662770683219e-07,1.9823346750018865e-08,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2019-12-31_20260911,1.1102230246251565e-15,6.953078257598833e-08,1.0201283554760014e-08,True,76,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
learned_relativevol_interaction_2019-12-31_20260912,2.6645352591003757e-15,1.5521253204919816e-07,1.016791635385098e-08,True,77,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
raw_relativevol_interaction_2014-12-31_-1,2.9976021664879227e-15,7.227311332735908e-08,7.486989841466729e-09,True,74,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
