cutoff,split,gate,n,correlation_volatility20,correlation_abs_trend60
2014-12-31,training,relative_volatility,1077,0.7472190270832942,0.3700318460057592
2014-12-31,training,persistence,1077,0.1744280060412071,0.9969934755319075
2014-12-31,validation,relative_volatility,22,0.6261508198838688,0.8143676404762852
2014-12-31,validation,persistence,22,0.2871838270121424,0.9985602401825375
2015-12-31,training,relative_volatility,1190,0.5566158919862673,0.45745624898783604
2015-12-31,training,persistence,1190,0.3001650314735004,0.9974520778694068
2015-12-31,validation,relative_volatility,48,0.5540777223677816,0.46589626391834393
2015-12-31,validation,persistence,48,0.41175146401182666,0.9960594488981127
2016-12-31,training,relative_volatility,1434,0.5374453517901155,0.46770922734478515
2016-12-31,training,persistence,1434,0.29550697620816674,0.9967472049079622
2016-12-31,validation,relative_volatility,50,0.9378996839188695,0.11556119772599083
2016-12-31,validation,persistence,50,0.016496979433331012,0.994913078227362
2017-12-31,training,relative_volatility,1678,0.45190318371408067,0.40923608786737775
2017-12-31,training,persistence,1678,0.1901817565625454,0.9963645615014401
2017-12-31,validation,relative_volatility,49,0.7115311060538204,-0.1833823864046711
2017-12-31,validation,persistence,49,-0.26493608524998014,0.9986638267122592
2018-12-31,training,relative_volatility,1921,0.46869715412653545,0.34305370040387856
2018-12-31,training,persistence,1921,0.15706170633105115,0.9963338620256239
2018-12-31,validation,relative_volatility,46,0.8772332672703252,0.531158009333664
2018-12-31,validation,persistence,46,0.5178569480839308,0.9988379107537136
2019-12-31,training,relative_volatility,2165,0.5056238868765938,0.3706205289691143
2019-12-31,training,persistence,2165,0.19888270456217627,0.9965959260927004
2019-12-31,validation,relative_volatility,46,0.9134679204135613,-0.0961510655385499
2019-12-31,validation,persistence,46,0.05088187028940428,0.9959176403199235
