cutoff,row_index,date,year,joint_completed,seen_round13_rolling,seen_round15_validation,seen_round2_validation,seen_round3_validation,seen_round1_later_development,previously_evaluated
2014-12-31,1087,2015-01-09,2015,2015-01-19,True,False,False,False,False,True
2014-12-31,1092,2015-01-16,2015,2015-01-26,True,False,False,False,False,True
2014-12-31,1097,2015-01-23,2015,2015-02-02,True,False,False,False,False,True
2014-12-31,1102,2015-01-30,2015,2015-02-09,True,False,False,False,False,True
2014-12-31,1107,2015-02-06,2015,2015-02-16,True,False,False,False,False,True
2014-12-31,1112,2015-02-13,2015,2015-03-02,True,False,False,False,False,True
2014-12-31,1117,2015-02-27,2015,2015-03-09,True,False,False,False,False,True
2014-12-31,1122,2015-03-06,2015,2015-03-16,True,False,False,False,False,True
2014-12-31,1127,2015-03-13,2015,2015-03-23,True,False,False,False,False,True
2014-12-31,1131,2015-09-25,2015,2015-10-12,True,False,False,False,False,True
2014-12-31,1136,2015-10-09,2015,2015-10-19,True,False,False,False,False,True
2014-12-31,1141,2015-10-16,2015,2015-10-26,True,False,False,False,False,True
2014-12-31,1146,2015-10-23,2015,2015-11-02,True,False,False,False,False,True
2014-12-31,1151,2015-10-30,2015,2015-11-09,True,False,False,False,False,True
2014-12-31,1156,2015-11-06,2015,2015-11-16,True,False,False,False,False,True
2014-12-31,1161,2015-11-13,2015,2015-11-23,True,False,False,False,False,True
2014-12-31,1166,2015-11-20,2015,2015-11-30,True,False,False,False,False,True
2014-12-31,1171,2015-11-27,2015,2015-12-07,True,False,False,False,False,True
2014-12-31,1176,2015-12-04,2015,2015-12-14,True,False,False,False,False,True
2014-12-31,1181,2015-12-11,2015,2015-12-21,True,False,False,False,False,True
2014-12-31,1186,2015-12-18,2015,2015-12-28,True,False,False,False,False,True
2014-12-31,1191,2015-12-25,2015,2016-01-11,True,False,False,False,False,True
2015-12-31,1200,2016-01-08,2016,2016-01-18,True,False,False,False,False,True
2015-12-31,1205,2016-01-15,2016,2016-01-25,True,False,False,False,False,True
2015-12-31,1210,2016-01-22,2016,2016-02-01,True,False,False,False,False,True
2015-12-31,1215,2016-01-29,2016,2016-02-15,True,False,False,False,False,True
2015-12-31,1220,2016-02-05,2016,2016-02-22,True,False,False,False,False,True
2015-12-31,1225,2016-02-19,2016,2016-02-29,True,False,False,False,False,True
2015-12-31,1230,2016-02-26,2016,2016-03-07,True,False,False,False,False,True
2015-12-31,1235,2016-03-04,2016,2016-03-14,True,False,False,False,False,True
2015-12-31,1240,2016-03-11,2016,2016-03-21,True,False,False,False,False,True
2015-12-31,1245,2016-03-18,2016,2016-03-28,True,False,False,False,False,True
2015-12-31,1250,2016-03-25,2016,2016-04-05,True,False,False,False,False,True
2015-12-31,1255,2016-04-01,2016,2016-04-11,True,False,False,False,False,True
2015-12-31,1259,2016-04-08,2016,2016-04-18,True,False,False,False,False,True
2015-12-31,1264,2016-04-15,2016,2016-04-25,True,False,False,False,False,True
2015-12-31,1269,2016-04-22,2016,2016-05-03,True,False,False,False,False,True
2015-12-31,1274,2016-04-29,2016,2016-05-09,True,False,False,False,False,True
2015-12-31,1278,2016-05-06,2016,2016-05-16,True,False,False,False,False,True
2015-12-31,1283,2016-05-13,2016,2016-05-23,True,False,False,False,False,True
2015-12-31,1288,2016-05-20,2016,2016-05-30,True,False,False,False,False,True
2015-12-31,1293,2016-05-27,2016,2016-06-06,True,False,False,False,False,True
2015-12-31,1298,2016-06-03,2016,2016-06-20,True,False,False,False,False,True
2015-12-31,1306,2016-06-17,2016,2016-06-27,True,False,False,False,False,True
2015-12-31,1311,2016-06-24,2016,2016-07-04,True,False,False,False,False,True
2015-12-31,1316,2016-07-01,2016,2016-07-11,True,False,False,False,False,True
2015-12-31,1321,2016-07-08,2016,2016-07-18,True,False,False,False,False,True
2015-12-31,1326,2016-07-15,2016,2016-07-25,True,False,False,False,False,True
2015-12-31,1331,2016-07-22,2016,2016-08-01,True,False,False,False,False,True
2015-12-31,1336,2016-07-29,2016,2016-08-08,True,False,False,False,False,True
2015-12-31,1341,2016-08-05,2016,2016-08-15,True,False,False,False,False,True
2015-12-31,1346,2016-08-12,2016,2016-08-22,True,False,False,False,False,True
2015-12-31,1351,2016-08-19,2016,2016-08-29,True,False,False,False,False,True
2015-12-31,1356,2016-08-26,2016,2016-09-05,True,False,False,False,False,True
2015-12-31,1361,2016-09-02,2016,2016-09-12,True,False,False,False,False,True
2015-12-31,1366,2016-09-09,2016,2016-09-26,True,False,False,False,False,True
2015-12-31,1374,2016-09-23,2016,2016-10-10,True,False,False,False,False,True
2015-12-31,1379,2016-09-30,2016,2016-10-17,True,False,False,False,False,True
2015-12-31,1384,2016-10-14,2016,2016-10-24,True,False,False,False,False,True
2015-12-31,1389,2016-10-21,2016,2016-10-31,True,False,False,False,False,True
2015-12-31,1394,2016-10-28,2016,2016-11-07,True,False,False,False,False,True
2015-12-31,1399,2016-11-04,2016,2016-11-14,True,False,False,False,False,True
2015-12-31,1404,2016-11-11,2016,2016-11-21,True,False,False,False,False,True
2015-12-31,1409,2016-11-18,2016,2016-11-28,True,False,False,False,False,True
2015-12-31,1414,2016-11-25,2016,2016-12-05,True,False,False,False,False,True
2015-12-31,1419,2016-12-02,2016,2016-12-12,True,False,False,False,False,True
2015-12-31,1424,2016-12-09,2016,2016-12-19,True,False,False,False,False,True
2015-12-31,1429,2016-12-16,2016,2016-12-26,True,False,False,False,False,True
2015-12-31,1434,2016-12-23,2016,2017-01-03,True,False,False,False,False,True
2015-12-31,1439,2016-12-30,2016,2017-01-09,True,False,False,False,False,True
2016-12-31,1443,2017-01-06,2017,2017-01-16,True,False,False,False,False,True
2016-12-31,1448,2017-01-13,2017,2017-01-23,True,False,False,False,False,True
2016-12-31,1453,2017-01-20,2017,2017-02-06,True,False,False,False,False,True
2016-12-31,1458,2017-02-03,2017,2017-02-13,True,False,False,False,False,True
2016-12-31,1463,2017-02-10,2017,2017-02-20,True,False,False,False,False,True
2016-12-31,1468,2017-02-17,2017,2017-02-27,True,False,False,False,False,True
2016-12-31,1473,2017-02-24,2017,2017-03-06,True,False,False,False,False,True
2016-12-31,1478,2017-03-03,2017,2017-03-13,True,False,False,False,False,True
2016-12-31,1483,2017-03-10,2017,2017-03-20,True,False,False,False,False,True
2016-12-31,1488,2017-03-17,2017,2017-03-27,True,False,False,False,False,True
2016-12-31,1493,2017-03-24,2017,2017-04-05,True,False,False,False,False,True
2016-12-31,1498,2017-03-31,2017,2017-04-11,True,False,False,False,False,True
2016-12-31,1501,2017-04-07,2017,2017-04-17,True,False,False,False,False,True
