job,parent_job,additive_job,clipped_job,feature_source_job,cutoff,seed,train_n,last_training_signal,last_training_maturity,first_nextyear_signal,supervised_features_training_in_sample,full_pipeline_oof,new_neural_execution
learned_order_extension_2014-12-31_20260910,learned_vol_interaction_2014-12-31_20260910,learned_market_2014-12-31_20260910,learned_2014-12-31_20260910_clip,learned_2014-12-31_20260910,2014-12-31,20260910,1077,2014-12-23,2014-12-31,2015-01-09,True,False,False
learned_order_extension_2014-12-31_20260911,learned_vol_interaction_2014-12-31_20260911,learned_market_2014-12-31_20260911,learned_2014-12-31_20260911_clip,learned_2014-12-31_20260911,2014-12-31,20260911,1077,2014-12-23,2014-12-31,2015-01-09,True,False,False
learned_order_extension_2014-12-31_20260912,learned_vol_interaction_2014-12-31_20260912,learned_market_2014-12-31_20260912,learned_2014-12-31_20260912_clip,learned_2014-12-31_20260912,2014-12-31,20260912,1077,2014-12-23,2014-12-31,2015-01-09,True,False,False
learned_order_extension_2015-12-31_20260910,learned_vol_interaction_2015-12-31_20260910,learned_market_2015-12-31_20260910,learned_2015-12-31_20260910_clip,learned_2015-12-31_20260910,2015-12-31,20260910,1190,2015-12-23,2015-12-31,2016-01-08,True,False,False
learned_order_extension_2015-12-31_20260911,learned_vol_interaction_2015-12-31_20260911,learned_market_2015-12-31_20260911,learned_2015-12-31_20260911_clip,learned_2015-12-31_20260911,2015-12-31,20260911,1190,2015-12-23,2015-12-31,2016-01-08,True,False,False
learned_order_extension_2015-12-31_20260912,learned_vol_interaction_2015-12-31_20260912,learned_market_2015-12-31_20260912,learned_2015-12-31_20260912_clip,learned_2015-12-31_20260912,2015-12-31,20260912,1190,2015-12-23,2015-12-31,2016-01-08,True,False,False
learned_order_extension_2016-12-31_20260910,learned_vol_interaction_2016-12-31_20260910,learned_market_2016-12-31_20260910,learned_2016-12-31_20260910_clip,learned_2016-12-31_20260910,2016-12-31,20260910,1434,2016-12-22,2016-12-30,2017-01-06,True,False,False
learned_order_extension_2016-12-31_20260911,learned_vol_interaction_2016-12-31_20260911,learned_market_2016-12-31_20260911,learned_2016-12-31_20260911_clip,learned_2016-12-31_20260911,2016-12-31,20260911,1434,2016-12-22,2016-12-30,2017-01-06,True,False,False
learned_order_extension_2016-12-31_20260912,learned_vol_interaction_2016-12-31_20260912,learned_market_2016-12-31_20260912,learned_2016-12-31_20260912_clip,learned_2016-12-31_20260912,2016-12-31,20260912,1434,2016-12-22,2016-12-30,2017-01-06,True,False,False
learned_order_extension_2017-12-31_20260910,learned_vol_interaction_2017-12-31_20260910,learned_market_2017-12-31_20260910,learned_2017-12-31_20260910_clip,learned_2017-12-31_20260910,2017-12-31,20260910,1678,2017-12-21,2017-12-29,2018-01-05,True,False,False
learned_order_extension_2017-12-31_20260911,learned_vol_interaction_2017-12-31_20260911,learned_market_2017-12-31_20260911,learned_2017-12-31_20260911_clip,learned_2017-12-31_20260911,2017-12-31,20260911,1678,2017-12-21,2017-12-29,2018-01-05,True,False,False
learned_order_extension_2017-12-31_20260912,learned_vol_interaction_2017-12-31_20260912,learned_market_2017-12-31_20260912,learned_2017-12-31_20260912_clip,learned_2017-12-31_20260912,2017-12-31,20260912,1678,2017-12-21,2017-12-29,2018-01-05,True,False,False
learned_order_extension_2018-12-31_20260910,learned_vol_interaction_2018-12-31_20260910,learned_market_2018-12-31_20260910,learned_2018-12-31_20260910_clip,learned_2018-12-31_20260910,2018-12-31,20260910,1921,2018-12-20,2018-12-28,2019-01-04,True,False,False
