job,method,cutoff,seed,split,n,offset_gamma,joint_gamma,gamma_difference,frozen_original_interaction_coefficient,parent_coefficient_l2_drift,parent_intercept_drift,order_logit_sd,parent_constraint_rms,order_coefficient_change_rms,total_logit_difference_rms,rms_probability_change_vs_parent,rms_probability_change_vs_joint
learned_order_offset_2014-12-31_20260910,learned_order_offset,2014-12-31,20260910,training,1077,0.07707821793950878,0.07721618357712992,-0.00013796563762114022,-0.003397903620063982,0.0,0.0,0.07707821793950878,0.002966318667354726,0.00013796563762114022,0.002969525375116592,0.016215402837175166,0.0006391143877383577
learned_order_offset_2014-12-31_20260910,learned_order_offset,2014-12-31,20260910,validation,22,0.07707821793950878,0.07721618357712992,-0.00013796563762114022,-0.003397903620063982,0.0,0.0,0.044126255772468106,0.002214765355816025,0.00012005148270581646,0.0022444922226390863,0.016351490132893606,0.000542193424717004
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,training,1077,0.1480385036059226,0.14955335352573554,-0.0015148499198129328,-0.02841001889652635,0.0,0.0,0.1480385036059226,0.012346617538246498,0.001514849919812933,0.012439201538494876,0.030590621106905726,0.0024504299046264107
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,validation,22,0.1480385036059226,0.14955335352573554,-0.0015148499198129328,-0.02841001889652635,0.0,0.0,0.12372327203611488,0.016510059811395587,0.001269138618804203,0.016368479157489468,0.02862445705902075,0.0036713180861426753
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,training,1077,0.12269149029107308,0.12349815349844942,-0.0008066632073763375,-0.029596249672972932,0.0,0.0,0.12269149029107307,0.008513160452628787,0.0008066632073763375,0.008551292675516225,0.02471512893629565,0.0017703332289546179
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,validation,22,0.12269149029107308,0.12349815349844942,-0.0008066632073763375,-0.029596249672972932,0.0,0.0,0.12829370221860442,0.00983972389837727,0.0009057752602857421,0.009144526716088838,0.031550709946069885,0.0020454178728850736
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,training,1190,0.2229453581124947,0.22489096917499302,-0.0019456110624983258,-0.07132495336597748,0.0,0.0,0.2229453581124947,0.015516056179562407,0.0019456110624983258,0.015637563805588523,0.04558663071971106,0.002965364626668429
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,validation,48,0.2229453581124947,0.22489096917499302,-0.0019456110624983258,-0.07132495336597748,0.0,0.0,0.31719189726342245,0.017617709308338576,0.0029282316069936826,0.016801254364449052,0.0686552311664733,0.0031307687574122643
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,training,1190,0.23066065335601205,0.23299096422321022,-0.0023303108671981765,-0.14682875956739752,0.0,0.0,0.23066065335601202,0.018008376731279835,0.002330310867198176,0.018158523652364558,0.04943860206975258,0.0036335134882834884
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,validation,48,0.23066065335601205,0.23299096422321022,-0.0023303108671981765,-0.14682875956739752,0.0,0.0,0.364750762195136,0.022191664635030948,0.003781953315322706,0.022219122381122548,0.06392199812188133,0.003864352488009432
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,training,1190,0.1711152332582847,0.1725378864558195,-0.00142265319753479,-0.19049437768886018,0.0,0.0,0.1711152332582847,0.013131743947675883,0.00142265319753479,0.013208582105123098,0.03661842891924772,0.00255171169735454
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,validation,48,0.1711152332582847,0.1725378864558195,-0.00142265319753479,-0.19049437768886018,0.0,0.0,0.337028681118258,0.020149257472683684,0.0029510652089928813,0.02135933550096392,0.06598544920981601,0.0034068073894775886
