source_job,train_n,frozen_parent_coordinates,zero_gamma_objective_gap
learned_order_extension_2014-12-31_20260910,1077,31,0.0
learned_order_extension_2014-12-31_20260911,1077,31,0.0
learned_order_extension_2014-12-31_20260912,1077,31,0.0
learned_order_extension_2015-12-31_20260910,1190,31,0.0
learned_order_extension_2015-12-31_20260911,1190,31,0.0
learned_order_extension_2015-12-31_20260912,1190,31,0.0
learned_order_extension_2016-12-31_20260910,1434,31,0.0
learned_order_extension_2016-12-31_20260911,1434,31,0.0
learned_order_extension_2016-12-31_20260912,1434,31,0.0
learned_order_extension_2017-12-31_20260910,1678,31,0.0
learned_order_extension_2017-12-31_20260911,1678,31,0.0
learned_order_extension_2017-12-31_20260912,1678,31,0.0
learned_order_extension_2018-12-31_20260910,1921,31,0.0
learned_order_extension_2018-12-31_20260911,1921,31,0.0
learned_order_extension_2018-12-31_20260912,1921,31,0.0
learned_order_extension_2019-12-31_20260910,2165,31,0.0
learned_order_extension_2019-12-31_20260911,2165,31,0.0
learned_order_extension_2019-12-31_20260912,2165,31,0.0
raw_order_extension_2014-12-31_-1,1077,28,0.0
raw_order_extension_2015-12-31_-1,1190,28,0.0
raw_order_extension_2016-12-31_-1,1434,28,0.0
raw_order_extension_2017-12-31_-1,1678,28,0.0
raw_order_extension_2018-12-31_-1,1921,28,0.0
raw_order_extension_2019-12-31_-1,2165,28,0.0
