job,method,cutoff,seed,train_n,objective,reduced_objective,log_loss,brier,accuracy,auroc,mean_probability,probability_std
learned_order_offset_2014-12-31_20260910,learned_order_offset,2014-12-31,20260910,1077,0.6363056375031368,0.6316634174922965,0.6316337122338929,0.2206930592393511,0.6471680594243269,0.6970439101790211,0.4923437645146482,0.15764577429347482
learned_order_offset_2014-12-31_20260911,learned_order_offset,2014-12-31,20260911,1077,0.6322525043299182,0.6286648392980027,0.6285552623052533,0.21973190371930548,0.6397400185701021,0.6977786209513297,0.492280500829998,0.16349943004656803
learned_order_offset_2014-12-31_20260912,learned_order_offset,2014-12-31,20260912,1077,0.6341392424687027,0.6298334818992912,0.629758215890342,0.220240994792832,0.6239554317548747,0.6958504363423131,0.49282472513619374,0.16069674170232412
learned_order_offset_2015-12-31_20260910,learned_order_offset,2015-12-31,20260910,1190,0.6263687483585804,0.6232353623174915,0.622986839153972,0.21707200481323186,0.6411764705882353,0.7068068890903904,0.503211605506389,0.17069587832516497
learned_order_offset_2015-12-31_20260911,learned_order_offset,2015-12-31,20260911,1190,0.6426695383507661,0.638387395962913,0.6381213742778801,0.22436040378875674,0.6235294117647059,0.6766494637141993,0.5034844784057946,0.14557725192633805
learned_order_offset_2015-12-31_20260912,learned_order_offset,2015-12-31,20260912,1190,0.6371109862561909,0.6319053093844585,0.6317589072691935,0.22105541888336683,0.6386554621848739,0.6945868607860252,0.5035574707745624,0.1533769848533411
learned_order_offset_2016-12-31_20260910,learned_order_offset,2016-12-31,20260910,1434,0.6386617279279461,0.6360210126036668,0.6360192310685624,0.22337172552560924,0.6248256624825662,0.6830515828159747,0.5069265468312509,0.15713561443774138
learned_order_offset_2016-12-31_20260911,learned_order_offset,2016-12-31,20260911,1434,0.6522336085662033,0.6503122630564439,0.6501035988084217,0.22965364206530622,0.601813110181311,0.6570841010216172,0.5074501669444386,0.13334447761929513
learned_order_offset_2016-12-31_20260912,learned_order_offset,2016-12-31,20260912,1434,0.664047363028507,0.6618210374176823,0.6618030570954344,0.23458876179431257,0.6115760111576011,0.6444476438211713,0.50711385965834,0.11416704676136434
learned_order_offset_2017-12-31_20260910,learned_order_offset,2017-12-31,20260910,1678,0.6494826675270604,0.6469575258415347,0.6469343828818408,0.22838820452161057,0.6078665077473182,0.6608709881681644,0.5203173135109771,0.13829555977430633
learned_order_offset_2017-12-31_20260911,learned_order_offset,2017-12-31,20260911,1678,0.6489373593860316,0.6466812844867978,0.6465162507456239,0.22792031707524063,0.6185935637663885,0.6668758404303003,0.5200333884602204,0.13849898630117816
learned_order_offset_2017-12-31_20260912,learned_order_offset,2017-12-31,20260912,1678,0.6403832126468908,0.637595613246485,0.637582577177746,0.2234085406352974,0.6257449344457687,0.6864101086422916,0.5202034230823802,0.15269746373641171
learned_order_offset_2018-12-31_20260910,learned_order_offset,2018-12-31,20260910,1921,0.6302135091926531,0.628424651288052,0.6283563462984048,0.21973319127126584,0.6340447683498178,0.6968304887333017,0.5107609689632693,0.168535477467314
learned_order_offset_2018-12-31_20260911,learned_order_offset,2018-12-31,20260911,1921,0.6444349924698558,0.6432292233943393,0.6431292121397755,0.22583593617024775,0.6288391462779802,0.6782250910423838,0.5109642453786242,0.14907250753026524
learned_order_offset_2018-12-31_20260912,learned_order_offset,2018-12-31,20260912,1921,0.647955365350006,0.6453659750165863,0.6453199462969764,0.22692088089917078,0.6277980218636127,0.6752232409136556,0.5112615128994143,0.14233794809932443
learned_order_offset_2019-12-31_20260910,learned_order_offset,2019-12-31,20260910,2165,0.6507337690855026,0.649127580072116,0.649120073179927,0.22883371708339065,0.625866050808314,0.665700845727418,0.521353330575908,0.13882384522824823
learned_order_offset_2019-12-31_20260911,learned_order_offset,2019-12-31,20260911,2165,0.638729858547641,0.6370988550162927,0.6370666468997991,0.2231528645295061,0.6369515011547344,0.6875989617353656,0.5212000419028655,0.15691479218820104
learned_order_offset_2019-12-31_20260912,learned_order_offset,2019-12-31,20260912,2165,0.6559538322064373,0.6544008312791728,0.6543915793063927,0.23127515000821383,0.6147806004618938,0.6563475724237461,0.5214203516937236,0.1289986930010461
raw_order_offset_2014-12-31_-1,raw_order_offset,2014-12-31,-1,1077,0.6542279465457151,0.6495240904285744,0.6495089555886411,0.22863664229838107,0.6090993500464252,0.672170673657342,0.4920176923416935,0.12752681534368598
raw_order_offset_2015-12-31_-1,raw_order_offset,2015-12-31,-1,1190,0.6646155620452131,0.6608052412758884,0.6607968009901151,0.23423711053196034,0.6050420168067226,0.6421023194325568,0.5033482708359283,0.10946884761262225
raw_order_offset_2016-12-31_-1,raw_order_offset,2016-12-31,-1,1434,0.6701357750267221,0.6662212279619678,0.6662089332091169,0.2368865407616778,0.592747559274756,0.6309162258336268,0.5069741448636125,0.0962164067937186
raw_order_offset_2017-12-31_-1,raw_order_offset,2017-12-31,-1,1678,0.677899020512972,0.6752236603967442,0.6751785682832748,0.2411689382006962,0.5822407628128725,0.6070051866555677,0.5201610717760159,0.07514721742508926
raw_order_offset_2018-12-31_-1,raw_order_offset,2018-12-31,-1,1921,0.6782162506531072,0.6754055324364517,0.6753756402996819,0.24122927693160592,0.5783446121811556,0.6073313248700246,0.5111071549753893,0.07591970793826329
raw_order_offset_2019-12-31_-1,raw_order_offset,2019-12-31,-1,2165,0.6816470371102222,0.6792131278674699,0.6792099652454782,0.24310110566821766,0.5778290993071593,0.597121004339782,0.5214647280947741,0.06338744288798671
