cutoff,seed,training_rows,testing_rows,checkpoint_unchanged,training_features_bitwise_equal,testing_features_bitwise_equal,native_bitwise_equal
2020-12-31,20260910,2408,50,True,True,True,True
2020-12-31,20260911,2408,50,True,True,True,True
2020-12-31,20260912,2408,50,True,True,True,True
2021-12-31,20260910,2651,49,True,True,True,True
2021-12-31,20260911,2651,49,True,True,True,True
2021-12-31,20260912,2651,49,True,True,True,True
2022-12-31,20260910,2893,48,True,True,True,True
2022-12-31,20260911,2893,48,True,True,True,True
2022-12-31,20260912,2893,48,True,True,True,True
2023-12-31,20260910,3135,47,True,True,True,True
2023-12-31,20260911,3135,47,True,True,True,True
2023-12-31,20260912,3135,47,True,True,True,True
2024-12-31,20260910,3377,48,True,True,True,True
2024-12-31,20260911,3377,48,True,True,True,True
2024-12-31,20260912,3377,48,True,True,True,True
2025-12-31,20260910,3620,30,True,True,True,True
2025-12-31,20260911,3620,30,True,True,True,True
2025-12-31,20260912,3620,30,True,True,True,True
