job,solver,solver_success,iterations,probability_gap,objective_gap,gradient_inf,coefficient_gap
learned_market_2020-12-31_20260910,L-BFGS-B,True,69,1.3878881610640548e-07,4.773959005888173e-15,1.241045486082698e-08,
learned_vol_interaction_2020-12-31_20260910,L-BFGS-B,True,73,1.1564772517402844e-07,1.0547118733938987e-14,9.287680680959698e-09,
learned_order_extension_2020-12-31_20260910,L-BFGS-B,True,71,9.750443397127384e-08,1.887379141862766e-15,1.2771839051194805e-08,
learned_order_offset_2020-12-31_20260910,brentq,True,11,,0.0,8.565197162635485e-18,6.938893903907228e-18
learned_market_2020-12-31_20260911,L-BFGS-B,True,68,1.2957005068869876e-07,4.440892098500626e-15,7.687873820514356e-09,
learned_vol_interaction_2020-12-31_20260911,L-BFGS-B,True,68,1.0498707647688121e-07,3.6637359812630166e-15,1.384306169260191e-08,
learned_order_extension_2020-12-31_20260911,L-BFGS-B,True,70,9.51369241164457e-08,2.1094237467877974e-15,8.146441245323807e-09,
learned_order_offset_2020-12-31_20260911,brentq,True,9,,1.1102230246251565e-16,2.574980159653073e-18,5.938392139137605e-13
learned_market_2020-12-31_20260912,L-BFGS-B,True,85,7.961132403311311e-08,1.6653345369377348e-15,7.281217334577025e-09,
learned_vol_interaction_2020-12-31_20260912,L-BFGS-B,True,83,7.290822789940421e-08,2.6645352591003757e-15,1.6907767107395e-08,
learned_order_extension_2020-12-31_20260912,L-BFGS-B,True,81,1.0190776283947045e-07,4.9960036108132044e-15,8.923903693476912e-09,
learned_order_offset_2020-12-31_20260912,brentq,True,9,,0.0,4.0241789935058225e-15,7.565031934220201e-12
learned_market_2021-12-31_20260910,L-BFGS-B,True,59,1.136937436418961e-07,7.327471962526033e-15,7.092750963812178e-09,
learned_vol_interaction_2021-12-31_20260910,L-BFGS-B,True,62,8.758180480850086e-08,2.4424906541753444e-15,7.454791194614653e-09,
learned_order_extension_2021-12-31_20260910,L-BFGS-B,True,57,8.549172236804736e-08,3.552713678800501e-15,5.232824339639064e-09,
learned_order_offset_2021-12-31_20260910,brentq,True,11,,0.0,1.8431436932253575e-18,2.7755575615628914e-17
learned_market_2021-12-31_20260911,L-BFGS-B,True,73,6.246466222048497e-08,1.2212453270876722e-15,8.631757169300829e-09,
