cutoff,seed,train_n,maximum_input_gap
2014-12-31,20260910,1077,0.0
2014-12-31,20260911,1077,0.0
2014-12-31,20260912,1077,0.0
2015-12-31,20260910,1190,0.0
2015-12-31,20260911,1190,0.0
2015-12-31,20260912,1190,0.0
2016-12-31,20260910,1434,0.0
2016-12-31,20260911,1434,0.0
2016-12-31,20260912,1434,0.0
2017-12-31,20260910,1678,0.0
2017-12-31,20260911,1678,0.0
2017-12-31,20260912,1678,0.0
2018-12-31,20260910,1921,0.0
2018-12-31,20260911,1921,0.0
2018-12-31,20260912,1921,0.0
2019-12-31,20260910,2165,0.0
2019-12-31,20260911,2165,0.0
2019-12-31,20260912,2165,0.0
