window,method,bin_index,n,mean_probability,observed_up
extension_2021_2023,learned_market,0,0,,
extension_2021_2023,learned_market,1,8,0.35773654595772414,0.375
extension_2021_2023,learned_market,2,118,0.5119962179919451,0.4322033898305085
extension_2021_2023,learned_market,3,21,0.655131388338215,0.38095238095238093
extension_2021_2023,learned_market,4,0,,
extension_2021_2023,learned_order_extension,0,0,,
extension_2021_2023,learned_order_extension,1,7,0.3541481945600862,0.42857142857142855
extension_2021_2023,learned_order_extension,2,119,0.5120267057009934,0.42857142857142855
extension_2021_2023,learned_order_extension,3,21,0.6495321151000539,0.38095238095238093
extension_2021_2023,learned_order_extension,4,0,,
extension_2021_2023,learned_order_offset,0,0,,
extension_2021_2023,learned_order_offset,1,7,0.35440797682911546,0.42857142857142855
extension_2021_2023,learned_order_offset,2,120,0.5127610171394719,0.425
extension_2021_2023,learned_order_offset,3,20,0.6517159378993737,0.4
extension_2021_2023,learned_order_offset,4,0,,
extension_2021_2023,learned_vol_interaction,0,0,,
extension_2021_2023,learned_vol_interaction,1,7,0.3541955431281795,0.42857142857142855
extension_2021_2023,learned_vol_interaction,2,117,0.5090635441396001,0.42735042735042733
extension_2021_2023,learned_vol_interaction,3,23,0.6496244127567724,0.391304347826087
extension_2021_2023,learned_vol_interaction,4,0,,
extension_2021_2023,training_frequency,0,0,,
extension_2021_2023,training_frequency,1,0,,
extension_2021_2023,training_frequency,2,147,0.5231003641162889,0.4217687074829932
extension_2021_2023,training_frequency,3,0,,
extension_2021_2023,training_frequency,4,0,,
recent_2024_2026,learned_market,0,0,,
recent_2024_2026,learned_market,1,14,0.36545629040721417,0.5714285714285714
recent_2024_2026,learned_market,2,99,0.5004011656783869,0.5151515151515151
recent_2024_2026,learned_market,3,12,0.6402423349683354,0.5833333333333334
recent_2024_2026,learned_market,4,0,,
recent_2024_2026,learned_order_extension,0,0,,
recent_2024_2026,learned_order_extension,1,14,0.36499038344253254,0.5714285714285714
recent_2024_2026,learned_order_extension,2,98,0.4996746085312163,0.5
recent_2024_2026,learned_order_extension,3,13,0.6288752182037919,0.6923076923076923
recent_2024_2026,learned_order_extension,4,0,,
recent_2024_2026,learned_order_offset,0,0,,
recent_2024_2026,learned_order_offset,1,14,0.3650748024572553,0.5714285714285714
recent_2024_2026,learned_order_offset,2,98,0.4996113577353396,0.5
recent_2024_2026,learned_order_offset,3,13,0.6286221608639753,0.6923076923076923
recent_2024_2026,learned_order_offset,4,0,,
recent_2024_2026,learned_vol_interaction,0,0,,
recent_2024_2026,learned_vol_interaction,1,14,0.3647457394107955,0.5714285714285714
recent_2024_2026,learned_vol_interaction,2,97,0.49914101255858656,0.5051546391752577
recent_2024_2026,learned_vol_interaction,3,14,0.6362326640926685,0.6428571428571429
recent_2024_2026,learned_vol_interaction,4,0,,
recent_2024_2026,training_frequency,0,0,,
recent_2024_2026,training_frequency,1,0,,
recent_2024_2026,training_frequency,2,125,0.5081832134886433,0.528
recent_2024_2026,training_frequency,3,0,,
recent_2024_2026,training_frequency,4,0,,
