history,cutoff,seed,training_rows,testing_rows,checkpoint_unchanged,training_features_bitwise_equal,testing_features_bitwise_equal,native_bitwise_equal
rolling5,2020-12-31,20260910,1212,50,True,True,True,True
rolling5,2020-12-31,20260911,1212,50,True,True,True,True
rolling5,2020-12-31,20260912,1212,50,True,True,True,True
rolling5,2021-12-31,20260910,1211,49,True,True,True,True
rolling5,2021-12-31,20260911,1211,49,True,True,True,True
rolling5,2021-12-31,20260912,1211,49,True,True,True,True
rolling5,2022-12-31,20260910,1209,48,True,True,True,True
rolling5,2022-12-31,20260911,1209,48,True,True,True,True
rolling5,2022-12-31,20260912,1209,48,True,True,True,True
rolling5,2023-12-31,20260910,1208,47,True,True,True,True
rolling5,2023-12-31,20260911,1208,47,True,True,True,True
rolling5,2023-12-31,20260912,1208,47,True,True,True,True
rolling5,2024-12-31,20260910,1206,48,True,True,True,True
rolling5,2024-12-31,20260911,1206,48,True,True,True,True
rolling5,2024-12-31,20260912,1206,48,True,True,True,True
rolling5,2025-12-31,20260910,1206,30,True,True,True,True
rolling5,2025-12-31,20260911,1206,30,True,True,True,True
rolling5,2025-12-31,20260912,1206,30,True,True,True,True
rolling3,2020-12-31,20260910,724,50,True,True,True,True
rolling3,2020-12-31,20260911,724,50,True,True,True,True
rolling3,2020-12-31,20260912,724,50,True,True,True,True
rolling3,2021-12-31,20260910,724,49,True,True,True,True
rolling3,2021-12-31,20260911,724,49,True,True,True,True
rolling3,2021-12-31,20260912,724,49,True,True,True,True
rolling3,2022-12-31,20260910,722,48,True,True,True,True
rolling3,2022-12-31,20260911,722,48,True,True,True,True
rolling3,2022-12-31,20260912,722,48,True,True,True,True
rolling3,2023-12-31,20260910,721,47,True,True,True,True
rolling3,2023-12-31,20260911,721,47,True,True,True,True
rolling3,2023-12-31,20260912,721,47,True,True,True,True
rolling3,2024-12-31,20260910,720,48,True,True,True,True
rolling3,2024-12-31,20260911,720,48,True,True,True,True
rolling3,2024-12-31,20260912,720,48,True,True,True,True
rolling3,2025-12-31,20260910,721,30,True,True,True,True
rolling3,2025-12-31,20260911,721,30,True,True,True,True
rolling3,2025-12-31,20260912,721,30,True,True,True,True
