job,history,method,cutoff,seed,train_n,iterations,objective,gradient_inf,hessian_min,reduced_objective
rolling5_learned_market_2020-12-31_20260910,rolling5,learned_market,2020-12-31,20260910,1212,5,0.5706992494806755,3.913969842672671e-17,0.010145623685500626,
rolling5_learned_vol_interaction_2020-12-31_20260910,rolling5,learned_vol_interaction,2020-12-31,20260910,1212,5,0.5706689167165876,8.543513119185775e-17,0.010145462523841506,
rolling5_learned_order_extension_2020-12-31_20260910,rolling5,learned_order_extension,2020-12-31,20260910,1212,5,0.5695414655393318,1.4734307524078005e-15,0.010144772308988975,
rolling5_learned_order_offset_2020-12-31_20260910,rolling5,learned_order_offset,2020-12-31,20260910,1212,3,0.5695743293687004,4.336808689942018e-19,0.1503722870351474,0.5659880989308288
rolling5_learned_market_2020-12-31_20260911,rolling5,learned_market,2020-12-31,20260911,1212,4,0.5947266792641539,2.454806700795398e-10,0.010130473358381745,
rolling5_learned_vol_interaction_2020-12-31_20260911,rolling5,learned_vol_interaction,2020-12-31,20260911,1212,5,0.5945608334996134,9.31871767251291e-17,0.01013040591727535,
rolling5_learned_order_extension_2020-12-31_20260911,rolling5,learned_order_extension,2020-12-31,20260911,1212,5,0.5910789646322914,1.6787244337679308e-15,0.010129422792947927,
rolling5_learned_order_offset_2020-12-31_20260911,rolling5,learned_order_offset,2020-12-31,20260911,1212,2,0.5912038947870164,3.640220633607805e-11,0.1628614593513567,0.5881155266347592
rolling5_learned_market_2020-12-31_20260912,rolling5,learned_market,2020-12-31,20260912,1212,5,0.5501361387048739,4.65079363909382e-15,0.010354061579242188,
rolling5_learned_vol_interaction_2020-12-31_20260912,rolling5,learned_vol_interaction,2020-12-31,20260912,1212,5,0.5500112080844255,4.612277356916272e-14,0.010354932529638039,
rolling5_learned_order_extension_2020-12-31_20260912,rolling5,learned_order_extension,2020-12-31,20260912,1212,5,0.5481720888916457,3.9697861968154835e-13,0.010352442289318305,
rolling5_learned_order_offset_2020-12-31_20260912,rolling5,learned_order_offset,2020-12-31,20260912,1212,3,0.5482291610522035,1.734723475976807e-18,0.1349356266705203,0.5447716814986054
rolling5_learned_market_2021-12-31_20260910,rolling5,learned_market,2021-12-31,20260910,1211,5,0.5352772848893566,8.556848805907347e-15,0.010082997935217483,
rolling5_learned_vol_interaction_2021-12-31_20260910,rolling5,learned_vol_interaction,2021-12-31,20260910,1211,5,0.5345072686812858,2.4306511664518027e-14,0.010082749064944104,
rolling5_learned_order_extension_2021-12-31_20260910,rolling5,learned_order_extension,2021-12-31,20260910,1211,5,0.5336612022923183,8.998704559282089e-14,0.010083103120381683,
rolling5_learned_order_offset_2021-12-31_20260910,rolling5,learned_order_offset,2021-12-31,20260910,1211,3,0.5336735698293922,2.8189256484623115e-18,0.13803340342872997,0.528299623605901
rolling5_learned_market_2021-12-31_20260911,rolling5,learned_market,2021-12-31,20260911,1211,5,0.5445514468155033,4.0661397859853565e-13,0.01005458152068487,
rolling5_learned_vol_interaction_2021-12-31_20260911,rolling5,learned_vol_interaction,2021-12-31,20260911,1211,5,0.544468028726893,4.278762674031489e-13,0.010054373935836594,
