history,cutoff,unique_rows,presentations_per_epoch,natural_epochs,steps_per_seed,total_presentations_per_seed,equivalent_retained_passes,test_union_n,shared_with_annual
rolling5,2020-12-31,1212,1212,20,200,24240,20,50,True
rolling5,2021-03-31,1211,1211,20,200,24220,20,13,False
rolling5,2021-06-30,1210,1210,20,200,24200,20,13,False
rolling5,2021-09-30,1210,1210,20,200,24200,20,13,False
rolling5,2021-12-31,1211,1211,20,200,24220,20,49,True
rolling5,2022-03-31,1210,1210,20,200,24200,20,12,False
rolling5,2022-06-30,1209,1209,20,200,24180,20,14,False
rolling5,2022-09-30,1209,1209,20,200,24180,20,12,False
rolling5,2022-12-31,1209,1209,20,200,24180,20,48,True
rolling5,2023-03-31,1209,1209,20,200,24180,20,12,False
rolling5,2023-06-30,1208,1208,20,200,24160,20,12,False
rolling5,2023-09-30,1208,1208,20,200,24160,20,12,False
rolling5,2023-12-31,1208,1208,20,200,24160,20,47,True
rolling5,2024-03-31,1208,1208,20,200,24160,20,11,False
rolling5,2024-06-30,1207,1207,20,200,24140,20,13,False
rolling5,2024-09-30,1206,1206,20,200,24120,20,12,False
rolling5,2024-12-31,1206,1206,20,200,24120,20,48,True
rolling5,2025-03-31,1205,1205,20,200,24100,20,11,False
rolling5,2025-06-30,1206,1206,20,200,24120,20,13,False
rolling5,2025-09-30,1206,1206,20,200,24120,20,12,False
rolling5,2025-12-31,1206,1206,20,200,24120,20,30,True
rolling5,2026-03-31,1204,1204,20,200,24080,20,11,False
rolling5,2026-06-30,1204,1204,20,200,24080,20,8,False
rolling3,2020-12-31,724,724,20,120,14480,20,50,True
rolling3,2021-03-31,723,723,20,120,14460,20,13,False
rolling3,2021-06-30,723,723,20,120,14460,20,13,False
rolling3,2021-09-30,723,723,20,120,14460,20,13,False
rolling3,2021-12-31,724,724,20,120,14480,20,49,True
rolling3,2022-03-31,724,724,20,120,14480,20,12,False
rolling3,2022-06-30,723,723,20,120,14460,20,14,False
rolling3,2022-09-30,723,723,20,120,14460,20,12,False
rolling3,2022-12-31,722,722,20,120,14440,20,48,True
rolling3,2023-03-31,723,723,20,120,14460,20,12,False
rolling3,2023-06-30,723,723,20,120,14460,20,12,False
rolling3,2023-09-30,721,721,20,120,14420,20,12,False
rolling3,2023-12-31,721,721,20,120,14420,20,47,True
rolling3,2024-03-31,721,721,20,120,14420,20,11,False
rolling3,2024-06-30,720,720,20,120,14400,20,13,False
rolling3,2024-09-30,720,720,20,120,14400,20,12,False
rolling3,2024-12-31,720,720,20,120,14400,20,48,True
rolling3,2025-03-31,719,719,20,120,14380,20,11,False
rolling3,2025-06-30,720,720,20,120,14400,20,13,False
rolling3,2025-09-30,721,721,20,120,14420,20,12,False
rolling3,2025-12-31,721,721,20,120,14420,20,30,True
rolling3,2026-03-31,718,718,20,120,14360,20,11,False
rolling3,2026-06-30,719,719,20,120,14380,20,8,False
