             window              history                  method  correct_directions   n  accuracy    brier  log_loss
extension_2021_2023                 full learned_vol_interaction                  65 147  0.442177 0.265783  0.726036
extension_2021_2023                 full              native_mse                  68 147  0.462585      NaN       NaN
extension_2021_2023                 full      training_frequency                  62 147  0.421769 0.253892  0.700939
extension_2021_2023    rolling3_annual20 learned_vol_interaction                  67 147  0.455782 0.291585  0.799377
extension_2021_2023    rolling3_annual20              native_mse                  61 147  0.414966      NaN       NaN
extension_2021_2023    rolling3_annual20      training_frequency                  72 147  0.489796 0.256466  0.706159
extension_2021_2023     rolling3_matched learned_vol_interaction                  62 147  0.421769 0.351648  1.001819
extension_2021_2023     rolling3_matched              native_mse                  63 147  0.428571      NaN       NaN
extension_2021_2023     rolling3_matched      training_frequency                  72 147  0.489796 0.256466  0.706159
extension_2021_2023 rolling3_quarterly20 learned_vol_interaction                  60 147  0.408163 0.283765  0.770226
extension_2021_2023 rolling3_quarterly20              native_mse                  70 147  0.476190      NaN       NaN
extension_2021_2023 rolling3_quarterly20      training_frequency                  72 147  0.489796 0.253155  0.699491
extension_2021_2023    rolling5_annual20 learned_vol_interaction                  71 147  0.482993 0.277967  0.752923
extension_2021_2023    rolling5_annual20              native_mse                  73 147  0.496599      NaN       NaN
extension_2021_2023    rolling5_annual20      training_frequency                  62 147  0.421769 0.256412  0.706022
extension_2021_2023     rolling5_matched learned_vol_interaction                  67 147  0.455782 0.310966  0.838337
extension_2021_2023     rolling5_matched              native_mse                  60 147  0.408163      NaN       NaN
extension_2021_2023     rolling5_matched      training_frequency                  62 147  0.421769 0.256412  0.706022
extension_2021_2023 rolling5_quarterly20 learned_vol_interaction                  74 147  0.503401 0.264609  0.724441
extension_2021_2023 rolling5_quarterly20              native_mse                  68 147  0.462585      NaN       NaN
extension_2021_2023 rolling5_quarterly20      training_frequency                  62 147  0.421769 0.255891  0.704963
   recent_2024_2026                 full learned_vol_interaction                  60 125  0.480000 0.256965  0.707631
   recent_2024_2026                 full              native_mse                  63 125  0.504000      NaN       NaN
   recent_2024_2026                 full      training_frequency                  66 125  0.528000 0.250021  0.693189
   recent_2024_2026    rolling3_annual20 learned_vol_interaction                  57 125  0.456000 0.268735  0.731466
   recent_2024_2026    rolling3_annual20              native_mse                  57 125  0.456000      NaN       NaN
   recent_2024_2026    rolling3_annual20      training_frequency                  57 125  0.456000 0.258769  0.710820
   recent_2024_2026     rolling3_matched learned_vol_interaction                  59 125  0.472000 0.306329  0.855198
   recent_2024_2026     rolling3_matched              native_mse                  64 125  0.512000      NaN       NaN
   recent_2024_2026     rolling3_matched      training_frequency                  57 125  0.456000 0.258769  0.710820
   recent_2024_2026 rolling3_quarterly20 learned_vol_interaction                  56 125  0.448000 0.280636  0.763509
