history,cutoff,seed,epoch,train_n,presentations,optimizer_steps,last_batch_n,minimum_repetitions,maximum_repetitions,order_sha256,joint_loss,return_loss,auxiliary_loss,clipped_fraction
rolling5,2020-12-31,20260910,1,1212,1212,10,60,1,1,62719e177d53a1311abfa24570163ff46ee314eee41fd65b56167e0a6988f8a3,1.118268644455636,1.0004785399232368,1.1779011133873816,0.1
rolling5,2020-12-31,20260910,2,1212,1212,10,60,1,1,ff51eacf9f7e0bff43d94e0dd5531b1fdb05dc10c32d3d690621aa8fee733ece,1.107719649182688,0.9998494748628572,1.0787015698923923,0.0
rolling5,2020-12-31,20260910,3,1212,1212,10,60,1,1,4a75763462a02154da2ee604dc415301b39e0f4f9e688e20853fa673630959cf,1.105748222212587,1.000346563830234,1.0540165375955035,0.0
rolling5,2020-12-31,20260910,4,1212,1212,10,60,1,1,527fa130e10dde46b7ac2649383bd76a48f4892d9f15d06a78060bdf0eb74fd3,1.1052961982909602,1.0011261160617615,1.0417007056399934,0.0
rolling5,2020-12-31,20260910,5,1212,1212,10,60,1,1,6f3fea59884ccd3754f8acb84ab790380230344a84f4e392b1616be0b29007dc,1.1045215381647493,1.0005590471104033,1.0396249624762204,0.0
rolling5,2020-12-31,20260910,6,1212,1212,10,60,1,1,bfbbc92d40043bb5b4dd53558d021d6b67639a6584c0fc6076847cdbdb6de7d6,1.1037702945986203,1.0006898208813306,1.0308047690407278,0.0
rolling5,2020-12-31,20260910,7,1212,1212,10,60,1,1,76bc9923f500c732c773c3d8fc6c451ed43959596ef66f3fbabdf1d9f2c3786f,1.1020231483006242,0.9997277531293359,1.022953989482162,0.0
rolling5,2020-12-31,20260910,8,1212,1212,10,60,1,1,cc2416fb9269b350a6dc7e2a9541b9e0d447c5aeafac408f30301d01f1e5c37c,1.1024695221740421,1.0004938860537589,1.0197563568751018,0.0
rolling5,2020-12-31,20260910,9,1212,1212,10,60,1,1,1fb841f04fad008ebec588e994ff6549ae7c006528cf29c5a473a0a70d70da58,1.1015301600541219,0.9998833775126895,1.0164676625343045,0.0
rolling5,2020-12-31,20260910,10,1212,1212,10,60,1,1,fe3b920a788c2b5ad0604ef77c0c3ec176974c95479ed94460dface4e507afdd,1.1010096948532382,0.9996238439389975,1.0138585665831865,0.0
rolling5,2020-12-31,20260910,11,1212,1212,10,60,1,1,1710274826cd0ba358e08a86e019fc8a9346e313bcb2a600a4d4bc51289f8f83,1.100561792307561,0.9993165762904453,1.0124520720428367,0.0
rolling5,2020-12-31,20260910,12,1212,1212,10,60,1,1,7dbccc676bbba7a39fe1e385decf918d0317427c692ccf8656bae728f4e1e76f,1.101243524268122,1.0001240622485825,1.0111946701610048,0.0
rolling5,2020-12-31,20260910,13,1212,1212,10,60,1,1,389bb3e26fcfd35bd4266a53b2a518fd7f1e2b6a60f922c2bf0141e8ade9fd1b,1.1006946990592252,0.9995175066954232,1.0117717310540353,0.1
rolling5,2020-12-31,20260910,14,1212,1212,10,60,1,1,22dba5f1c4d355a2b89381982eb63f9a304f2011c3b61541767cfc43fb48713a,1.0988117444633256,0.9977378199989646,1.0107394201133904,0.0
rolling5,2020-12-31,20260910,15,1212,1212,10,60,1,1,90c37a5ba91b4b8a31611c8e36138cdb8a8fbc8fe444a5731cbf98dc8ab984d0,1.1005064325757545,0.9992348038324035,1.012716263040851,0.1
rolling5,2020-12-31,20260910,16,1212,1212,10,60,1,1,7540731536a9c2c08975f5c8163cf263e1099b950adee10a4feec8f202677401,1.101017704497863,0.9984340034302311,1.025836983332933,0.0
rolling5,2020-12-31,20260910,17,1212,1212,10,60,1,1,b55b4bf84b2961938783c206ac76f1d1b28bce18b07f980402f580b5195a5c13,1.0974991101242921,0.9954434660795105,1.0205564475295568,0.0
rolling5,2020-12-31,20260910,18,1212,1212,10,60,1,1,ee35655cbb68eabb127f6b152708e9b90e2e8101847c49e7321c302a3e0908a6,1.0930587783111598,0.9913638181025439,1.016949501368079,0.1
rolling5,2020-12-31,20260910,19,1212,1212,10,60,1,1,563ff568e6ba34bf5100377afe4aa67e8656c3ecc504667db286cdc6f71d3e99,1.079981578852084,0.9768821126950455,1.0309945427545226,0.1
rolling5,2020-12-31,20260910,20,1212,1212,10,60,1,1,49321e4b7531a9259aa1e24d26ec6d60f1be4841acdf5ffaa1a2ebaee0d846d9,1.0795470629588213,0.9755906031863524,1.0395647169339775,0.4
rolling5,2020-12-31,20260911,1,1212,1212,10,60,1,1,f7f2831adbdd8ffd6d331e5524f173b8ffa065ec659ca5424bdf96fe2822c9bb,1.1298540873889482,1.000263251880608,1.295908298822913,0.2
rolling5,2020-12-31,20260911,2,1212,1212,10,60,1,1,2fd57be114f25a9ad618bab89cde22ba9b0be44aca413edf992cc9de7eb7686a,1.1098360366160327,1.000324572667037,1.0951146890621375,0.0
rolling5,2020-12-31,20260911,3,1212,1212,10,60,1,1,bf8636208e1b5e81f2b88d1affed61c41fc35a0379706b81f3980655cc38d6d0,1.1065406783579206,1.0012608986876586,1.052797834471901,0.0
rolling5,2020-12-31,20260911,4,1212,1212,10,60,1,1,c4be9d8eb0a18a20260cf23f8f8f5866f14d344166f709c6df21268398be61e8,1.1045128547712522,1.0004746178195816,1.0403823514189263,0.0
