history,method,quarter,n,correct,brier
rolling5_annual20,learned_order_extension,1,12,6,0.2388203101521469
rolling5_annual20,learned_order_extension,2,11,6,0.25239255434305174
rolling5_annual20,learned_order_extension,3,13,6,0.2941091888785002
rolling5_annual20,learned_order_extension,4,12,5,0.2636398583617115
rolling5_annual20,learned_order_offset,1,12,6,0.23856888334893292
rolling5_annual20,learned_order_offset,2,11,6,0.2521208566378784
rolling5_annual20,learned_order_offset,3,13,6,0.29418584816576154
rolling5_annual20,learned_order_offset,4,12,5,0.2635085117368371
rolling5_annual20,learned_vol_interaction,1,12,7,0.23868623912497636
rolling5_annual20,learned_vol_interaction,2,11,5,0.2552406680377864
rolling5_annual20,learned_vol_interaction,3,13,6,0.29153008887629367
rolling5_annual20,learned_vol_interaction,4,12,4,0.2663791124542994
rolling5_quarterly20,learned_order_extension,1,12,6,0.2388203101521469
rolling5_quarterly20,learned_order_extension,2,11,5,0.2742369746312611
rolling5_quarterly20,learned_order_extension,3,13,5,0.28458822710394294
rolling5_quarterly20,learned_order_extension,4,12,6,0.23944305568329424
rolling5_quarterly20,learned_order_offset,1,12,6,0.23856888334893292
rolling5_quarterly20,learned_order_offset,2,11,5,0.2740322247177729
rolling5_quarterly20,learned_order_offset,3,13,5,0.2844055745015836
rolling5_quarterly20,learned_order_offset,4,12,6,0.23950086697130624
rolling5_quarterly20,learned_vol_interaction,1,12,7,0.23868623912497636
rolling5_quarterly20,learned_vol_interaction,2,11,4,0.27345891270120143
rolling5_quarterly20,learned_vol_interaction,3,13,4,0.28606504653866427
rolling5_quarterly20,learned_vol_interaction,4,12,7,0.241082803513852
state90,learned_order_extension,1,12,6,0.2388203101521469
state90,learned_order_extension,2,11,5,0.2742369746312611
state90,learned_order_extension,3,13,5,0.28711074943270454
state90,learned_order_extension,4,12,6,0.23944305568329424
state90,learned_order_offset,1,12,6,0.23856888334893292
state90,learned_order_offset,2,11,5,0.2740322247177729
state90,learned_order_offset,3,13,5,0.2869127515981823
state90,learned_order_offset,4,12,6,0.23950086697130624
state90,learned_vol_interaction,1,12,7,0.23868623912497636
state90,learned_vol_interaction,2,11,4,0.27345891270120143
state90,learned_vol_interaction,3,13,5,0.2872040584235887
state90,learned_vol_interaction,4,12,7,0.241082803513852
