window,history,method,bin_index,n,mean_probability,observed_up
extension_2021_2023,rolling5_annual20,learned_market,0,0,,
extension_2021_2023,rolling5_annual20,learned_market,1,20,0.37425569920791657,0.4
extension_2021_2023,rolling5_annual20,learned_market,2,74,0.4959800711298788,0.44594594594594594
extension_2021_2023,rolling5_annual20,learned_market,3,53,0.6646322289136826,0.39622641509433965
extension_2021_2023,rolling5_annual20,learned_market,4,0,,
extension_2021_2023,rolling5_annual20,learned_order_extension,0,0,,
extension_2021_2023,rolling5_annual20,learned_order_extension,1,18,0.36872090537663227,0.4444444444444444
extension_2021_2023,rolling5_annual20,learned_order_extension,2,75,0.49147333991128617,0.4266666666666667
extension_2021_2023,rolling5_annual20,learned_order_extension,3,54,0.6694155899085966,0.4074074074074074
extension_2021_2023,rolling5_annual20,learned_order_extension,4,0,,
extension_2021_2023,rolling5_annual20,learned_order_offset,0,0,,
extension_2021_2023,rolling5_annual20,learned_order_offset,1,17,0.36749627423514586,0.4117647058823529
extension_2021_2023,rolling5_annual20,learned_order_offset,2,76,0.4904911466196272,0.4342105263157895
extension_2021_2023,rolling5_annual20,learned_order_offset,3,54,0.6689491056628001,0.4074074074074074
extension_2021_2023,rolling5_annual20,learned_order_offset,4,0,,
extension_2021_2023,rolling5_annual20,learned_vol_interaction,0,0,,
extension_2021_2023,rolling5_annual20,learned_vol_interaction,1,22,0.3728213741585311,0.4090909090909091
extension_2021_2023,rolling5_annual20,learned_vol_interaction,2,72,0.49932245368105327,0.4444444444444444
extension_2021_2023,rolling5_annual20,learned_vol_interaction,3,53,0.6677110678706436,0.39622641509433965
extension_2021_2023,rolling5_annual20,learned_vol_interaction,4,0,,
extension_2021_2023,rolling5_annual20,training_frequency,0,0,,
extension_2021_2023,rolling5_annual20,training_frequency,1,0,,
extension_2021_2023,rolling5_annual20,training_frequency,2,147,0.5358667437764589,0.4217687074829932
extension_2021_2023,rolling5_annual20,training_frequency,3,0,,
extension_2021_2023,rolling5_annual20,training_frequency,4,0,,
extension_2021_2023,rolling5_matched,learned_market,0,5,0.15653996224655037,0.0
extension_2021_2023,rolling5_matched,learned_market,1,22,0.2910468568162785,0.5909090909090909
extension_2021_2023,rolling5_matched,learned_market,2,58,0.5005393300266224,0.46551724137931033
extension_2021_2023,rolling5_matched,learned_market,3,47,0.6896571896527863,0.3191489361702128
extension_2021_2023,rolling5_matched,learned_market,4,15,0.8489698532812887,0.4666666666666667
extension_2021_2023,rolling5_matched,learned_order_extension,0,7,0.16711973279179423,0.14285714285714285
