forecast_date,open,high,low,close,volume,amount
2025-03-31,3916.5315,3943.0022,3903.9587,3925.6387,5.2198114e-08,1.2041979e-08
2025-04-01,3920.5945,3946.2122,3906.2666,3931.042,5.7241056e-08,3.611431e-08
2025-04-02,3928.8606,3961.545,3912.362,3939.8723,8.708125e-08,4.014122e-08
2025-04-03,3944.08,3970.531,3930.9348,3947.1785,1.1244901e-07,4.6509438e-08
2025-04-07,3951.1438,3972.2708,3930.8428,3948.611,4.034379e-08,8.318493e-09
2025-04-08,3950.652,3976.8826,3934.8723,3956.7764,7.1795334e-08,9.018765e-09
2025-04-09,3962.5273,3990.4207,3946.4768,3969.1194,5.08347e-08,-2.985494e-08
2025-04-10,3975.1174,4004.1907,3957.2048,3980.9746,4.9541715e-08,-6.267027e-08
2025-04-11,3987.8225,4015.4382,3967.764,3991.53,4.008005e-08,-5.5391467e-08
2025-04-14,3996.213,4023.1711,3969.4062,3992.6926,1.0286819e-07,-1.9402941e-08
