    cutoff incumbent_cutoff evaluated_challenger_cutoff  paired_mature_weeks  challenger_minus_incumbent_brier  challenger_correct_gain     reason selected_model_cutoff
2020-12-31                                                                 0                               NaN                        0     annual            2020-12-31
2021-03-31       2020-12-31                  2020-12-31                   10                          0.000000                        0 same_model            2020-12-31
2021-06-30       2020-12-31                  2021-03-31                   12                         -0.015557                       -1       hold            2020-12-31
2021-09-30       2020-12-31                  2021-06-30                   12                         -0.006962                        1    promote            2021-06-30
2021-12-31       2021-06-30                  2021-09-30                   11                               NaN                        0     annual            2021-12-31
2022-03-31       2021-12-31                  2021-12-31                   10                          0.000000                        0 same_model            2021-12-31
2022-06-30       2021-12-31                  2022-03-31                   11                         -0.043956                        0       hold            2021-12-31
2022-09-30       2021-12-31                  2022-06-30                   12                         -0.020816                       -3       hold            2021-12-31
2022-12-31       2021-12-31                  2022-09-30                   10                               NaN                        0     annual            2022-12-31
2023-03-31       2022-12-31                  2022-12-31                   10                          0.000000                        0 same_model            2022-12-31
2023-06-30       2022-12-31                  2023-03-31                   10                         -0.012695                        1    promote            2023-03-31
2023-09-30       2023-03-31                  2023-06-30                   11                         -0.030636                        2    promote            2023-06-30
2023-12-31       2023-06-30                  2023-09-30                   10                               NaN                        0     annual            2023-12-31
2024-03-31       2023-12-31                  2023-12-31                    9                          0.000000                        0 same_model            2023-12-31
2024-06-30       2023-12-31                  2024-03-31                    9                          0.034056                       -1       hold            2023-12-31
2024-09-30       2023-12-31                  2024-06-30                   12                          0.012472                        0       hold            2023-12-31
2024-12-31       2023-12-31                  2024-09-30                   11                               NaN                        0     annual            2024-12-31
2025-03-31       2024-12-31                  2024-12-31                   11                          0.000000                        0 same_model            2024-12-31
2025-06-30       2024-12-31                  2025-03-31                   10                          0.019874                       -1       hold            2024-12-31
2025-09-30       2024-12-31                  2025-06-30                   12                         -0.011245                       -1       hold            2024-12-31
2025-12-31       2024-12-31                  2025-09-30                   11                               NaN                        0     annual            2025-12-31
2026-03-31       2025-12-31                  2025-12-31                   10                          0.000000                        0 same_model            2025-12-31
2026-06-30       2025-12-31                  2026-03-31                   10                          0.020524                       -1       hold            2025-12-31
Scoring PASS: paired trial and fixed half blend.

EXIT_CODE=0
