cutoff,incumbent_cutoff,challenger_cutoff,promoted,next_n,incumbent_correct,challenger_correct,challenger_minus_incumbent_brier,diagnostic_only
2021-06-30,2020-12-31,2021-03-31,False,13,9,7,0.01911723126011467,True
2021-09-30,2020-12-31,2021-06-30,True,13,6,8,-0.05361479747530536,True
2022-06-30,2021-12-31,2022-03-31,False,14,7,3,-0.0006998603525129341,True
2022-09-30,2021-12-31,2022-06-30,False,12,6,6,-0.035739005885741866,True
2023-06-30,2022-12-31,2023-03-31,True,12,7,4,0.027396394308469046,True
2023-09-30,2023-03-31,2023-06-30,True,12,7,3,0.0341473308721082,True
2024-06-30,2023-12-31,2024-03-31,False,13,9,10,0.00010930562941136889,True
2024-09-30,2023-12-31,2024-06-30,False,12,10,6,0.008388998689482263,True
2025-06-30,2024-12-31,2025-03-31,False,13,6,5,-0.004326030452704984,True
2025-09-30,2024-12-31,2025-06-30,False,12,4,5,-0.006683833155048657,True
2026-06-30,2025-12-31,2026-03-31,False,8,3,3,0.0017376332328901851,True
