head_cutoff,encoder_cutoff,seed,n,outside_feature_rows_poisoned,future_labels_excluded,fit_inputs_unchanged
2021-03-31,2020-12-31,20260910,1211,197,True,True
2021-03-31,2020-12-31,20260911,1211,197,True,True
2021-03-31,2020-12-31,20260912,1211,197,True,True
2021-06-30,2020-12-31,20260910,1210,198,True,True
2021-06-30,2020-12-31,20260911,1210,198,True,True
2021-06-30,2020-12-31,20260912,1210,198,True,True
2021-09-30,2020-12-31,20260910,1210,198,True,True
2021-09-30,2020-12-31,20260911,1210,198,True,True
2021-09-30,2020-12-31,20260912,1210,198,True,True
2022-03-31,2021-12-31,20260910,1210,197,True,True
2022-03-31,2021-12-31,20260911,1210,197,True,True
2022-03-31,2021-12-31,20260912,1210,197,True,True
2022-06-30,2021-12-31,20260910,1209,198,True,True
2022-06-30,2021-12-31,20260911,1209,198,True,True
2022-06-30,2021-12-31,20260912,1209,198,True,True
2022-09-30,2021-12-31,20260910,1209,198,True,True
2022-09-30,2021-12-31,20260911,1209,198,True,True
2022-09-30,2021-12-31,20260912,1209,198,True,True
2023-03-31,2022-12-31,20260910,1209,195,True,True
2023-03-31,2022-12-31,20260911,1209,195,True,True
2023-03-31,2022-12-31,20260912,1209,195,True,True
2023-06-30,2022-12-31,20260910,1208,196,True,True
2023-06-30,2022-12-31,20260911,1208,196,True,True
2023-06-30,2022-12-31,20260912,1208,196,True,True
2023-09-30,2022-12-31,20260910,1208,196,True,True
2023-09-30,2022-12-31,20260911,1208,196,True,True
2023-09-30,2022-12-31,20260912,1208,196,True,True
2024-03-31,2023-12-31,20260910,1208,194,True,True
2024-03-31,2023-12-31,20260911,1208,194,True,True
2024-03-31,2023-12-31,20260912,1208,194,True,True
2024-06-30,2023-12-31,20260910,1207,195,True,True
2024-06-30,2023-12-31,20260911,1207,195,True,True
2024-06-30,2023-12-31,20260912,1207,195,True,True
2024-09-30,2023-12-31,20260910,1206,196,True,True
2024-09-30,2023-12-31,20260911,1206,196,True,True
2024-09-30,2023-12-31,20260912,1206,196,True,True
2025-03-31,2024-12-31,20260910,1205,197,True,True
2025-03-31,2024-12-31,20260911,1205,197,True,True
2025-03-31,2024-12-31,20260912,1205,197,True,True
2025-06-30,2024-12-31,20260910,1206,196,True,True
2025-06-30,2024-12-31,20260911,1206,196,True,True
2025-06-30,2024-12-31,20260912,1206,196,True,True
2025-09-30,2024-12-31,20260910,1206,196,True,True
2025-09-30,2024-12-31,20260911,1206,196,True,True
2025-09-30,2024-12-31,20260912,1206,196,True,True
2026-03-31,2025-12-31,20260910,1204,127,True,True
2026-03-31,2025-12-31,20260911,1204,127,True,True
2026-03-31,2025-12-31,20260912,1204,127,True,True
2026-06-30,2025-12-31,20260910,1204,127,True,True
2026-06-30,2025-12-31,20260911,1204,127,True,True
2026-06-30,2025-12-31,20260912,1204,127,True,True
