job,method,head_cutoff,encoder_cutoff,seed,train_n,objective,gradient_inf,hessian_min,reduced_objective
learned_market_2021-03-31_20260910,learned_market,2021-03-31,2020-12-31,20260910,1211,0.6577479292777171,4.1145472445824893e-17,0.01019204924413623,
learned_vol_interaction_2021-03-31_20260910,learned_vol_interaction,2021-03-31,2020-12-31,20260910,1211,0.6496484160458074,2.911950194861568e-15,0.010189342529115119,
learned_order_extension_2021-03-31_20260910,learned_order_extension,2021-03-31,2020-12-31,20260910,1211,0.6496384032890478,2.987193825632062e-15,0.010189350271331811,
learned_order_offset_2021-03-31_20260910,learned_order_offset,2021-03-31,2020-12-31,20260910,1211,0.6496384152448328,1.068410767843253e-14,0.22532175317957026,0.6468407596595467
learned_market_2021-03-31_20260911,learned_market,2021-03-31,2020-12-31,20260911,1211,0.6422947921643497,1.566672139241554e-15,0.010135483503624141,
learned_vol_interaction_2021-03-31_20260911,learned_vol_interaction,2021-03-31,2020-12-31,20260911,1211,0.6421717825918193,2.2536226357283695e-15,0.010135250198199355,
learned_order_extension_2021-03-31_20260911,learned_order_extension,2021-03-31,2020-12-31,20260911,1211,0.6411236409845519,4.6374362683287984e-14,0.010133518710116581,
learned_order_offset_2021-03-31_20260911,learned_order_offset,2021-03-31,2020-12-31,20260911,1211,0.6411272194775949,8.239936510889834e-18,0.2102460441664875,0.6373409714211348
learned_market_2021-03-31_20260912,learned_market,2021-03-31,2020-12-31,20260912,1211,0.6384914308267703,5.761871015030895e-13,0.01076428767120458,
learned_vol_interaction_2021-03-31_20260912,learned_vol_interaction,2021-03-31,2020-12-31,20260912,1211,0.6384524896694725,9.485949352405765e-13,0.010764175531111508,
learned_order_extension_2021-03-31_20260912,learned_order_extension,2021-03-31,2020-12-31,20260912,1211,0.63809737239981,1.1567396346334746e-12,0.010763149020302665,
learned_order_offset_2021-03-31_20260912,learned_order_offset,2021-03-31,2020-12-31,20260912,1211,0.6380997353336183,1.0625181290357943e-17,0.19937272419765664,0.6357897328432093
learned_market_2021-06-30_20260910,learned_market,2021-06-30,2020-12-31,20260910,1210,0.6565898036636102,4.4181238528784306e-17,0.010198705334390204,
learned_vol_interaction_2021-06-30_20260910,learned_vol_interaction,2021-06-30,2020-12-31,20260910,1210,0.6487299521847342,1.3802706807369836e-15,0.010196146415066193,
learned_order_extension_2021-06-30_20260910,learned_order_extension,2021-06-30,2020-12-31,20260910,1210,0.6487023115339913,1.4379231312589003e-15,0.010196161189789046,
learned_order_offset_2021-06-30_20260910,learned_order_offset,2021-06-30,2020-12-31,20260910,1210,0.6487023441463284,2.3335689934220194e-14,0.226012788140253,0.6456487283951512
learned_market_2021-06-30_20260911,learned_market,2021-06-30,2020-12-31,20260911,1210,0.644492990081998,1.6219664500383146e-16,0.01014141666695407,
learned_vol_interaction_2021-06-30_20260911,learned_vol_interaction,2021-06-30,2020-12-31,20260911,1210,0.6443328330749772,2.7336802526506387e-16,0.010141132329844904,
learned_order_extension_2021-06-30_20260911,learned_order_extension,2021-06-30,2020-12-31,20260911,1210,0.6432206234778121,1.1126299534480744e-14,0.010138947411999253,
learned_order_offset_2021-06-30_20260911,learned_order_offset,2021-06-30,2020-12-31,20260911,1210,0.6432234362600904,5.421010862427522e-18,0.21335780916884586,0.6394126539212074
learned_market_2021-06-30_20260912,learned_market,2021-06-30,2020-12-31,20260912,1210,0.6401873632519314,3.758634029016328e-13,0.010820136390110502,
learned_vol_interaction_2021-06-30_20260912,learned_vol_interaction,2021-06-30,2020-12-31,20260912,1210,0.63998540149043,4.70990000472904e-13,0.01081954681196234,
learned_order_extension_2021-06-30_20260912,learned_order_extension,2021-06-30,2020-12-31,20260912,1210,0.6398731737431574,4.424238753131249e-13,0.010818629055100355,
learned_order_offset_2021-06-30_20260912,learned_order_offset,2021-06-30,2020-12-31,20260912,1210,0.6398737312152661,7.589415207398531e-19,0.20170611431366095,0.6373545803106281
learned_market_2021-09-30_20260910,learned_market,2021-09-30,2020-12-31,20260910,1210,0.6570446914798677,6.418279952652428e-10,0.010202300526738256,
learned_vol_interaction_2021-09-30_20260910,learned_vol_interaction,2021-09-30,2020-12-31,20260910,1210,0.6496898696751611,6.693864212925504e-16,0.010199698582585168,
learned_order_extension_2021-09-30_20260910,learned_order_extension,2021-09-30,2020-12-31,20260910,1210,0.6496896474412133,6.703622032477874e-16,0.010199671296054,
learned_order_offset_2021-09-30_20260910,learned_order_offset,2021-09-30,2020-12-31,20260910,1210,0.6496896476494427,4.7620192294636765e-18,0.22948695815199377,0.6469253104636823
learned_market_2021-09-30_20260911,learned_market,2021-09-30,2020-12-31,20260911,1210,0.6471924609184133,4.423544863740858e-17,0.010138824540401098,
learned_vol_interaction_2021-09-30_20260911,learned_vol_interaction,2021-09-30,2020-12-31,20260911,1210,0.6469095106707722,5.833007687972014e-17,0.010138456101843727,
learned_order_extension_2021-09-30_20260911,learned_order_extension,2021-09-30,2020-12-31,20260911,1210,0.6465328014491118,3.5193202518879474e-16,0.010137437461226629,
learned_order_offset_2021-09-30_20260911,learned_order_offset,2021-09-30,2020-12-31,20260911,1210,0.6465333564448552,1.3755467901874208e-11,0.2187244502709594,0.6424834219681508
learned_market_2021-09-30_20260912,learned_market,2021-09-30,2020-12-31,20260912,1210,0.6403095016928626,2.8532514892432026e-13,0.010881968956898967,
learned_vol_interaction_2021-09-30_20260912,learned_vol_interaction,2021-09-30,2020-12-31,20260912,1210,0.6403075027796262,8.516848250955666e-13,0.010881706413624515,
learned_order_extension_2021-09-30_20260912,learned_order_extension,2021-09-30,2020-12-31,20260912,1210,0.6402487889700156,1.5123611998152375e-12,0.01088182060832146,
