period,method,case,group,n,mean_probability_contribution,mean_signed_contribution,mean_signed_coefficient,mean_signed_transform
extension_2021_2023,learned_market,all,intercept,147,-0.005759970395691141,7.885977665041681e-05,7.885977665041681e-05,0.0
extension_2021_2023,learned_market,all,decoded,147,0.0018712555515356941,0.0015781998878755827,0.0013944527468410205,0.00018374714103456313
extension_2021_2023,learned_market,all,market,147,0.00064425926578499,-0.003247883995087074,-0.0030993744420853937,-0.0001485095530016794
extension_2021_2023,learned_market,all,vol,147,0.0,0.0,0.0,0.0
extension_2021_2023,learned_market,all,order,147,0.0,0.0,0.0,0.0
extension_2021_2023,learned_market,regression,intercept,9,-0.009764531006039662,-0.0070341300217778395,-0.0070341300217778395,0.0
extension_2021_2023,learned_market,regression,decoded,9,0.020085764240976276,-0.015921384171042535,-0.016719089137320606,0.0007977049662780751
extension_2021_2023,learned_market,regression,market,9,-0.004020701529045952,-0.024683219379105156,-0.023220195270365285,-0.0014630241087398672
extension_2021_2023,learned_market,regression,vol,9,0.0,0.0,0.0,0.0
extension_2021_2023,learned_market,regression,order,9,0.0,0.0,0.0,0.0
extension_2021_2023,learned_market,recovery,intercept,6,-0.005761304819673199,0.01417141608470883,0.01417141608470883,0.0
extension_2021_2023,learned_market,recovery,decoded,6,-0.0013129081881916537,0.013185161373061393,0.015393641275269576,-0.002208479902208174
extension_2021_2023,learned_market,recovery,market,6,0.004272429765670003,0.02011193877819577,0.017301917639288667,0.0028100211389071018
extension_2021_2023,learned_market,recovery,vol,6,0.0,0.0,0.0,0.0
extension_2021_2023,learned_market,recovery,order,6,0.0,0.0,0.0,0.0
extension_2021_2023,learned_market,stable_correct,intercept,59,-0.004133791955827756,-0.0027143019255174827,-0.0027143019255174827,0.0
extension_2021_2023,learned_market,stable_correct,decoded,59,0.005108246963572127,-0.008391069226619781,-0.009254175536501371,0.0008631063098815931
extension_2021_2023,learned_market,stable_correct,market,59,-5.0358296741287495e-05,-0.00776537768851119,-0.007548780316131712,-0.00021659737237947888
