period,method,case,group,n,dominant_adverse_count
extension_2021_2023,learned_market,all,intercept,147,16
extension_2021_2023,learned_market,all,decoded,147,40
extension_2021_2023,learned_market,all,market,147,33
extension_2021_2023,learned_market,all,vol,147,0
extension_2021_2023,learned_market,all,order,147,0
extension_2021_2023,learned_market,regression,intercept,9,0
extension_2021_2023,learned_market,regression,decoded,9,6
extension_2021_2023,learned_market,regression,market,9,3
extension_2021_2023,learned_market,regression,vol,9,0
extension_2021_2023,learned_market,regression,order,9,0
extension_2021_2023,learned_market,recovery,intercept,6,0
extension_2021_2023,learned_market,recovery,decoded,6,3
extension_2021_2023,learned_market,recovery,market,6,0
extension_2021_2023,learned_market,recovery,vol,6,0
extension_2021_2023,learned_market,recovery,order,6,0
extension_2021_2023,learned_market,stable_correct,intercept,59,9
extension_2021_2023,learned_market,stable_correct,decoded,59,18
extension_2021_2023,learned_market,stable_correct,market,59,14
extension_2021_2023,learned_market,stable_correct,vol,59,0
extension_2021_2023,learned_market,stable_correct,order,59,0
extension_2021_2023,learned_market,stable_wrong,intercept,73,7
extension_2021_2023,learned_market,stable_wrong,decoded,73,13
extension_2021_2023,learned_market,stable_wrong,market,73,16
extension_2021_2023,learned_market,stable_wrong,vol,73,0
extension_2021_2023,learned_market,stable_wrong,order,73,0
extension_2021_2023,learned_order_extension,all,intercept,147,10
extension_2021_2023,learned_order_extension,all,decoded,147,39
extension_2021_2023,learned_order_extension,all,market,147,24
extension_2021_2023,learned_order_extension,all,vol,147,11
extension_2021_2023,learned_order_extension,all,order,147,16
extension_2021_2023,learned_order_extension,regression,intercept,12,1
extension_2021_2023,learned_order_extension,regression,decoded,12,7
extension_2021_2023,learned_order_extension,regression,market,12,3
extension_2021_2023,learned_order_extension,regression,vol,12,0
extension_2021_2023,learned_order_extension,regression,order,12,1
extension_2021_2023,learned_order_extension,recovery,intercept,9,0
extension_2021_2023,learned_order_extension,recovery,decoded,9,2
