head_cutoff,encoder_cutoff,seed,group,parameter,dimensions,old_norm,new_norm,delta_norm,maximum_absolute_change,maximum_abs_log_ratio
2020-12-31,2020-12-31,20260910,rep,lower,25,3.699362534258915,3.699362534258915,0.0,0.0,
2020-12-31,2020-12-31,20260910,rep,upper,25,4.450433432246732,4.450433432246732,0.0,0.0,
2020-12-31,2020-12-31,20260910,rep,mean,25,2.511178814824568,2.511178814824568,0.0,0.0,
2020-12-31,2020-12-31,20260910,rep,sd,25,2.102431151479999,2.102431151479999,0.0,0.0,0.0
2020-12-31,2020-12-31,20260910,market,lower,4,1.7581780932364166,1.7581780932364166,0.0,0.0,
2020-12-31,2020-12-31,20260910,market,upper,4,2.8590215426351118,2.8590215426351118,0.0,0.0,
2020-12-31,2020-12-31,20260910,market,mean,4,0.31883295672664425,0.31883295672664425,0.0,0.0,
2020-12-31,2020-12-31,20260910,market,sd,4,1.0005765385727114,1.0005765385727114,0.0,0.0,0.0
2020-12-31,2020-12-31,20260910,vol,ray,25,0.6494616540667225,0.6494616540667225,0.0,0.0,
2020-12-31,2020-12-31,20260910,vol,projection,30,1.7050950983180369,1.7050950983180369,0.0,0.0,
2020-12-31,2020-12-31,20260910,vol,residual_mean,1,3.136471647125855e-16,3.136471647125855e-16,0.0,0.0,
2020-12-31,2020-12-31,20260910,vol,residual_sd,1,0.40093881821854543,0.40093881821854543,0.0,0.0,0.0
2020-12-31,2020-12-31,20260910,order,ray,25,0.6494616540667225,0.6494616540667225,0.0,0.0,
2020-12-31,2020-12-31,20260910,order,projection,31,0.21362084990056276,0.21362084990056276,0.0,0.0,
2020-12-31,2020-12-31,20260910,order,residual_mean,1,1.0076281576630959e-17,1.0076281576630959e-17,0.0,0.0,
2020-12-31,2020-12-31,20260910,order,residual_sd,1,0.036108380299244736,0.036108380299244736,0.0,0.0,0.0
2020-12-31,2020-12-31,20260911,rep,lower,25,6.992691591935535,6.992691591935535,0.0,0.0,
2020-12-31,2020-12-31,20260911,rep,upper,25,4.208350909662475,4.208350909662475,0.0,0.0,
2020-12-31,2020-12-31,20260911,rep,mean,25,2.427472714836193,2.427472714836193,0.0,0.0,
2020-12-31,2020-12-31,20260911,rep,sd,25,3.442420269733136,3.442420269733136,0.0,0.0,0.0
2020-12-31,2020-12-31,20260911,market,lower,4,1.7581780932364166,1.7581780932364166,0.0,0.0,
2020-12-31,2020-12-31,20260911,market,upper,4,2.8590215426351118,2.8590215426351118,0.0,0.0,
