method,date,year,row_index,joint_completed,head_cutoff,encoder_cutoff,actual_up,actual,old_probability,new_probability,probability_change,old_up,new_up,old_correct,new_correct,case,old_margin,new_margin,brier_change,p_intercept,coef_intercept,transform_intercept,signed_intercept,p_decoded,coef_decoded,transform_decoded,signed_decoded,p_market,coef_market,transform_market,signed_market,p_vol,coef_vol,transform_vol,signed_vol,p_order,coef_order,transform_order,signed_order,signed_probability_change,dominant_adverse_group,dominant_ties
learned_market,2021-01-08,2021,2418,2021-01-18,2020-12-31,2020-12-31,0,-0.0120052904669853,0.5075530912524239,0.5075530912524239,0.0,1,1,False,False,stable_wrong,0.007553091252423871,0.007553091252423871,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,none,0
learned_market,2021-01-15,2021,2423,2021-01-25,2020-12-31,2020-12-31,1,0.0231622460538123,0.3650104266377245,0.3650104266377245,0.0,0,0,False,False,stable_wrong,-0.13498957336227552,-0.13498957336227552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0
learned_market,2021-01-22,2021,2428,2021-02-01,2020-12-31,2020-12-31,0,-0.0372511735907923,0.3866446547735138,0.3866446547735138,0.0,0,0,True,True,stable_correct,-0.11335534522648621,-0.11335534522648621,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,none,0
learned_market,2021-01-29,2021,2433,2021-02-08,2020-12-31,2020-12-31,1,0.0278689901714626,0.42114716721388007,0.42114716721388007,0.0,0,0,False,False,stable_wrong,-0.07885283278611993,-0.07885283278611993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0
learned_market,2021-02-05,2021,2438,2021-02-22,2020-12-31,2020-12-31,1,0.0507379035040882,0.4985813898598063,0.4985813898598063,0.0,0,0,False,False,stable_wrong,-0.0014186101401936768,-0.0014186101401936768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0
learned_market,2021-02-19,2021,2443,2021-03-01,2020-12-31,2020-12-31,0,-0.0684918010685315,0.4352524461345955,0.4352524461345955,0.0,0,0,True,True,stable_correct,-0.06474755386540448,-0.06474755386540448,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,none,0
learned_market,2021-02-26,2021,2448,2021-03-08,2020-12-31,2020-12-31,0,-0.0165997123904068,0.49709849837034153,0.49709849837034153,0.0,0,0,True,True,stable_correct,-0.002901501629658465,-0.002901501629658465,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,none,0
learned_market,2021-03-05,2021,2453,2021-03-15,2020-12-31,2020-12-31,0,-0.0346560901469681,0.41887534844548496,0.41887534844548496,0.0,0,0,True,True,stable_correct,-0.08112465155451504,-0.08112465155451504,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,none,0
learned_market,2021-03-12,2021,2458,2021-03-22,2020-12-31,2020-12-31,0,-0.0210550182560221,0.415043511213008,0.415043511213008,0.0,0,0,True,True,stable_correct,-0.08495648878699202,-0.08495648878699202,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,none,0
learned_market,2021-03-19,2021,2463,2021-03-29,2020-12-31,2020-12-31,1,0.0087572877565691,0.5654234834962107,0.5654234834962107,0.0,1,1,True,True,stable_correct,0.06542348349621074,0.06542348349621074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0
