period,method,case,n,annual_correct,both_correct,mean_add_without_remove,mean_add_after_remove,mean_remove_without_add,mean_remove_after_add,mean_nonadditive,mean_add_effect,mean_remove_effect,mean_total_delta,mean_signed_add_without_remove,mean_signed_add_after_remove,mean_signed_remove_without_add,mean_signed_remove_after_add,mean_signed_nonadditive,mean_signed_add_effect,mean_signed_remove_effect,mean_signed_total_delta,dominant_add,dominant_remove,dominant_tie,dominant_none
extension_2021_2023,learned_market,all,147,68,65,-0.0036635333467295327,-0.003659213346584666,0.0005598492935893475,0.0005641692937342145,4.320000144866474e-06,-0.0036613733466570996,0.0005620092936617803,-0.0030993640529953194,-0.0007377332524173216,-0.0008034189339197416,-0.0008735134807436272,-0.0009391991622460461,-6.568568150242024e-05,-0.0007705760931685316,-0.0009063563214948362,-0.001676932414663368,40,41,0,66
extension_2021_2023,learned_market,regression,9,9,0,0.00885878332933293,0.011228716088887128,-0.004728782092678213,-0.002358849333124012,0.0023699327595541977,0.010043749709110029,-0.0035438157129011128,0.006499933996208919,-0.027301624526865756,-0.030166503758673358,-0.01704834993867603,-0.019913229170483628,-0.002864879231807599,-0.02873406414276956,-0.018480789554579827,-0.04721485369734939,4,5,0,0
extension_2021_2023,learned_market,recovery,6,0,6,-0.00350223361432271,-0.002721739091514977,-6.156851530569538e-05,0.0007189260075020359,0.0007804945228077311,-0.0031119863529188454,0.00032867874609817115,-0.0027833076068206736,0.021070290040566222,0.021245745454847306,0.025751635411630402,0.02592709082591148,0.00017545541428108189,0.02115801774770677,0.02583936311877094,0.0469973808664777,0,1,0,5
extension_2021_2023,learned_market,stable_correct,59,59,59,0.0006461016494212642,0.0011239775151953115,-6.0160532117367076e-05,0.0004177153336566813,0.00047787586577404827,0.0008850395823082879,0.00017877740076965642,0.001063816983077945,-0.013487121193015693,-0.01409467437356414,-0.005100360782300146,-0.0057079139628485945,-0.0006075531805484503,-0.013790897783289919,-0.005404137372574369,-0.019195035155864286,23,15,0,21
extension_2021_2023,learned_market,stable_wrong,73,0,0,-0.008703767774837754,-0.009437630761580324,0.0017640516092944768,0.0010301886225519063,-0.0007338629867425702,-0.009070699268209038,0.0013971201159231916,-0.007673579152285847,0.011049126613438001,0.011746674874699436,0.0023484950885574976,0.0030460433498189316,0.0006975482612614341,0.011397900744068719,0.002697269219188215,0.014095169963256935,13,20,0,40
extension_2021_2023,learned_order_extension,all,147,68,63,-0.006845642371841911,-0.006415407006112534,0.0009734973398614304,0.0014037327055908084,0.0004302353657293775,-0.006630524688977223,0.0011886150227261192,-0.005441909666251103,0.0020439186462576347,0.001680055412302764,-0.0002902343307577134,-0.0006540975647125845,-0.00036386323395487053,0.0018619870292801988,-0.0004721659477351488,0.0013898210815450505,40,40,0,67
extension_2021_2023,learned_order_extension,regression,13,13,0,0.01789033743481582,0.021820768559676153,0.010915847108712759,0.014846278233573096,0.003930431124860336,0.01985555299724599,0.012881062671142928,0.03273661566838892,-0.03694946577532805,-0.040664623769486034,-0.02661348953010875,-0.03032864752426675,-0.003715157994157995,-0.03880704477240705,-0.028471068527187747,-0.0672781132995948,8,5,0,0
extension_2021_2023,learned_order_extension,recovery,8,0,8,-0.014462063579988284,-0.014670751056781832,-0.0012525022766126659,-0.0014611897534062175,-0.0002086874767935564,-0.014566407318385058,-0.0013568460150094434,-0.015923253333394498,0.06239823905159054,0.0641973696045681,0.050043621293693975,0.05184275184667152,0.0017991305529775497,0.06329780432807931,0.05094318657018275,0.11424099089826206,0,0,0,8
extension_2021_2023,learned_order_extension,stable_correct,55,55,55,-0.0030102521911412705,-0.002397901233454129,-0.002916116920632841,-0.0023037659629456973,0.0006123509576871415,-0.0027040767122976997,-0.0026099414417892694,-0.00531401815408697,-0.017557790950589066,-0.019113813177610392,8.990927656736788e-06,-0.0015470312993645888,-0.0015560222270213258,-0.018335802064099727,-0.0007690201858539258,-0.019104822249953655,25,10,0,20
extension_2021_2023,learned_order_extension,stable_wrong,71,0,0,-0.013487654030432259,-0.013767383730705643,0.0024169654280855202,0.0021372357278121373,-0.00027972970027338295,-0.013627518880568953,0.0022771005779488283,-0.011350418302620124,0.0175674885344903,0.018497028486533125,-0.0013736979450794716,-0.0004441579930366481,0.0009295399520428241,0.018032258510511705,-0.0009089279690580603,0.017123330541453652,7,25,0,39
