arm,job,solver,solver_success,iterations,probability_gap,objective_gap,gradient_inf,coefficient_gap
add,add_learned_market_2021-03-31_20260910,L-BFGS-B,True,75,1.0435199404579265e-07,3.6637359812630166e-15,9.987090977565255e-09,
add,add_learned_vol_interaction_2021-03-31_20260910,L-BFGS-B,True,76,8.957065378289997e-08,1.1102230246251565e-15,1.0999833197512104e-08,
add,add_learned_order_extension_2021-03-31_20260910,L-BFGS-B,True,75,1.0790019189244049e-07,2.7755575615628914e-15,1.5352750255674154e-08,
add,add_learned_order_offset_2021-03-31_20260910,brentq,True,10,,1.1102230246251565e-16,1.691355389077387e-17,9.677397772023255e-13
remove,remove_learned_market_2021-03-31_20260910,L-BFGS-B,True,78,4.0214562624374395e-08,1.1102230246251565e-15,3.529490319096034e-09,
remove,remove_learned_vol_interaction_2021-03-31_20260910,L-BFGS-B,True,79,6.049134904095865e-08,9.992007221626409e-16,6.294143290981949e-09,
remove,remove_learned_order_extension_2021-03-31_20260910,L-BFGS-B,True,84,4.991311008950561e-08,1.3322676295501878e-15,5.35612913532069e-09,
remove,remove_learned_order_offset_2021-03-31_20260910,brentq,True,10,,1.1102230246251565e-16,6.938893903907228e-18,7.681355551625302e-15
add,add_learned_market_2021-03-31_20260911,L-BFGS-B,True,79,8.106538434971e-08,1.887379141862766e-15,7.290085365235788e-09,
add,add_learned_vol_interaction_2021-03-31_20260911,L-BFGS-B,True,82,9.22613182519072e-08,3.1086244689504383e-15,8.519887875117847e-09,
add,add_learned_order_extension_2021-03-31_20260911,L-BFGS-B,True,81,9.127803368702558e-08,2.4424906541753444e-15,5.1451281422214626e-09,
add,add_learned_order_offset_2021-03-31_20260911,brentq,True,11,,0.0,2.47198095326695e-17,2.636779683484747e-16
remove,remove_learned_market_2021-03-31_20260911,L-BFGS-B,True,84,9.534888545381648e-08,2.6645352591003757e-15,2.0372676325444705e-08,
remove,remove_learned_vol_interaction_2021-03-31_20260911,L-BFGS-B,True,82,4.2712213654816367e-08,9.992007221626409e-16,4.433669716609851e-09,
remove,remove_learned_order_extension_2021-03-31_20260911,L-BFGS-B,True,80,1.1544875105906627e-07,4.551914400963142e-15,3.162131961310932e-08,
remove,remove_learned_order_offset_2021-03-31_20260911,brentq,True,10,,0.0,2.5999168096202396e-16,1.27675647831893e-15
add,add_learned_market_2021-03-31_20260912,L-BFGS-B,True,70,6.005697783528774e-08,1.5543122344752192e-15,7.239921249210628e-09,
add,add_learned_vol_interaction_2021-03-31_20260912,L-BFGS-B,True,71,1.1561783064273357e-07,3.4416913763379853e-15,1.9685524196844106e-08,
add,add_learned_order_extension_2021-03-31_20260912,L-BFGS-B,True,70,6.414880859839656e-08,1.5543122344752192e-15,6.987615484713508e-09,
add,add_learned_order_offset_2021-03-31_20260912,brentq,True,9,,1.1102230246251565e-16,3.4724285079279493e-16,1.779066130525031e-10
remove,remove_learned_market_2021-03-31_20260912,L-BFGS-B,True,70,1.2513782332579382e-07,4.773959005888173e-15,2.172032483580867e-08,
remove,remove_learned_vol_interaction_2021-03-31_20260912,L-BFGS-B,True,68,1.202205356931607e-07,4.9960036108132044e-15,1.9336001334368386e-08,
remove,remove_learned_order_extension_2021-03-31_20260912,L-BFGS-B,True,73,5.7669700459506146e-08,9.992007221626409e-16,4.1652789000042045e-09,
remove,remove_learned_order_offset_2021-03-31_20260912,brentq,True,9,,0.0,5.421010862427522e-19,0.0
add,add_learned_market_2021-06-30_20260910,L-BFGS-B,True,75,9.580410598175604e-08,4.218847493575595e-15,1.477027498597664e-08,
add,add_learned_vol_interaction_2021-06-30_20260910,L-BFGS-B,True,75,1.2562008544492187e-07,5.995204332975845e-15,1.0674934291325633e-08,
add,add_learned_order_extension_2021-06-30_20260910,L-BFGS-B,True,71,7.744616092875134e-08,1.7763568394002505e-15,1.2195013566898907e-08,
add,add_learned_order_offset_2021-06-30_20260910,brentq,True,10,,0.0,1.5518185694785025e-15,4.840135237049736e-12
remove,remove_learned_market_2021-06-30_20260910,L-BFGS-B,True,81,5.8463335950165174e-08,1.1102230246251565e-15,9.77553064830574e-09,
remove,remove_learned_vol_interaction_2021-06-30_20260910,L-BFGS-B,True,78,6.110586714402899e-08,8.881784197001252e-16,7.961398332256842e-09,
remove,remove_learned_order_extension_2021-06-30_20260910,L-BFGS-B,True,78,8.332787015952192e-08,3.1086244689504383e-15,6.351643005823859e-09,
remove,remove_learned_order_offset_2021-06-30_20260910,brentq,True,9,,1.1102230246251565e-16,1.4257258568184383e-17,1.3850032232198828e-13
add,add_learned_market_2021-06-30_20260911,L-BFGS-B,True,79,7.021880482627196e-08,1.4432899320127035e-15,4.627550293585976e-09,
add,add_learned_vol_interaction_2021-06-30_20260911,L-BFGS-B,True,80,1.0836566805005887e-07,4.773959005888173e-15,7.2618482741849955e-09,
add,add_learned_order_extension_2021-06-30_20260911,L-BFGS-B,True,79,7.148686792524117e-08,3.1086244689504383e-15,7.777253282570742e-09,
add,add_learned_order_offset_2021-06-30_20260911,brentq,True,11,,0.0,1.5178830414797062e-18,2.7755575615628914e-17
