cutoff,role,n,mature
2020-12-31,annual,1212,True
2020-12-31,added,0,True
2020-12-31,removed,0,True
2020-12-31,retained,1212,True
2020-12-31,both,1212,True
2021-03-31,annual,1212,True
2021-03-31,added,58,True
2021-03-31,removed,59,True
2021-03-31,retained,1153,True
2021-03-31,both,1211,True
2021-06-30,annual,1212,True
2021-06-30,added,118,True
2021-06-30,removed,120,True
2021-06-30,retained,1092,True
2021-06-30,both,1210,True
2021-09-30,annual,1212,True
2021-09-30,added,182,True
2021-09-30,removed,184,True
2021-09-30,retained,1028,True
2021-09-30,both,1210,True
2021-12-31,annual,1211,True
2021-12-31,added,0,True
2021-12-31,removed,0,True
2021-12-31,retained,1211,True
2021-12-31,both,1211,True
2022-03-31,annual,1211,True
2022-03-31,added,58,True
2022-03-31,removed,59,True
2022-03-31,retained,1152,True
2022-03-31,both,1210,True
2022-06-30,annual,1211,True
2022-06-30,added,117,True
2022-06-30,removed,119,True
2022-06-30,retained,1092,True
2022-06-30,both,1209,True
2022-09-30,annual,1211,True
2022-09-30,added,182,True
2022-09-30,removed,184,True
2022-09-30,retained,1027,True
2022-09-30,both,1209,True
2022-12-31,annual,1209,True
2022-12-31,added,0,True
2022-12-31,removed,0,True
2022-12-31,retained,1209,True
2022-12-31,both,1209,True
2023-03-31,annual,1209,True
2023-03-31,added,59,True
2023-03-31,removed,59,True
2023-03-31,retained,1150,True
2023-03-31,both,1209,True
2023-06-30,annual,1209,True
2023-06-30,added,118,True
2023-06-30,removed,119,True
2023-06-30,retained,1090,True
2023-06-30,both,1208,True
2023-09-30,annual,1209,True
2023-09-30,added,182,True
2023-09-30,removed,183,True
2023-09-30,retained,1026,True
2023-09-30,both,1208,True
2023-12-31,annual,1208,True
2023-12-31,added,0,True
2023-12-31,removed,0,True
2023-12-31,retained,1208,True
2023-12-31,both,1208,True
2024-03-31,annual,1208,True
2024-03-31,added,58,True
2024-03-31,removed,58,True
2024-03-31,retained,1150,True
2024-03-31,both,1208,True
2024-06-30,annual,1208,True
2024-06-30,added,117,True
2024-06-30,removed,118,True
2024-06-30,retained,1090,True
2024-06-30,both,1207,True
2024-09-30,annual,1208,True
2024-09-30,added,181,True
2024-09-30,removed,183,True
2024-09-30,retained,1025,True
2024-09-30,both,1206,True
2024-12-31,annual,1206,True
2024-12-31,added,0,True
2024-12-31,removed,0,True
2024-12-31,retained,1206,True
2024-12-31,both,1206,True
2025-03-31,annual,1206,True
2025-03-31,added,57,True
2025-03-31,removed,58,True
2025-03-31,retained,1148,True
2025-03-31,both,1205,True
2025-06-30,annual,1206,True
2025-06-30,added,117,True
2025-06-30,removed,117,True
2025-06-30,retained,1089,True
2025-06-30,both,1206,True
2025-09-30,annual,1206,True
2025-09-30,added,183,True
2025-09-30,removed,183,True
2025-09-30,retained,1023,True
2025-09-30,both,1206,True
2025-12-31,annual,1206,True
2025-12-31,added,0,True
2025-12-31,removed,0,True
2025-12-31,retained,1206,True
2025-12-31,both,1206,True
2026-03-31,annual,1206,True
2026-03-31,added,56,True
2026-03-31,removed,58,True
2026-03-31,retained,1148,True
2026-03-31,both,1204,True
2026-06-30,annual,1206,True
2026-06-30,added,116,True
2026-06-30,removed,118,True
2026-06-30,retained,1088,True
2026-06-30,both,1204,True
