method,row_index,date,p_annual,p_add,p_remove,p_both,add_without_remove,add_after_remove,remove_without_add,remove_after_add,nonadditive,add_effect,remove_effect,total_delta,actual_up,head_cutoff,encoder_cutoff,year,case,signed_add_without_remove,signed_add_after_remove,signed_remove_without_add,signed_remove_after_add,signed_nonadditive,signed_add_effect,signed_remove_effect,signed_total_delta,dominant_adverse,state,trend60,volatility20,range20,volume_change20,order60,market5_outside_any,market5_outside_fraction,market5_mean_squared_raw_z,outside_trend60,outside_volatility20,outside_range20,outside_volume_change20,outside_order60,decoded25_outside_any,decoded25_outside_fraction,decoded25_mean_squared_raw_z,annual_state_n,added_state_n,annual_state_up_rate,added_state_up_rate,conditional_up_rate_delta,training_support
learned_market,3744,2026-07-03,0.48961299180420353,0.5185200499238659,0.5012973625607589,0.534278680631713,0.028907058119662394,0.03298131807095417,0.011684370756555318,0.015758630707847093,0.004074259951291774,0.030944188095308283,0.013721500732201205,0.04466568882750949,0,2026-06-30,2025-12-31,2026,regression,-0.028907058119662394,-0.03298131807095417,-0.011684370756555318,-0.015758630707847093,-0.004074259951291774,-0.030944188095308283,-0.013721500732201205,-0.04466568882750949,add,nonnegative_high,0.8706175391180415,0.017096213538966246,0.018606010477766156,0.12832624597486486,-0.24180790960451976,0.0,0.0,1.6069490835168896,0,0,0,0,0,0.0,0.0,0.7031350647512579,269,36,0.46096654275092935,0.6944444444444444,0.23347790169351507,True
learned_market,3759,2026-07-24,0.4855896136257898,0.5417383750812649,0.47619312760068944,0.5504630694990905,0.05614876145547506,0.07426994189840108,-0.009396486025100348,0.008724694417825677,0.018121180442926026,0.06520935167693807,-0.00033589580363733534,0.06487345587330073,0,2026-06-30,2025-12-31,2026,regression,-0.05614876145547506,-0.07426994189840108,0.009396486025100348,-0.008724694417825677,-0.018121180442926026,-0.06520935167693807,0.00033589580363733534,-0.06487345587330073,add,negative_high,-0.22440091577945837,0.017636511642160495,0.021059004095614942,-0.4330640039258924,-0.207909604519774,0.0,0.0,1.9815811394984668,0,0,0,0,0,0.6666666666666666,0.04,1.1253065927135513,334,19,0.5419161676646707,0.8947368421052632,0.3528206744405925,False
learned_market,3769,2026-08-07,0.44995772150638885,0.5034539864829813,0.4384450849039216,0.5078856812645399,0.05349626497659249,0.06944059636061829,-0.011512636602467282,0.004431694781558526,0.015944331384025807,0.06146843066860539,-0.0035404709104543777,0.057927959758151015,0,2026-06-30,2025-12-31,2026,regression,-0.05349626497659249,-0.06944059636061829,0.011512636602467282,-0.004431694781558526,-0.015944331384025807,-0.06146843066860539,0.0035404709104543777,-0.057927959758151015,add,negative_high,-0.388866161328213,0.01672991524509603,0.019892664494738987,-0.24069133561876654,-0.23841807909604518,0.0,0.0,1.6314021614238539,0,0,0,0,0,0.0,0.0,0.8535116923222258,334,19,0.5419161676646707,0.8947368421052632,0.3528206744405925,False
learned_market,3774,2026-08-14,0.48837964453678734,0.5505859232874339,0.48226101764587126,0.5589591274773172,0.062206278750646625,0.07669810983144594,-0.0061186268909160235,0.008373204189883299,0.014491831080799322,0.06945219429104628,0.0011272886494836376,0.07057948294052992,0,2026-06-30,2025-12-31,2026,regression,-0.062206278750646625,-0.07669810983144594,0.0061186268909160235,-0.008373204189883299,-0.014491831080799322,-0.06945219429104628,-0.0011272886494836376,-0.07057948294052992,add,negative_high,-0.21211747058002411,0.012706389154050356,0.016496641750697004,-0.5283102900972274,-0.27231638418079096,0.0,0.0,1.578548970670186,0,0,0,0,0,0.3333333333333333,0.05333333333333334,1.3153115873027712,334,19,0.5419161676646707,0.8947368421052632,0.3528206744405925,False
learned_order_extension,3705,2026-05-08,0.49801198787078843,0.47940487674835125,0.5234111683479897,0.5021533775120163,-0.018607111122437108,-0.021257790835973345,0.025399180477201282,0.022748500763665042,-0.002650679713536238,-0.019932450979205225,0.024073840620433162,0.004141389641227937,0,2026-03-31,2025-12-31,2026,regression,0.018607111122437108,0.021257790835973345,-0.025399180477201282,-0.022748500763665042,0.002650679713536238,0.019932450979205225,-0.024073840620433162,-0.004141389641227937,remove,nonnegative_high,0.4157059156995492,0.00947428349126182,0.010142449111884133,0.43678960214992557,-0.2711864406779661,0.0,0.0,1.422790972685847,0,0,0,0,0,0.3333333333333333,0.02666666666666667,1.123528076432491,269,5,0.46096654275092935,1.0,0.5390334572490707,False
learned_order_extension,3715,2026-05-22,0.5050517409494192,0.4843012805018974,0.5156024113925631,0.49080932836323327,-0.02075046044752175,-0.024793083029329883,0.010550670443143895,0.00650804786133576,-0.004042622581808116,-0.022771771738425817,0.008529359152239827,-0.01424241258618599,1,2026-03-31,2025-12-31,2026,regression,-0.02075046044752175,-0.024793083029329883,0.010550670443143895,0.00650804786133576,-0.004042622581808116,-0.022771771738425817,0.008529359152239827,-0.01424241258618599,add,nonnegative_low,0.4666920178391834,0.009028390404603669,0.013340532724947174,0.3332737425571395,-0.27231638418079096,0.0,0.0,1.1631893397804256,0,0,0,0,0,0.0,0.0,0.45544696351379305,250,44,0.516,0.3409090909090909,-0.17509090909090913,True
learned_order_extension,3744,2026-07-03,0.49019228952696475,0.5537155508023205,0.5148029867136318,0.5814474209380495,0.06352326127535578,0.06664443422441761,0.02461069718666703,0.027731870135728864,0.0031211729490618345,0.0650838477498867,0.026171283661197947,0.09125513141108464,0,2026-06-30,2025-12-31,2026,regression,-0.06352326127535578,-0.06664443422441761,-0.02461069718666703,-0.027731870135728864,-0.0031211729490618345,-0.0650838477498867,-0.026171283661197947,-0.09125513141108464,add,nonnegative_high,0.8706175391180415,0.017096213538966246,0.018606010477766156,0.12832624597486486,-0.24180790960451976,0.0,0.0,1.6069490835168896,0,0,0,0,0,0.0,0.0,0.7031350647512579,269,36,0.46096654275092935,0.6944444444444444,0.23347790169351507,True
learned_order_extension,3749,2026-07-10,0.4838752558028981,0.5437663492314114,0.5094401153828834,0.5757978224530517,0.05989109342851329,0.06635770707016826,0.02556485957998526,0.03203147322164024,0.0064666136416549795,0.06312440024934078,0.028798166400812748,0.09192256665015353,0,2026-06-30,2025-12-31,2026,regression,-0.05989109342851329,-0.06635770707016826,-0.02556485957998526,-0.03203147322164024,-0.0064666136416549795,-0.06312440024934078,-0.028798166400812748,-0.09192256665015353,add,nonnegative_high,0.2897469379366133,0.01693815241542229,0.019191047545156614,0.20735126332714415,-0.23728813559322032,0.0,0.0,1.531073031338757,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.9444315751208636,269,36,0.46096654275092935,0.6944444444444444,0.23347790169351507,True
learned_order_extension,3759,2026-07-24,0.486574276555423,0.557080033116007,0.4826602769932064,0.5707855771407592,0.070505756560584,0.08812530014755282,-0.003913999562216571,0.01370554402475225,0.017619543586968822,0.07931552835406841,0.0048957722312678404,0.08421130058533625,0,2026-06-30,2025-12-31,2026,regression,-0.070505756560584,-0.08812530014755282,0.003913999562216571,-0.01370554402475225,-0.017619543586968822,-0.07931552835406841,-0.0048957722312678404,-0.08421130058533625,add,negative_high,-0.22440091577945837,0.017636511642160495,0.021059004095614942,-0.4330640039258924,-0.207909604519774,0.0,0.0,1.9815811394984668,0,0,0,0,0,0.6666666666666666,0.04,1.1253065927135513,334,19,0.5419161676646707,0.8947368421052632,0.3528206744405925,False
learned_order_extension,3769,2026-08-07,0.4240773181549858,0.5082662901274569,0.42772757245769016,0.5282070763250396,0.08418897197247104,0.10047950386734938,0.0036502543027043624,0.019940786197582716,0.016290531894878352,0.0923342379199102,0.01179552025014354,0.10412975817005375,0,2026-06-30,2025-12-31,2026,regression,-0.08418897197247104,-0.10047950386734938,-0.0036502543027043624,-0.019940786197582716,-0.016290531894878352,-0.0923342379199102,-0.01179552025014354,-0.10412975817005375,add,negative_high,-0.388866161328213,0.01672991524509603,0.019892664494738987,-0.24069133561876654,-0.23841807909604518,0.0,0.0,1.6314021614238539,0,0,0,0,0,0.0,0.0,0.8535116923222258,334,19,0.5419161676646707,0.8947368421052632,0.3528206744405925,False
learned_order_extension,3774,2026-08-14,0.47911008879014627,0.5353750742201228,0.4749557445243486,0.5433653158218154,0.056264985429976544,0.06840957129746687,-0.004154344265797731,0.007990241601692594,0.012144585867490324,0.06233727836372171,0.0019179486679474316,0.06425522703166914,0,2026-06-30,2025-12-31,2026,regression,-0.056264985429976544,-0.06840957129746687,0.004154344265797731,-0.007990241601692594,-0.012144585867490324,-0.06233727836372171,-0.0019179486679474316,-0.06425522703166914,add,negative_high,-0.21211747058002411,0.012706389154050356,0.016496641750697004,-0.5283102900972274,-0.27231638418079096,0.0,0.0,1.578548970670186,0,0,0,0,0,0.3333333333333333,0.05333333333333334,1.3153115873027712,334,19,0.5419161676646707,0.8947368421052632,0.3528206744405925,False
learned_order_offset,3705,2026-05-08,0.49762210857388967,0.47915931330237344,0.5225278128745748,0.5013795111573759,-0.018462795271516286,-0.021148301717198892,0.0249057043006851,0.022220197855002493,-0.002685506445682606,-0.01980554849435759,0.023562951077843796,0.003757402583486206,0,2026-03-31,2025-12-31,2026,regression,0.018462795271516286,0.021148301717198892,-0.0249057043006851,-0.022220197855002493,0.002685506445682606,0.01980554849435759,-0.023562951077843796,-0.003757402583486206,remove,nonnegative_high,0.4157059156995492,0.00947428349126182,0.010142449111884133,0.43678960214992557,-0.2711864406779661,0.0,0.0,1.422790972685847,0,0,0,0,0,0.3333333333333333,0.02666666666666667,1.123528076432491,269,5,0.46096654275092935,1.0,0.5390334572490707,False
learned_order_offset,3715,2026-05-22,0.5050438655177666,0.4842542207852063,0.5154787623450173,0.49055945694006137,-0.020789644732560286,-0.024919305404955867,0.01043489682725072,0.006305236154855139,-0.0041296606723956,-0.022854475068758078,0.00837006649105293,-0.014484408577705147,1,2026-03-31,2025-12-31,2026,regression,-0.020789644732560286,-0.024919305404955867,0.01043489682725072,0.006305236154855139,-0.0041296606723956,-0.022854475068758078,0.00837006649105293,-0.014484408577705147,add,nonnegative_low,0.4666920178391834,0.009028390404603669,0.013340532724947174,0.3332737425571395,-0.27231638418079096,0.0,0.0,1.1631893397804256,0,0,0,0,0,0.0,0.0,0.45544696351379305,250,44,0.516,0.3409090909090909,-0.17509090909090913,True
learned_order_offset,3744,2026-07-03,0.4899947842704179,0.5538062556344908,0.5148088443690032,0.5834131298394063,0.06381147136407295,0.06860428547040305,0.02481406009858537,0.02960687420491548,0.004792814106330108,0.066207878417238,0.027210467151750423,0.09341834556898843,0,2026-06-30,2025-12-31,2026,regression,-0.06381147136407295,-0.06860428547040305,-0.02481406009858537,-0.02960687420491548,-0.004792814106330108,-0.066207878417238,-0.027210467151750423,-0.09341834556898843,add,nonnegative_high,0.8706175391180415,0.017096213538966246,0.018606010477766156,0.12832624597486486,-0.24180790960451976,0.0,0.0,1.6069490835168896,0,0,0,0,0,0.0,0.0,0.7031350647512579,269,36,0.46096654275092935,0.6944444444444444,0.23347790169351507,True
learned_order_offset,3749,2026-07-10,0.48332989719207314,0.54278058240684,0.5085512460235876,0.5766364686230562,0.05945068521476682,0.06808522259946849,0.025221348831514518,0.03385588621621619,0.008634537384701676,0.06376795390711766,0.029538617523865357,0.09330657143098302,0,2026-06-30,2025-12-31,2026,regression,-0.05945068521476682,-0.06808522259946849,-0.025221348831514518,-0.03385588621621619,-0.008634537384701676,-0.06376795390711766,-0.029538617523865357,-0.09330657143098302,add,nonnegative_high,0.2897469379366133,0.01693815241542229,0.019191047545156614,0.20735126332714415,-0.23728813559322032,0.0,0.0,1.531073031338757,0,0,0,0,0,0.3333333333333333,0.013333333333333334,0.9444315751208636,269,36,0.46096654275092935,0.6944444444444444,0.23347790169351507,True
learned_order_offset,3759,2026-07-24,0.48604553906921294,0.5565072215870298,0.4825964703695919,0.5735621531004286,0.07046168251781675,0.0909656827308366,-0.0034490686996211015,0.017054931513398763,0.020504000213019864,0.08071368262432667,0.006802931406888831,0.08751661403121551,0,2026-06-30,2025-12-31,2026,regression,-0.07046168251781675,-0.0909656827308366,0.0034490686996211015,-0.017054931513398763,-0.020504000213019864,-0.08071368262432667,-0.006802931406888831,-0.08751661403121551,add,negative_high,-0.22440091577945837,0.017636511642160495,0.021059004095614942,-0.4330640039258924,-0.207909604519774,0.0,0.0,1.9815811394984668,0,0,0,0,0,0.6666666666666666,0.04,1.1253065927135513,334,19,0.5419161676646707,0.8947368421052632,0.3528206744405925,False
learned_order_offset,3769,2026-08-07,0.423905703819994,0.5094720980729958,0.42777327490889044,0.5322778088602489,0.08556639425300178,0.10450453395135846,0.003867571088896441,0.02280571078725313,0.018938139698356688,0.09503546410218011,0.013336640938074787,0.1083721050402549,0,2026-06-30,2025-12-31,2026,regression,-0.08556639425300178,-0.10450453395135846,-0.003867571088896441,-0.02280571078725313,-0.018938139698356688,-0.09503546410218011,-0.013336640938074787,-0.1083721050402549,add,negative_high,-0.388866161328213,0.01672991524509603,0.019892664494738987,-0.24069133561876654,-0.23841807909604518,0.0,0.0,1.6314021614238539,0,0,0,0,0,0.0,0.0,0.8535116923222258,334,19,0.5419161676646707,0.8947368421052632,0.3528206744405925,False
learned_order_offset,3774,2026-08-14,0.4792330760731214,0.5352212773601762,0.47430687507473784,0.5453737526767298,0.055988201287054784,0.07106687760199192,-0.004926200998383552,0.010152475316553574,0.015078676314937126,0.06352753944452334,0.0026131371590850105,0.06614067660360835,0,2026-06-30,2025-12-31,2026,regression,-0.055988201287054784,-0.07106687760199192,0.004926200998383552,-0.010152475316553574,-0.015078676314937126,-0.06352753944452334,-0.0026131371590850105,-0.06614067660360835,add,negative_high,-0.21211747058002411,0.012706389154050356,0.016496641750697004,-0.5283102900972274,-0.27231638418079096,0.0,0.0,1.578548970670186,0,0,0,0,0,0.3333333333333333,0.05333333333333334,1.3153115873027712,334,19,0.5419161676646707,0.8947368421052632,0.3528206744405925,False
learned_vol_interaction,3769,2026-08-07,0.45100630203211517,0.5110554269985634,0.4521981856977315,0.5321562193008322,0.06004912496644823,0.07995803360310079,0.0011918836656162706,0.02110079230226884,0.019908908636652567,0.0700035792847745,0.011146337983942553,0.08114991726871706,0,2026-06-30,2025-12-31,2026,regression,-0.06004912496644823,-0.07995803360310079,-0.0011918836656162706,-0.02110079230226884,-0.019908908636652567,-0.0700035792847745,-0.011146337983942553,-0.08114991726871706,add,negative_high,-0.388866161328213,0.01672991524509603,0.019892664494738987,-0.24069133561876654,-0.23841807909604518,0.0,0.0,1.6314021614238539,0,0,0,0,0,0.0,0.0,0.8535116923222258,334,19,0.5419161676646707,0.8947368421052632,0.3528206744405925,False
learned_vol_interaction,3774,2026-08-14,0.4863994421459692,0.5482132036055747,0.4825415822688485,0.5588266693321708,0.06181376145960545,0.07628508706332232,-0.003857859877120673,0.010613465726596197,0.01447132560371687,0.06904942426146389,0.0033778029247377626,0.07242722718620165,0,2026-06-30,2025-12-31,2026,regression,-0.06181376145960545,-0.07628508706332232,0.003857859877120673,-0.010613465726596197,-0.01447132560371687,-0.06904942426146389,-0.0033778029247377626,-0.07242722718620165,add,negative_high,-0.21211747058002411,0.012706389154050356,0.016496641750697004,-0.5283102900972274,-0.27231638418079096,0.0,0.0,1.578548970670186,0,0,0,0,0,0.3333333333333333,0.05333333333333334,1.3153115873027712,334,19,0.5419161676646707,0.8947368421052632,0.3528206744405925,False
