period,state,arm,history,method,seed,supported,n,accuracy,direction_error,correct_directions,balanced_accuracy,predicted_up_fraction,observed_up_fraction,tp,tn,fp,fn,auroc,brier,log_loss,mean_probability,probability_std,calibration_gap,clipped_probabilities
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_market,20260910,True,49,0.46938775510204084,0.5306122448979592,23,0.5087719298245614,0.673469387755102,0.3877551020408163,13,10,20,6,0.5333333333333333,0.27842846772263047,0.7553299064213961,0.5566189360657228,0.13926636218105393,0.16886383402490646,0.0
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_market,20260911,True,49,0.42857142857142855,0.5714285714285714,21,0.4464912280701754,0.5918367346938775,0.3877551020408163,10,11,19,9,0.5456140350877193,0.28271113124686764,0.7670194255678109,0.5770464117765902,0.15030211291458853,0.1892913097357739,0.0
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_market,20260912,True,49,0.46938775510204084,0.5306122448979592,23,0.47017543859649125,0.5102040816326531,0.3877551020408163,9,14,16,10,0.46842105263157896,0.29286637050070236,0.7899620460526828,0.517731570181477,0.16258572820558487,0.12997646814066066,0.0
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_vol_interaction,20260910,True,49,0.46938775510204084,0.5306122448979592,23,0.5087719298245614,0.673469387755102,0.3877551020408163,13,10,20,6,0.5526315789473685,0.2833553074144759,0.7680542203366391,0.5672026204864957,0.15526904524975765,0.1794475184456794,0.0
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_vol_interaction,20260911,True,49,0.4489795918367347,0.5510204081632653,22,0.4921052631578947,0.6938775510204082,0.3877551020408163,13,9,21,6,0.5491228070175439,0.2794515435285751,0.7593054769364221,0.5827786744730049,0.1351191174515663,0.1950235724321886,0.0
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_vol_interaction,20260912,True,49,0.46938775510204084,0.5306122448979592,23,0.47017543859649125,0.5102040816326531,0.3877551020408163,9,14,16,10,0.45789473684210524,0.29714401738779767,0.8005225908642216,0.5158852771796107,0.17080109704668242,0.12813017513879443,0.0
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_order_extension,20260910,True,49,0.4489795918367347,0.5510204081632653,22,0.4921052631578947,0.6938775510204082,0.3877551020408163,13,9,21,6,0.5719298245614035,0.27377195116238545,0.7483456016255904,0.5688247220771937,0.146434384807227,0.1810696200363774,0.0
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_order_extension,20260911,True,49,0.46938775510204084,0.5306122448979592,23,0.5087719298245614,0.673469387755102,0.3877551020408163,13,10,20,6,0.5491228070175439,0.28547589354488667,0.7773080884013244,0.5960007530286022,0.15064319784017033,0.2082456509877859,0.0
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_order_extension,20260912,True,49,0.46938775510204084,0.5306122448979592,23,0.4605263157894737,0.46938775510204084,0.3877551020408163,8,15,15,11,0.46842105263157896,0.28241396271308217,0.7635663113827591,0.5144886774885388,0.1421626797003971,0.12673357544772246,0.0
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_order_offset,20260910,True,49,0.4489795918367347,0.5510204081632653,22,0.4921052631578947,0.6938775510204082,0.3877551020408163,13,9,21,6,0.5684210526315789,0.2738490501743395,0.7485155892278896,0.5690137179515826,0.14602999214289225,0.1812586159107663,0.0
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_order_offset,20260911,True,49,0.46938775510204084,0.5306122448979592,23,0.5087719298245614,0.673469387755102,0.3877551020408163,13,10,20,6,0.5491228070175439,0.28531492902629546,0.7768131707424022,0.5956664298006891,0.1503388379548594,0.20791132775987275,0.0
extension_2021_2023,negative_low,annual,rolling5_annual20,learned_order_offset,20260912,True,49,0.46938775510204084,0.5306122448979592,23,0.4605263157894737,0.46938775510204084,0.3877551020408163,8,15,15,11,0.47017543859649125,0.28181828511299234,0.7622261528472877,0.5157570764850677,0.13991076735557545,0.12800197444425143,0.0
extension_2021_2023,negative_low,add,fixed_transform_add_only,learned_market,20260910,True,49,0.42857142857142855,0.5714285714285714,21,0.46578947368421053,0.673469387755102,0.3877551020408163,12,9,21,7,0.5385964912280702,0.27625569628240143,0.7482377895623353,0.5597436508546463,0.12019848050784783,0.17198854881382997,0.0
extension_2021_2023,negative_low,add,fixed_transform_add_only,learned_market,20260911,True,49,0.3877551020408163,0.6122448979591837,19,0.42280701754385963,0.673469387755102,0.3877551020408163,11,8,22,8,0.5350877192982456,0.2762995577028014,0.7502624160484748,0.5739611948120559,0.12980106274034686,0.18620609277123956,0.0
extension_2021_2023,negative_low,add,fixed_transform_add_only,learned_market,20260912,True,49,0.40816326530612246,0.5918367346938775,20,0.4105263157894737,0.5306122448979592,0.3877551020408163,8,12,18,11,0.443859649122807,0.2900156640760166,0.7811672145439195,0.5277144132879975,0.13240925295183453,0.1399593112471812,0.0
extension_2021_2023,negative_low,add,fixed_transform_add_only,learned_vol_interaction,20260910,True,49,0.4489795918367347,0.5510204081632653,22,0.48245614035087714,0.6530612244897959,0.3877551020408163,12,10,20,7,0.5526315789473685,0.274883178871233,0.746503493907443,0.567645849760198,0.12712718616150784,0.17989074771938174,0.0
extension_2021_2023,negative_low,add,fixed_transform_add_only,learned_vol_interaction,20260911,True,49,0.40816326530612246,0.5918367346938775,20,0.46842105263157896,0.7755102040816326,0.3877551020408163,14,6,24,5,0.5526315789473685,0.27324865449056707,0.7433475078145777,0.5841226598205109,0.11076843789647699,0.1963675577796946,0.0
