period,history,method,n,eligible_weeks,fallback_weeks,recoveries,regressions,mean_signed_probability_change
extension_2021_2023,annual_shared_offset,learned_market,147,72,75,4,8,-0.0011023534548441182
extension_2021_2023,annual_shared_offset,learned_order_extension,147,72,75,6,9,-0.001038904698608501
extension_2021_2023,annual_shared_offset,learned_order_offset,147,72,75,6,9,-0.0010304145741554345
extension_2021_2023,annual_shared_offset,learned_vol_interaction,147,72,75,4,9,-0.001114335139380618
extension_2021_2023,annual_state_offset,learned_market,147,72,75,5,6,0.000740413750247287
extension_2021_2023,annual_state_offset,learned_order_extension,147,72,75,4,7,0.0008255469714131832
extension_2021_2023,annual_state_offset,learned_order_offset,147,72,75,4,7,0.0008435352465092582
extension_2021_2023,annual_state_offset,learned_vol_interaction,147,72,75,3,7,0.0006680888333349413
extension_2021_2023,annual_state_offset_half,learned_market,147,72,75,4,5,0.00032533146418816685
extension_2021_2023,annual_state_offset_half,learned_order_extension,147,72,75,3,6,0.000373624419143945
extension_2021_2023,annual_state_offset_half,learned_order_offset,147,72,75,3,6,0.0003826349623107243
extension_2021_2023,annual_state_offset_half,learned_vol_interaction,147,72,75,3,6,0.0002918351664120383
recent_2024_2026,annual_shared_offset,learned_market,125,31,94,2,0,3.155743565765601e-05
recent_2024_2026,annual_shared_offset,learned_order_extension,125,31,94,2,2,-0.00014218283118727727
recent_2024_2026,annual_shared_offset,learned_order_offset,125,31,94,2,2,-0.0001417031966410427
recent_2024_2026,annual_shared_offset,learned_vol_interaction,125,31,94,3,1,2.9380028899591348e-05
recent_2024_2026,annual_state_offset,learned_market,125,31,94,3,4,-0.0005659693511222641
recent_2024_2026,annual_state_offset,learned_order_extension,125,31,94,4,5,-0.0006669172446855622
recent_2024_2026,annual_state_offset,learned_order_offset,125,31,94,4,5,-0.0006593888322971968
recent_2024_2026,annual_state_offset,learned_vol_interaction,125,31,94,4,4,-0.0005805953180704084
recent_2024_2026,annual_state_offset_half,learned_market,125,31,94,1,2,-0.0002620120510281003
recent_2024_2026,annual_state_offset_half,learned_order_extension,125,31,94,2,4,-0.00030765752390410394
recent_2024_2026,annual_state_offset_half,learned_order_offset,125,31,94,2,4,-0.00030388097869395603
recent_2024_2026,annual_state_offset_half,learned_vol_interaction,125,31,94,2,2,-0.00026847074847335993
pooled_2021_2026,annual_shared_offset,learned_market,272,103,169,6,8,-0.0005812547000179351
pooled_2021_2026,annual_shared_offset,learned_order_extension,272,103,169,8,11,-0.0006268082521833062
pooled_2021_2026,annual_shared_offset,learned_order_offset,272,103,169,8,11,-0.0006219994190477176
pooled_2021_2026,annual_shared_offset,learned_vol_interaction,272,103,169,7,10,-0.0005887307421930219
pooled_2021_2026,annual_state_offset,learned_market,272,103,169,8,10,0.00014005386910319185
pooled_2021_2026,annual_state_offset,learned_order_extension,272,103,169,8,12,0.00013967187210309797
pooled_2021_2026,annual_state_offset,learned_order_offset,272,103,169,8,12,0.00015285322499893877
pooled_2021_2026,annual_state_offset,learned_vol_interaction,272,103,169,7,11,9.42450137552769e-05
pooled_2021_2026,annual_state_offset_half,learned_market,272,103,169,5,7,5.541256932774996e-05
pooled_2021_2026,annual_state_offset_half,learned_order_extension,272,103,169,5,10,6.0535290904951924e-05
pooled_2021_2026,annual_state_offset_half,learned_order_offset,272,103,169,5,10,6.714050412842635e-05
pooled_2021_2026,annual_state_offset_half,learned_vol_interaction,272,103,169,5,8,3.4341639350733945e-05
year_2021,annual_shared_offset,learned_market,50,19,31,0,2,0.0016067285370793304
year_2021,annual_shared_offset,learned_order_extension,50,19,31,0,2,0.001431796991973352
year_2021,annual_shared_offset,learned_order_offset,50,19,31,0,2,0.0014323769941654997
year_2021,annual_shared_offset,learned_vol_interaction,50,19,31,0,2,0.0015884766236398196
year_2021,annual_state_offset,learned_market,50,19,31,0,0,0.004041989371367842
year_2021,annual_state_offset,learned_order_extension,50,19,31,0,0,0.003673937698681141
year_2021,annual_state_offset,learned_order_offset,50,19,31,0,0,0.00367984811545353
year_2021,annual_state_offset,learned_vol_interaction,50,19,31,0,0,0.0037600174573616998
year_2021,annual_state_offset_half,learned_market,50,19,31,0,0,0.0020313268875913793
year_2021,annual_state_offset_half,learned_order_extension,50,19,31,0,0,0.0018477985884134485
year_2021,annual_state_offset_half,learned_order_offset,50,19,31,0,0,0.0018507029506991978
year_2021,annual_state_offset_half,learned_vol_interaction,50,19,31,0,0,0.0018900330074504812
year_2022,annual_shared_offset,learned_market,49,27,22,4,5,0.0010598298982679563
year_2022,annual_shared_offset,learned_order_extension,49,27,22,4,6,0.0013243298232766697
