history,method,row_index,date,year,head_cutoff,encoder_cutoff,state,new_state_n,eligible,actual_up,annual_probability,probability,probability_change,signed_probability_change,annual_correct,correct,case
annual_state_offset,learned_market,3744,2026-07-03,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.48961299180420353,0.5599133054675555,0.07030031366335193,-0.07030031366335193,True,False,regression
annual_state_offset,learned_order_extension,3715,2026-05-22,2026,2026-03-31,2025-12-31,nonnegative_low,44,True,1,0.5050517409494192,0.4517603673458308,-0.05329137360358838,-0.05329137360358838,True,False,regression
annual_state_offset,learned_order_extension,3744,2026-07-03,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.49019228952696475,0.5635208215843311,0.07332853205736639,-0.07332853205736639,True,False,regression
annual_state_offset,learned_order_extension,3749,2026-07-10,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.4838752558028981,0.556067729480895,0.07219247367799692,-0.07219247367799692,True,False,regression
annual_state_offset,learned_order_offset,3715,2026-05-22,2026,2026-03-31,2025-12-31,nonnegative_low,44,True,1,0.5050438655177666,0.4517821912890725,-0.0532616742286941,-0.0532616742286941,True,False,regression
annual_state_offset,learned_order_offset,3744,2026-07-03,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.4899947842704179,0.5633478816466048,0.07335309737618684,-0.07335309737618684,True,False,regression
annual_state_offset,learned_order_offset,3749,2026-07-10,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.48332989719207314,0.555566181897673,0.0722362847055999,-0.0722362847055999,True,False,regression
annual_shared_offset,learned_order_extension,3715,2026-05-22,2026,2026-03-31,2025-12-31,nonnegative_low,44,True,1,0.5050517409494192,0.4517603673458308,-0.05329137360358838,-0.05329137360358838,True,False,regression
annual_shared_offset,learned_order_extension,3744,2026-07-03,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.49019228952696475,0.5019543300719196,0.011762040544954833,-0.011762040544954833,True,False,regression
annual_shared_offset,learned_order_offset,3715,2026-05-22,2026,2026-03-31,2025-12-31,nonnegative_low,44,True,1,0.5050438655177666,0.4517821912890725,-0.0532616742286941,-0.0532616742286941,True,False,regression
annual_shared_offset,learned_order_offset,3744,2026-07-03,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.4899947842704179,0.5017998017610201,0.011805017490602199,-0.011805017490602199,True,False,regression
annual_state_offset_half,learned_market,3744,2026-07-03,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.48961299180420353,0.5248812603247849,0.03526826852058135,-0.03526826852058135,True,False,regression
annual_state_offset_half,learned_order_extension,3715,2026-05-22,2026,2026-03-31,2025-12-31,nonnegative_low,44,True,1,0.5050517409494192,0.4783680558455832,-0.026683685103836008,-0.026683685103836008,True,False,regression
annual_state_offset_half,learned_order_extension,3744,2026-07-03,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.49019228952696475,0.5269699780686039,0.03677768854163915,-0.03677768854163915,True,False,regression
annual_state_offset_half,learned_order_extension,3749,2026-07-10,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.4838752558028981,0.5199868364400076,0.036111580637109564,-0.036111580637109564,True,False,regression
annual_state_offset_half,learned_order_offset,3715,2026-05-22,2026,2026-03-31,2025-12-31,nonnegative_low,44,True,1,0.5050438655177666,0.4783753343978873,-0.02666853111987927,-0.02666853111987927,True,False,regression
annual_state_offset_half,learned_order_offset,3744,2026-07-03,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.4899947842704179,0.5267847052104963,0.036789920940078324,-0.036789920940078324,True,False,regression
annual_state_offset_half,learned_order_offset,3749,2026-07-10,2026,2026-06-30,2025-12-31,nonnegative_high,36,True,0,0.48332989719207314,0.5194622690225641,0.03613237183049095,-0.03613237183049095,True,False,regression
