cutoff,seed,method,state,kind,coefficient_gap
2021-03-31,20260910,learned_market,nonnegative_high,state,1.6653345369377348e-15
2021-03-31,20260910,learned_market,eligible_shared,global,1.6653345369377348e-15
2021-03-31,20260910,learned_vol_interaction,nonnegative_high,state,1.8318679906315083e-15
2021-03-31,20260910,learned_vol_interaction,eligible_shared,global,1.8318679906315083e-15
2021-03-31,20260910,learned_order_extension,nonnegative_high,state,1.970645868709653e-15
2021-03-31,20260910,learned_order_extension,eligible_shared,global,1.970645868709653e-15
2021-03-31,20260910,learned_order_offset,nonnegative_high,state,1.887379141862766e-15
2021-03-31,20260910,learned_order_offset,eligible_shared,global,1.887379141862766e-15
2021-03-31,20260911,learned_market,nonnegative_high,state,2.4980018054066022e-15
2021-03-31,20260911,learned_market,eligible_shared,global,2.4980018054066022e-15
2021-03-31,20260911,learned_vol_interaction,nonnegative_high,state,2.1649348980190553e-15
2021-03-31,20260911,learned_vol_interaction,eligible_shared,global,2.1649348980190553e-15
2021-03-31,20260911,learned_order_extension,nonnegative_high,state,1.7208456881689926e-15
2021-03-31,20260911,learned_order_extension,eligible_shared,global,1.7208456881689926e-15
2021-03-31,20260911,learned_order_offset,nonnegative_high,state,1.6375789613221059e-15
2021-03-31,20260911,learned_order_offset,eligible_shared,global,1.6375789613221059e-15
2021-03-31,20260912,learned_market,nonnegative_high,state,1.2490009027033011e-15
2021-03-31,20260912,learned_market,eligible_shared,global,1.2490009027033011e-15
2021-03-31,20260912,learned_vol_interaction,nonnegative_high,state,1.1379786002407855e-15
2021-03-31,20260912,learned_vol_interaction,eligible_shared,global,1.1379786002407855e-15
2021-03-31,20260912,learned_order_extension,nonnegative_high,state,1.0547118733938987e-15
2021-03-31,20260912,learned_order_extension,eligible_shared,global,1.0547118733938987e-15
2021-03-31,20260912,learned_order_offset,nonnegative_high,state,1.1102230246251565e-15
2021-03-31,20260912,learned_order_offset,eligible_shared,global,1.1102230246251565e-15
2021-06-30,20260910,learned_market,negative_high,state,1.214306433183765e-17
2021-06-30,20260910,learned_market,nonnegative_high,state,1.0547118733938987e-15
2021-06-30,20260910,learned_market,eligible_shared,global,0.0
2021-06-30,20260910,learned_vol_interaction,negative_high,state,1.734723475976807e-17
2021-06-30,20260910,learned_vol_interaction,nonnegative_high,state,1.609823385706477e-15
2021-06-30,20260910,learned_vol_interaction,eligible_shared,global,5.551115123125783e-17
2021-06-30,20260910,learned_order_extension,negative_high,state,3.469446951953614e-17
2021-06-30,20260910,learned_order_extension,nonnegative_high,state,2.0539125955565396e-15
2021-06-30,20260910,learned_order_extension,eligible_shared,global,0.0
2021-06-30,20260910,learned_order_offset,negative_high,state,1.0408340855860843e-17
2021-06-30,20260910,learned_order_offset,nonnegative_high,state,2.1094237467877974e-15
2021-06-30,20260910,learned_order_offset,eligible_shared,global,0.0
2021-06-30,20260911,learned_market,negative_high,state,9.71445146547012e-17
2021-06-30,20260911,learned_market,nonnegative_high,state,2.7755575615628914e-17
2021-06-30,20260911,learned_market,eligible_shared,global,3.469446951953614e-17
2021-06-30,20260911,learned_vol_interaction,negative_high,state,9.71445146547012e-17
2021-06-30,20260911,learned_vol_interaction,nonnegative_high,state,2.7755575615628914e-17
2021-06-30,20260911,learned_vol_interaction,eligible_shared,global,7.632783294297951e-17
2021-06-30,20260911,learned_order_extension,negative_high,state,2.7755575615628914e-17
2021-06-30,20260911,learned_order_extension,nonnegative_high,state,0.0
2021-06-30,20260911,learned_order_extension,eligible_shared,global,7.632783294297951e-17
2021-06-30,20260911,learned_order_offset,negative_high,state,2.7755575615628914e-17
2021-06-30,20260911,learned_order_offset,nonnegative_high,state,0.0
2021-06-30,20260911,learned_order_offset,eligible_shared,global,8.326672684688674e-17
2021-06-30,20260912,learned_market,negative_high,state,1.4155343563970746e-15
2021-06-30,20260912,learned_market,nonnegative_high,state,1.4432899320127035e-15
2021-06-30,20260912,learned_market,eligible_shared,global,1.3877787807814457e-17
2021-06-30,20260912,learned_vol_interaction,negative_high,state,1.3461454173580023e-15
2021-06-30,20260912,learned_vol_interaction,nonnegative_high,state,1.27675647831893e-15
2021-06-30,20260912,learned_vol_interaction,eligible_shared,global,0.0
2021-06-30,20260912,learned_order_extension,negative_high,state,1.4641066137244252e-15
2021-06-30,20260912,learned_order_extension,nonnegative_high,state,1.27675647831893e-15
2021-06-30,20260912,learned_order_extension,eligible_shared,global,0.0
2021-06-30,20260912,learned_order_offset,negative_high,state,1.5057399771478686e-15
2021-06-30,20260912,learned_order_offset,nonnegative_high,state,1.3322676295501878e-15
2021-06-30,20260912,learned_order_offset,eligible_shared,global,1.3877787807814457e-17
2021-09-30,20260910,learned_market,negative_high,state,1.3877787807814457e-17
2021-09-30,20260910,learned_market,nonnegative_low,state,0.0
2021-09-30,20260910,learned_market,nonnegative_high,state,3.219646771412954e-15
2021-09-30,20260910,learned_market,eligible_shared,global,1.3877787807814457e-17
2021-09-30,20260910,learned_vol_interaction,negative_high,state,1.3877787807814457e-17
2021-09-30,20260910,learned_vol_interaction,nonnegative_low,state,2.7755575615628914e-17
2021-09-30,20260910,learned_vol_interaction,nonnegative_high,state,5.551115123125783e-17
2021-09-30,20260910,learned_vol_interaction,eligible_shared,global,1.3877787807814457e-17
2021-09-30,20260910,learned_order_extension,negative_high,state,4.163336342344337e-17
2021-09-30,20260910,learned_order_extension,nonnegative_low,state,2.7755575615628914e-17
2021-09-30,20260910,learned_order_extension,nonnegative_high,state,5.551115123125783e-17
2021-09-30,20260910,learned_order_extension,eligible_shared,global,0.0
2021-09-30,20260910,learned_order_offset,negative_high,state,2.7755575615628914e-17
2021-09-30,20260910,learned_order_offset,nonnegative_low,state,0.0
2021-09-30,20260910,learned_order_offset,nonnegative_high,state,5.551115123125783e-17
2021-09-30,20260910,learned_order_offset,eligible_shared,global,1.3877787807814457e-17
2021-09-30,20260911,learned_market,negative_high,state,0.0
2021-09-30,20260911,learned_market,nonnegative_low,state,2.7755575615628914e-17
2021-09-30,20260911,learned_market,nonnegative_high,state,5.551115123125783e-17
2021-09-30,20260911,learned_market,eligible_shared,global,1.3877787807814457e-17
2021-09-30,20260911,learned_vol_interaction,negative_high,state,5.551115123125783e-17
2021-09-30,20260911,learned_vol_interaction,nonnegative_low,state,5.551115123125783e-17
2021-09-30,20260911,learned_vol_interaction,nonnegative_high,state,5.551115123125783e-17
2021-09-30,20260911,learned_vol_interaction,eligible_shared,global,0.0
2021-09-30,20260911,learned_order_extension,negative_high,state,2.7755575615628914e-17
2021-09-30,20260911,learned_order_extension,nonnegative_low,state,0.0
2021-09-30,20260911,learned_order_extension,nonnegative_high,state,0.0
2021-09-30,20260911,learned_order_extension,eligible_shared,global,1.3877787807814457e-17
2021-09-30,20260911,learned_order_offset,negative_high,state,0.0
2021-09-30,20260911,learned_order_offset,nonnegative_low,state,5.551115123125783e-17
2021-09-30,20260911,learned_order_offset,nonnegative_high,state,5.551115123125783e-17
2021-09-30,20260911,learned_order_offset,eligible_shared,global,4.163336342344337e-17
2021-09-30,20260912,learned_market,negative_high,state,2.7755575615628914e-17
2021-09-30,20260912,learned_market,nonnegative_low,state,2.7755575615628914e-17
2021-09-30,20260912,learned_market,nonnegative_high,state,3.3306690738754696e-16
2021-09-30,20260912,learned_market,eligible_shared,global,0.0
2021-09-30,20260912,learned_vol_interaction,negative_high,state,2.7755575615628914e-17
2021-09-30,20260912,learned_vol_interaction,nonnegative_low,state,0.0
2021-09-30,20260912,learned_vol_interaction,nonnegative_high,state,2.7755575615628914e-16
2021-09-30,20260912,learned_vol_interaction,eligible_shared,global,1.3877787807814457e-17
2021-09-30,20260912,learned_order_extension,negative_high,state,1.3877787807814457e-17
2021-09-30,20260912,learned_order_extension,nonnegative_low,state,2.7755575615628914e-17
2021-09-30,20260912,learned_order_extension,nonnegative_high,state,3.3306690738754696e-16
2021-09-30,20260912,learned_order_extension,eligible_shared,global,0.0
2021-09-30,20260912,learned_order_offset,negative_high,state,2.7755575615628914e-17
2021-09-30,20260912,learned_order_offset,nonnegative_low,state,0.0
2021-09-30,20260912,learned_order_offset,nonnegative_high,state,2.7755575615628914e-16
2021-09-30,20260912,learned_order_offset,eligible_shared,global,1.3877787807814457e-17
2022-03-31,20260910,learned_market,negative_high,state,5.551115123125783e-17
2022-03-31,20260910,learned_market,eligible_shared,global,5.551115123125783e-17
2022-03-31,20260910,learned_vol_interaction,negative_high,state,0.0
2022-03-31,20260910,learned_vol_interaction,eligible_shared,global,0.0
2022-03-31,20260910,learned_order_extension,negative_high,state,0.0
2022-03-31,20260910,learned_order_extension,eligible_shared,global,0.0
2022-03-31,20260910,learned_order_offset,negative_high,state,5.551115123125783e-17
2022-03-31,20260910,learned_order_offset,eligible_shared,global,5.551115123125783e-17
2022-03-31,20260911,learned_market,negative_high,state,0.0
2022-03-31,20260911,learned_market,eligible_shared,global,0.0
2022-03-31,20260911,learned_vol_interaction,negative_high,state,0.0
2022-03-31,20260911,learned_vol_interaction,eligible_shared,global,0.0
2022-03-31,20260911,learned_order_extension,negative_high,state,5.551115123125783e-17
2022-03-31,20260911,learned_order_extension,eligible_shared,global,5.551115123125783e-17
