cutoff,year,method,seed,source,target,source_n,target_n,status,overall_delta,composition,within_state
2020-12-31,2021,learned_market,20260910,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_market,20260910,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_market,20260910,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_market,20260911,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_market,20260911,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_market,20260911,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_market,20260912,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_market,20260912,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_market,20260912,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_market,-1,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_market,-1,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_market,-1,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_vol_interaction,20260910,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_vol_interaction,20260910,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_vol_interaction,20260910,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_vol_interaction,20260911,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_vol_interaction,20260911,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_vol_interaction,20260911,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_vol_interaction,20260912,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_vol_interaction,20260912,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_vol_interaction,20260912,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_vol_interaction,-1,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_vol_interaction,-1,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_vol_interaction,-1,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_extension,20260910,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_order_extension,20260910,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_extension,20260910,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_extension,20260911,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_order_extension,20260911,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_extension,20260911,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_extension,20260912,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_order_extension,20260912,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_extension,20260912,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_extension,-1,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_order_extension,-1,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_extension,-1,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_offset,20260910,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_order_offset,20260910,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_offset,20260910,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_offset,20260911,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_order_offset,20260911,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_offset,20260911,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_offset,20260912,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_order_offset,20260912,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_offset,20260912,daily,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_offset,-1,daily,friday,0,0,empty_source,,,
2020-12-31,2021,learned_order_offset,-1,friday,future,0,11,empty_source,,,
2020-12-31,2021,learned_order_offset,-1,daily,future,0,11,empty_source,,,
2021-03-31,2021,learned_market,20260910,daily,friday,58,11,defined,-0.008154366743886428,0.003240573344035585,-0.01139494008792201
2021-03-31,2021,learned_market,20260910,friday,future,11,13,target_state_absent_in_source,-0.1409516725501563,,
2021-03-31,2021,learned_market,20260910,daily,future,58,13,target_state_absent_in_source,-0.14910603929404276,,
2021-03-31,2021,learned_market,20260911,daily,friday,58,11,defined,0.010704170438506645,0.005598780917713817,0.005105389520792827
2021-03-31,2021,learned_market,20260911,friday,future,11,13,target_state_absent_in_source,-0.15093014473062302,,
2021-03-31,2021,learned_market,20260911,daily,future,58,13,target_state_absent_in_source,-0.1402259742921164,,
2021-03-31,2021,learned_market,20260912,daily,friday,58,11,defined,-0.013005092692155749,0.0014030669599834932,-0.014408159652139242
2021-03-31,2021,learned_market,20260912,friday,future,11,13,target_state_absent_in_source,-0.11900838944478384,,
2021-03-31,2021,learned_market,20260912,daily,future,58,13,target_state_absent_in_source,-0.13201348213693959,,
2021-03-31,2021,learned_market,-1,daily,friday,58,11,defined,-0.003485096332511881,0.003414140407244296,-0.006899236739756162
2021-03-31,2021,learned_market,-1,friday,future,11,13,target_state_absent_in_source,-0.13696340224185435,,
2021-03-31,2021,learned_market,-1,daily,future,58,13,target_state_absent_in_source,-0.14044849857436623,,
2021-03-31,2021,learned_vol_interaction,20260910,daily,friday,58,11,defined,-0.008700997279740552,0.003628171239190216,-0.012329168518930782
2021-03-31,2021,learned_vol_interaction,20260910,friday,future,11,13,target_state_absent_in_source,-0.1460309942944575,,
2021-03-31,2021,learned_vol_interaction,20260910,daily,future,58,13,target_state_absent_in_source,-0.15473199157419806,,
2021-03-31,2021,learned_vol_interaction,20260911,daily,friday,58,11,defined,0.012114575777652343,0.00584552876347093,0.006269047014181406
2021-03-31,2021,learned_vol_interaction,20260911,friday,future,11,13,target_state_absent_in_source,-0.15831001277538131,,
2021-03-31,2021,learned_vol_interaction,20260911,daily,future,58,13,target_state_absent_in_source,-0.14619543699772897,,
2021-03-31,2021,learned_vol_interaction,20260912,daily,friday,58,11,defined,-0.013046904819919963,0.0013555305972422264,-0.014402435417162178
2021-03-31,2021,learned_vol_interaction,20260912,friday,future,11,13,target_state_absent_in_source,-0.11747350998257705,,
2021-03-31,2021,learned_vol_interaction,20260912,daily,future,58,13,target_state_absent_in_source,-0.13052041480249701,,
