cutoff,year,method,seed,state,daily_n,friday_n,future_n,daily_residual,friday_residual,future_residual,daily_friday,daily_future,friday_future,r37_eligible,weekly_count_flag,daily_auroc,friday_auroc,future_auroc
2020-12-31,2021,learned_market,20260910,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,20260910,negative_high,0,0,1,,,0.32169519230953314,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,20260910,nonnegative_low,0,0,1,,,-0.5528369602637446,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,20260910,nonnegative_high,0,0,9,,,-0.014400858030401968,undefined,undefined,undefined,False,False,,,0.7
2020-12-31,2021,learned_market,20260911,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,20260911,negative_high,0,0,1,,,0.46829044208580917,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,20260911,nonnegative_low,0,0,1,,,-0.47359422145655633,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,20260911,nonnegative_high,0,0,9,,,0.030838707032109152,undefined,undefined,undefined,False,False,,,0.55
2020-12-31,2021,learned_market,20260912,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,20260912,negative_high,0,0,1,,,0.5137439151160255,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,20260912,nonnegative_low,0,0,1,,,-0.49622809203697066,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,20260912,nonnegative_high,0,0,9,,,-0.014244057014503252,undefined,undefined,undefined,False,False,,,0.6
2020-12-31,2021,learned_market,-1,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,-1,negative_high,0,0,1,,,0.43457651650378926,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,-1,nonnegative_low,0,0,1,,,-0.5075530912524239,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_market,-1,nonnegative_high,0,0,9,,,0.0007312639957346558,undefined,undefined,undefined,False,False,,,0.65
2020-12-31,2021,learned_vol_interaction,20260910,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,20260910,negative_high,0,0,1,,,0.4127259833333733,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,20260910,nonnegative_low,0,0,1,,,-0.5286701081389081,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,20260910,nonnegative_high,0,0,9,,,-0.019768269022062832,undefined,undefined,undefined,False,False,,,0.45
2020-12-31,2021,learned_vol_interaction,20260911,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,20260911,negative_high,0,0,1,,,0.45825408480255725,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,20260911,nonnegative_low,0,0,1,,,-0.4754556903392312,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,20260911,nonnegative_high,0,0,9,,,0.04139871997959434,undefined,undefined,undefined,False,False,,,0.55
2020-12-31,2021,learned_vol_interaction,20260912,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,20260912,negative_high,0,0,1,,,0.5082880921774182,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,20260912,nonnegative_low,0,0,1,,,-0.49620713842529096,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,20260912,nonnegative_high,0,0,9,,,-0.014719937129954095,undefined,undefined,undefined,False,False,,,0.6
2020-12-31,2021,learned_vol_interaction,-1,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,-1,negative_high,0,0,1,,,0.4597560534377829,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,-1,nonnegative_low,0,0,1,,,-0.5001109789678101,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_vol_interaction,-1,nonnegative_high,0,0,9,,,0.0023035046091925107,undefined,undefined,undefined,False,False,,,0.55
2020-12-31,2021,learned_order_extension,20260910,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,20260910,negative_high,0,0,1,,,0.41013013134618315,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,20260910,nonnegative_low,0,0,1,,,-0.5330538496767134,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,20260910,nonnegative_high,0,0,9,,,-0.017944815310641554,undefined,undefined,undefined,False,False,,,0.55
2020-12-31,2021,learned_order_extension,20260911,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,20260911,negative_high,0,0,1,,,0.467001032984791,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,20260911,nonnegative_low,0,0,1,,,-0.4707924056292956,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,20260911,nonnegative_high,0,0,9,,,0.04145576321199155,undefined,undefined,undefined,False,False,,,0.55
2020-12-31,2021,learned_order_extension,20260912,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,20260912,negative_high,0,0,1,,,0.5068141539868114,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,20260912,nonnegative_low,0,0,1,,,-0.4980709373270918,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,20260912,nonnegative_high,0,0,9,,,-0.016190857004184916,undefined,undefined,undefined,False,False,,,0.6
2020-12-31,2021,learned_order_extension,-1,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,-1,negative_high,0,0,1,,,0.4613151061059285,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,-1,nonnegative_low,0,0,1,,,-0.5006390642110335,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_extension,-1,nonnegative_high,0,0,9,,,0.0024400302990550283,undefined,undefined,undefined,False,False,,,0.55
2020-12-31,2021,learned_order_offset,20260910,negative_low,0,0,0,,,,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260910,negative_high,0,0,1,,,0.40947743437616746,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260910,nonnegative_low,0,0,1,,,-0.5336151486659025,undefined,undefined,undefined,False,False,,,
2020-12-31,2021,learned_order_offset,20260910,nonnegative_high,0,0,9,,,-0.018074971417775018,undefined,undefined,undefined,False,False,,,0.55
