cutoff,history,method,seed,state,n,annual_auroc,corrected_auroc,all_pairs,inversions,tie_changes
2020-12-31,annual_state_offset,learned_market,20260910,negative_low,0,,,0,0,0
2020-12-31,annual_state_offset,learned_market,20260910,negative_high,1,,,0,0,0
2020-12-31,annual_state_offset,learned_market,20260910,nonnegative_low,1,,,0,0,0
2020-12-31,annual_state_offset,learned_market,20260910,nonnegative_high,9,0.7,0.7,36,0,0
2020-12-31,annual_state_offset,learned_market,20260911,negative_low,0,,,0,0,0
2020-12-31,annual_state_offset,learned_market,20260911,negative_high,1,,,0,0,0
2020-12-31,annual_state_offset,learned_market,20260911,nonnegative_low,1,,,0,0,0
2020-12-31,annual_state_offset,learned_market,20260911,nonnegative_high,9,0.55,0.55,36,0,0
2020-12-31,annual_state_offset,learned_market,20260912,negative_low,0,,,0,0,0
2020-12-31,annual_state_offset,learned_market,20260912,negative_high,1,,,0,0,0
2020-12-31,annual_state_offset,learned_market,20260912,nonnegative_low,1,,,0,0,0
2020-12-31,annual_state_offset,learned_market,20260912,nonnegative_high,9,0.6,0.6,36,0,0
2020-12-31,annual_state_offset,learned_market,-1,negative_low,0,,,0,0,0
2020-12-31,annual_state_offset,learned_market,-1,negative_high,1,,,0,0,0
2020-12-31,annual_state_offset,learned_market,-1,nonnegative_low,1,,,0,0,0
2020-12-31,annual_state_offset,learned_market,-1,nonnegative_high,9,0.65,0.65,36,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260910,negative_low,0,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260910,negative_high,1,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260910,nonnegative_low,1,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260910,nonnegative_high,9,0.45,0.45,36,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260911,negative_low,0,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260911,negative_high,1,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260911,nonnegative_low,1,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260911,nonnegative_high,9,0.55,0.55,36,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260912,negative_low,0,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260912,negative_high,1,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260912,nonnegative_low,1,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,20260912,nonnegative_high,9,0.6,0.6,36,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,-1,negative_low,0,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,-1,negative_high,1,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,-1,nonnegative_low,1,,,0,0,0
2020-12-31,annual_state_offset,learned_vol_interaction,-1,nonnegative_high,9,0.55,0.55,36,0,0
2020-12-31,annual_state_offset,learned_order_extension,20260910,negative_low,0,,,0,0,0
2020-12-31,annual_state_offset,learned_order_extension,20260910,negative_high,1,,,0,0,0
2020-12-31,annual_state_offset,learned_order_extension,20260910,nonnegative_low,1,,,0,0,0
2020-12-31,annual_state_offset,learned_order_extension,20260910,nonnegative_high,9,0.55,0.55,36,0,0
2020-12-31,annual_state_offset,learned_order_extension,20260911,negative_low,0,,,0,0,0
2020-12-31,annual_state_offset,learned_order_extension,20260911,negative_high,1,,,0,0,0
