window,method,year,n,accuracy,balanced_accuracy,actual_up_rate,predicted_up_rate,return_rmse,mse_skill_vs_zero,correlation,mean_forecast,forecast_std,mean_actual,mean_return_held,mean_return_unheld,period_net_return_10bps
common,raw_fixed,2024,25,0.48,0.5,0.48,1.0,0.04513617273842924,0.003726578875160924,-0.2933237169104419,0.000978352344937748,3.6822405184057544e-05,0.004880719470259253,0.004880719470259253,,0.1027286044200193
common,raw_fixed,2025,48,0.625,0.5,0.625,1.0,0.017824328448816866,0.02965312478416815,0.03354210577275712,0.0010785117470329937,2.0402238515410305e-05,0.0050294812616244544,0.0050294812616244544,,0.2631521799581047
common,raw_fixed,2026,30,0.5,0.5133928571428572,0.4666666666666667,0.7,0.019738949944456075,-0.00911029104759642,0.02563588330402301,0.0009518490825669233,0.0011415913162165037,-0.001290096319502013,-0.00235429128803361,0.001193025273738378,-0.06589432138649165
common,raw_adaptive,2024,25,0.48,0.4967948717948718,0.48,0.92,0.04515811910789072,0.002757515757052742,-0.05165999805217698,0.001238055037373812,0.0008880597230551764,0.004880719470259253,0.005945435623245862,-0.007363516289086751,0.11516359045522528
common,raw_adaptive,2025,48,0.4791666666666667,0.4722222222222222,0.625,0.5208333333333334,0.01820387984259342,-0.012112012614401202,-0.17961117096284895,0.0002283915374078558,0.0008727326499562445,0.0050294812616244544,0.0034635847177897595,0.0067315427223143395,0.0797838795275072
common,raw_adaptive,2026,30,0.5333333333333333,0.5535714285714286,0.4666666666666667,0.8,0.020245302349317453,-0.061546634550822654,-0.06742775139286802,0.0023081722146516474,0.00244997872254608,-0.001290096319502013,0.0007536890672122711,-0.009465237866359147,0.004900083216518025
common,raw_permuted,2024,25,0.48,0.5,0.48,1.0,0.04512129086160469,0.004383434484458992,-0.17473611252939664,0.001053609490158116,1.3418018465119375e-05,0.004880719470259253,0.004880719470259253,,0.1027286044200193
common,raw_permuted,2025,48,0.4375,0.4277777777777778,0.625,0.5208333333333334,0.01829512055032466,-0.022283167665920978,-0.25569150090137616,6.822468006153659e-05,0.0008215551149186825,0.0050294812616244544,0.0009950689726713718,0.009414712010486498,0.00919484049271535
common,raw_permuted,2026,30,0.36666666666666664,0.39285714285714285,0.4666666666666667,0.9,0.019815821384397574,-0.01698536132525419,-0.0343928942206958,0.0011114292404796986,0.0010315119805206431,-0.001290096319502013,-0.004127953997052174,0.024250622778449433,-0.11238459552682112
common,kronos_fixed,2024,25,0.48,0.5,0.48,1.0,0.0450878295764647,0.005859556126405652,0.5354655622991727,0.0014183518143346002,3.0896397627887186e-06,0.004880719470259253,0.004880719470259253,,0.1027286044200193
common,kronos_fixed,2025,48,0.375,0.5,0.625,0.0,0.01825577824316318,-0.017891205961736434,-0.002330679703161841,-0.0005520187884942876,4.651646546588515e-06,0.0050294812616244544,,0.0050294812616244544,-0.0010000000000000009
common,kronos_fixed,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.020041293059846053,-0.04026029164293243,-0.15728441842486315,0.002854953743094837,4.4963054924553154e-06,-0.001290096319502013,-0.001290096319502013,,-0.04544975375761173
common,kronos_adaptive,2024,25,0.48,0.5,0.48,1.0,0.04511623522812615,0.004606530515426477,-0.27353331850596374,0.0014945929321196318,0.00011879218205735846,0.004880719470259253,0.004880719470259253,,0.1027286044200193
common,kronos_adaptive,2025,48,0.4583333333333333,0.4777777777777778,0.625,0.4166666666666667,0.01806698535834999,0.0030530610495155264,-0.016606251389263502,0.00012158082219181292,0.0002516254373972895,0.0050294812616244544,0.0031247769869924952,0.006389984314932997,0.03905496726559976
common,kronos_adaptive,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.020259378440653,-0.06302328544883018,-0.22924211776080888,0.003749455431803539,6.637574512295524e-05,-0.001290096319502013,-0.001290096319502013,,-0.04544975375761173
common,kronos_permuted,2024,25,0.48,0.5,0.48,1.0,0.04511002453197277,0.004880563171213659,-0.4219987408591089,0.001317481883552792,3.0140306911396738e-05,0.004880719470259253,0.004880719470259253,,0.1027286044200193
common,kronos_permuted,2025,48,0.625,0.5,0.625,1.0,0.017964317700513304,0.014351391743903985,-0.00510150158163321,0.0004992674574915562,0.0001974014706717592,0.0050294812616244544,0.0050294812616244544,,0.2631521799581047
common,kronos_permuted,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.020121911891184223,-0.0486463021738095,-0.21663978998466765,0.003178236601917733,5.625845136641754e-05,-0.001290096319502013,-0.001290096319502013,,-0.04449424800561752
common,random_tokenizer_adaptive,2024,25,0.48,0.5,0.48,1.0,0.04509981302778115,0.005331040255339703,-0.19392410063003943,0.0013927493116358718,4.314063775531757e-05,0.004880719470259253,0.004880719470259253,,0.1027286044200193
common,random_tokenizer_adaptive,2025,48,0.3958333333333333,0.4944444444444444,0.625,0.10416666666666667,0.018248043946611187,-0.01702890311603067,-0.03351768867581311,-0.0004719759214721978,0.0003893097809041691,0.0050294812616244544,0.005148853825428861,0.005015600730949523,0.015647096599433086
common,random_tokenizer_adaptive,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.019954146469862145,-0.031233125917231375,-0.061817614682731274,0.0023598619839719933,0.00015564470890208577,-0.001290096319502013,-0.001290096319502013,,-0.04544975375761173
common,ridge_matched_schedule,2024,25,0.56,0.5673076923076923,0.48,0.68,0.04535879545510203,-0.0061253891206669575,-0.06980575955486186,0.0015807206274354038,0.002803637871230716,0.004880719470259253,0.009708689578278003,-0.005378717009280599,0.14821094841665428
common,ridge_matched_schedule,2025,48,0.6041666666666666,0.5722222222222222,0.625,0.6458333333333334,0.017610867433696366,0.05275536350837906,0.14902289229276983,0.0012123353090575122,0.0029922205346190936,0.0050294812616244544,0.006097127122458194,0.0030825976330452827,0.19088552113665158
common,ridge_matched_schedule,2026,30,0.4666666666666667,0.48660714285714285,0.4666666666666667,0.8,0.020045693921161966,-0.04071720267233836,-0.059752497994863915,0.0018221050616115003,0.001840463216855702,-0.001290096319502013,-0.002190281351794925,0.002310643809669634,-0.0595464755598869
common,training_mean,2024,25,0.48,0.5,0.48,1.0,0.045113364831314354,0.004733184848923155,,0.0011200601338913,0.0,0.004880719470259253,0.004880719470259253,,0.1027286044200193
common,training_mean,2025,48,0.625,0.5,0.625,1.0,0.017769817664276124,0.03557912510311012,,0.0013353613541965002,2.168404344971009e-19,0.0050294812616244544,0.0050294812616244544,,0.2631521799581047
common,training_mean,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.01980043121752067,-0.01540626993778016,,0.0014690415121069004,4.336808689942018e-19,-0.001290096319502013,-0.001290096319502013,,-0.04449424800561752
common,buy_hold,2024,25,0.48,0.5,0.48,1.0,0.04522051017563809,4.773565542848246e-09,,1e-09,0.0,0.004880719470259253,0.004880719470259253,,0.1027286044200193
common,buy_hold,2025,48,0.625,0.5,0.625,1.0,0.018094628198259122,3.072230569944878e-08,,1e-09,0.0,0.0050294812616244544,0.0050294812616244544,,0.2631521799581047
common,buy_hold,2026,30,0.4666666666666667,0.5,0.4666666666666667,1.0,0.01964964594896655,-6.682559172688229e-09,,9.999999999999999e-10,2.0679515313825692e-25,-0.001290096319502013,-0.001290096319502013,,-0.04449424800561752
common,zero_return_cash,2024,25,0.52,0.5,0.48,0.0,0.04522051028356963,0.0,,0.0,0.0,0.004880719470259253,,0.004880719470259253,0.0
common,zero_return_cash,2025,48,0.375,0.5,0.625,0.0,0.01809462847621348,0.0,,0.0,0.0,0.0050294812616244544,,0.0050294812616244544,0.0
common,zero_return_cash,2026,30,0.5333333333333333,0.5,0.4666666666666667,0.0,0.019649645883311587,0.0,,0.0,0.0,-0.001290096319502013,,-0.001290096319502013,0.0
