history,reference_history,method,row_index,date,year,state,monthly_cutoff,quarterly_cutoff,monthly_probability,quarterly_probability,annual_probability,actual_up,monthly_active,quarterly_active,activation_relation,changed_vs_quarter,monthly_correct,quarterly_correct,case,brier_difference
monthly_state_validated,weekly_state_validated,learned_market,2418,2021-01-08,2021,nonnegative_low,2020-12-31,2020-12-31,0.5075530912524239,0.5075530912524239,0.5075530912524239,0,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_validated,weekly_state_validated,learned_market,2423,2021-01-15,2021,nonnegative_high,2020-12-31,2020-12-31,0.3650104266377245,0.3650104266377245,0.3650104266377245,1,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_validated,weekly_state_validated,learned_market,2428,2021-01-22,2021,nonnegative_high,2020-12-31,2020-12-31,0.3866446547735138,0.3866446547735138,0.3866446547735138,0,False,False,neither,False,True,True,stable_correct,0.0
monthly_state_validated,weekly_state_validated,learned_market,2433,2021-01-29,2021,nonnegative_high,2020-12-31,2020-12-31,0.42114716721388007,0.42114716721388007,0.42114716721388007,1,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_ungated,weekly_state_ungated,learned_market,2418,2021-01-08,2021,nonnegative_low,2020-12-31,2020-12-31,0.5075530912524239,0.5075530912524239,0.5075530912524239,0,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_ungated,weekly_state_ungated,learned_market,2423,2021-01-15,2021,nonnegative_high,2020-12-31,2020-12-31,0.3650104266377245,0.3650104266377245,0.3650104266377245,1,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_ungated,weekly_state_ungated,learned_market,2428,2021-01-22,2021,nonnegative_high,2020-12-31,2020-12-31,0.3866446547735138,0.3866446547735138,0.3866446547735138,0,False,False,neither,False,True,True,stable_correct,0.0
monthly_state_ungated,weekly_state_ungated,learned_market,2433,2021-01-29,2021,nonnegative_high,2020-12-31,2020-12-31,0.42114716721388007,0.42114716721388007,0.42114716721388007,1,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_validated,weekly_state_validated,learned_vol_interaction,2418,2021-01-08,2021,nonnegative_low,2020-12-31,2020-12-31,0.5001109789678101,0.5001109789678101,0.5001109789678101,0,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_validated,weekly_state_validated,learned_vol_interaction,2423,2021-01-15,2021,nonnegative_high,2020-12-31,2020-12-31,0.35551204281105386,0.35551204281105386,0.35551204281105386,1,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_validated,weekly_state_validated,learned_vol_interaction,2428,2021-01-22,2021,nonnegative_high,2020-12-31,2020-12-31,0.3798623603077121,0.3798623603077121,0.3798623603077121,0,False,False,neither,False,True,True,stable_correct,0.0
monthly_state_validated,weekly_state_validated,learned_vol_interaction,2433,2021-01-29,2021,nonnegative_high,2020-12-31,2020-12-31,0.4201105418958859,0.4201105418958859,0.4201105418958859,1,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,2418,2021-01-08,2021,nonnegative_low,2020-12-31,2020-12-31,0.5001109789678101,0.5001109789678101,0.5001109789678101,0,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,2423,2021-01-15,2021,nonnegative_high,2020-12-31,2020-12-31,0.35551204281105386,0.35551204281105386,0.35551204281105386,1,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,2428,2021-01-22,2021,nonnegative_high,2020-12-31,2020-12-31,0.3798623603077121,0.3798623603077121,0.3798623603077121,0,False,False,neither,False,True,True,stable_correct,0.0
monthly_state_ungated,weekly_state_ungated,learned_vol_interaction,2433,2021-01-29,2021,nonnegative_high,2020-12-31,2020-12-31,0.4201105418958859,0.4201105418958859,0.4201105418958859,1,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_validated,weekly_state_validated,learned_order_extension,2418,2021-01-08,2021,nonnegative_low,2020-12-31,2020-12-31,0.5006390642110335,0.5006390642110335,0.5006390642110335,0,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_validated,weekly_state_validated,learned_order_extension,2423,2021-01-15,2021,nonnegative_high,2020-12-31,2020-12-31,0.36312116261704536,0.36312116261704536,0.36312116261704536,1,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_validated,weekly_state_validated,learned_order_extension,2428,2021-01-22,2021,nonnegative_high,2020-12-31,2020-12-31,0.37937301567380316,0.37937301567380316,0.37937301567380316,0,False,False,neither,False,True,True,stable_correct,0.0
monthly_state_validated,weekly_state_validated,learned_order_extension,2433,2021-01-29,2021,nonnegative_high,2020-12-31,2020-12-31,0.4164878744676635,0.4164878744676635,0.4164878744676635,1,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_ungated,weekly_state_ungated,learned_order_extension,2418,2021-01-08,2021,nonnegative_low,2020-12-31,2020-12-31,0.5006390642110335,0.5006390642110335,0.5006390642110335,0,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_ungated,weekly_state_ungated,learned_order_extension,2423,2021-01-15,2021,nonnegative_high,2020-12-31,2020-12-31,0.36312116261704536,0.36312116261704536,0.36312116261704536,1,False,False,neither,False,False,False,stable_wrong,0.0
monthly_state_ungated,weekly_state_ungated,learned_order_extension,2428,2021-01-22,2021,nonnegative_high,2020-12-31,2020-12-31,0.37937301567380316,0.37937301567380316,0.37937301567380316,0,False,False,neither,False,True,True,stable_correct,0.0
