period,history,method,n,fit_eligible_weeks,validation_accepted_weeks,changed_probability_weeks,regressions,recoveries
extension_2021_2023,monthly_state_ungated,learned_market,147,39,16,39,0,3
extension_2021_2023,monthly_state_ungated,learned_order_extension,147,39,16,39,2,2
extension_2021_2023,monthly_state_ungated,learned_order_offset,147,39,16,39,2,2
extension_2021_2023,monthly_state_ungated,learned_vol_interaction,147,39,15,39,3,1
extension_2021_2023,monthly_state_validated,learned_market,147,39,16,16,0,2
extension_2021_2023,monthly_state_validated,learned_order_extension,147,39,16,16,2,1
extension_2021_2023,monthly_state_validated,learned_order_offset,147,39,16,16,2,1
extension_2021_2023,monthly_state_validated,learned_vol_interaction,147,39,15,15,2,1
recent_2024_2026,monthly_state_ungated,learned_market,125,66,10,66,3,4
recent_2024_2026,monthly_state_ungated,learned_order_extension,125,66,18,66,6,3
recent_2024_2026,monthly_state_ungated,learned_order_offset,125,66,18,66,6,3
recent_2024_2026,monthly_state_ungated,learned_vol_interaction,125,66,18,66,2,5
recent_2024_2026,monthly_state_validated,learned_market,125,66,10,10,1,0
recent_2024_2026,monthly_state_validated,learned_order_extension,125,66,18,18,2,1
recent_2024_2026,monthly_state_validated,learned_order_offset,125,66,18,18,2,1
recent_2024_2026,monthly_state_validated,learned_vol_interaction,125,66,18,18,1,1
pooled_2021_2026,monthly_state_ungated,learned_market,272,105,26,105,3,7
pooled_2021_2026,monthly_state_ungated,learned_order_extension,272,105,34,105,8,5
pooled_2021_2026,monthly_state_ungated,learned_order_offset,272,105,34,105,8,5
pooled_2021_2026,monthly_state_ungated,learned_vol_interaction,272,105,33,105,5,6
pooled_2021_2026,monthly_state_validated,learned_market,272,105,26,26,1,2
pooled_2021_2026,monthly_state_validated,learned_order_extension,272,105,34,34,4,2
pooled_2021_2026,monthly_state_validated,learned_order_offset,272,105,34,34,4,2
pooled_2021_2026,monthly_state_validated,learned_vol_interaction,272,105,33,33,3,2
year_2021,monthly_state_ungated,learned_market,50,0,0,0,0,0
year_2021,monthly_state_ungated,learned_order_extension,50,0,0,0,0,0
year_2021,monthly_state_ungated,learned_order_offset,50,0,0,0,0,0
year_2021,monthly_state_ungated,learned_vol_interaction,50,0,0,0,0,0
year_2021,monthly_state_validated,learned_market,50,0,0,0,0,0
year_2021,monthly_state_validated,learned_order_extension,50,0,0,0,0,0
year_2021,monthly_state_validated,learned_order_offset,50,0,0,0,0,0
year_2021,monthly_state_validated,learned_vol_interaction,50,0,0,0,0,0
year_2022,monthly_state_ungated,learned_market,49,19,4,19,0,1
year_2022,monthly_state_ungated,learned_order_extension,49,19,4,19,2,1
year_2022,monthly_state_ungated,learned_order_offset,49,19,4,19,2,1
year_2022,monthly_state_ungated,learned_vol_interaction,49,19,3,19,2,0
year_2022,monthly_state_validated,learned_market,49,19,4,4,0,0
year_2022,monthly_state_validated,learned_order_extension,49,19,4,4,2,0
year_2022,monthly_state_validated,learned_order_offset,49,19,4,4,2,0
year_2022,monthly_state_validated,learned_vol_interaction,49,19,3,3,2,0
year_2023,monthly_state_ungated,learned_market,48,20,12,20,0,2
year_2023,monthly_state_ungated,learned_order_extension,48,20,12,20,0,1
year_2023,monthly_state_ungated,learned_order_offset,48,20,12,20,0,1
year_2023,monthly_state_ungated,learned_vol_interaction,48,20,12,20,1,1
year_2023,monthly_state_validated,learned_market,48,20,12,12,0,2
year_2023,monthly_state_validated,learned_order_extension,48,20,12,12,0,1
year_2023,monthly_state_validated,learned_order_offset,48,20,12,12,0,1
year_2023,monthly_state_validated,learned_vol_interaction,48,20,12,12,0,1
year_2024,monthly_state_ungated,learned_market,47,25,2,25,2,2
year_2024,monthly_state_ungated,learned_order_extension,47,25,9,25,3,2
year_2024,monthly_state_ungated,learned_order_offset,47,25,9,25,3,2
year_2024,monthly_state_ungated,learned_vol_interaction,47,25,10,25,2,3
year_2024,monthly_state_validated,learned_market,47,25,2,2,0,0
year_2024,monthly_state_validated,learned_order_extension,47,25,9,9,2,1
year_2024,monthly_state_validated,learned_order_offset,47,25,9,9,2,1
year_2024,monthly_state_validated,learned_vol_interaction,47,25,10,10,1,1
year_2025,monthly_state_ungated,learned_market,48,31,6,31,0,1
year_2025,monthly_state_ungated,learned_order_extension,48,31,9,31,0,0
year_2025,monthly_state_ungated,learned_order_offset,48,31,9,31,0,0
year_2025,monthly_state_ungated,learned_vol_interaction,48,31,6,31,0,1
year_2025,monthly_state_validated,learned_market,48,31,6,6,0,0
year_2025,monthly_state_validated,learned_order_extension,48,31,9,9,0,0
year_2025,monthly_state_validated,learned_order_offset,48,31,9,9,0,0
year_2025,monthly_state_validated,learned_vol_interaction,48,31,6,6,0,0
year_2026,monthly_state_ungated,learned_market,30,10,2,10,1,1
year_2026,monthly_state_ungated,learned_order_extension,30,10,0,10,3,1
year_2026,monthly_state_ungated,learned_order_offset,30,10,0,10,3,1
year_2026,monthly_state_ungated,learned_vol_interaction,30,10,2,10,0,1
year_2026,monthly_state_validated,learned_market,30,10,2,2,1,0
year_2026,monthly_state_validated,learned_order_extension,30,10,0,0,0,0
year_2026,monthly_state_validated,learned_order_offset,30,10,0,0,0,0
year_2026,monthly_state_validated,learned_vol_interaction,30,10,2,2,0,0
