cutoff,previous_cutoff,quarterly_cutoff,method,state,mode,extra_month,accepted,previous_accepted,quarterly_accepted,transition,reason,training_n,validation_n,future_n,future_brier_vs_annual,future_brier_vs_quarter,future_recoveries_vs_quarter,future_regressions_vs_quarter
2020-12-31,,2020-12-31,learned_market,negative_low,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,0,,,0,0
2020-12-31,,2020-12-31,learned_market,negative_high,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,0,,,0,0
2020-12-31,,2020-12-31,learned_market,nonnegative_low,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,1,0.0,0.0,0,0
2020-12-31,,2020-12-31,learned_market,nonnegative_high,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,3,0.0,0.0,0,0
2020-12-31,,2020-12-31,learned_vol_interaction,negative_low,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,0,,,0,0
2020-12-31,,2020-12-31,learned_vol_interaction,negative_high,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,0,,,0,0
2020-12-31,,2020-12-31,learned_vol_interaction,nonnegative_low,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,1,0.0,0.0,0,0
2020-12-31,,2020-12-31,learned_vol_interaction,nonnegative_high,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,3,0.0,0.0,0,0
2020-12-31,,2020-12-31,learned_order_extension,negative_low,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,0,,,0,0
2020-12-31,,2020-12-31,learned_order_extension,negative_high,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,0,,,0,0
2020-12-31,,2020-12-31,learned_order_extension,nonnegative_low,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,1,0.0,0.0,0,0
2020-12-31,,2020-12-31,learned_order_extension,nonnegative_high,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,3,0.0,0.0,0,0
2020-12-31,,2020-12-31,learned_order_offset,negative_low,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,0,,,0,0
2020-12-31,,2020-12-31,learned_order_offset,negative_high,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,0,,,0,0
2020-12-31,,2020-12-31,learned_order_offset,nonnegative_low,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,1,0.0,0.0,0,0
2020-12-31,,2020-12-31,learned_order_offset,nonnegative_high,annual_reset,False,False,False,False,retained_off,annual_reset,0,0,3,0.0,0.0,0,0
2021-01-31,2020-12-31,2020-12-31,learned_market,negative_low,q1_guard,True,False,False,False,retained_off,q1_guard,0,0,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_market,negative_high,q1_guard,True,False,False,False,retained_off,q1_guard,0,0,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_market,nonnegative_low,q1_guard,True,False,False,False,retained_off,q1_guard,0,1,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_market,nonnegative_high,q1_guard,True,False,False,False,retained_off,q1_guard,0,1,3,0.0,0.0,0,0
2021-01-31,2020-12-31,2020-12-31,learned_vol_interaction,negative_low,q1_guard,True,False,False,False,retained_off,q1_guard,0,0,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_vol_interaction,negative_high,q1_guard,True,False,False,False,retained_off,q1_guard,0,0,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_vol_interaction,nonnegative_low,q1_guard,True,False,False,False,retained_off,q1_guard,0,1,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_vol_interaction,nonnegative_high,q1_guard,True,False,False,False,retained_off,q1_guard,0,1,3,0.0,0.0,0,0
2021-01-31,2020-12-31,2020-12-31,learned_order_extension,negative_low,q1_guard,True,False,False,False,retained_off,q1_guard,0,0,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_order_extension,negative_high,q1_guard,True,False,False,False,retained_off,q1_guard,0,0,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_order_extension,nonnegative_low,q1_guard,True,False,False,False,retained_off,q1_guard,0,1,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_order_extension,nonnegative_high,q1_guard,True,False,False,False,retained_off,q1_guard,0,1,3,0.0,0.0,0,0
2021-01-31,2020-12-31,2020-12-31,learned_order_offset,negative_low,q1_guard,True,False,False,False,retained_off,q1_guard,0,0,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_order_offset,negative_high,q1_guard,True,False,False,False,retained_off,q1_guard,0,0,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_order_offset,nonnegative_low,q1_guard,True,False,False,False,retained_off,q1_guard,0,1,0,,,0,0
2021-01-31,2020-12-31,2020-12-31,learned_order_offset,nonnegative_high,q1_guard,True,False,False,False,retained_off,q1_guard,0,1,3,0.0,0.0,0,0
